distance_m,amplitude_dB
0.000000000000000000e+00,-4.717097811760719139e+01
1.658892795389881183e-05,-3.978515034790022753e+01
3.317785590779762366e-05,-3.382122379462511219e+01
4.976678386169643549e-05,-3.470378833472145885e+01
6.635571181559524732e-05,-4.459518543379679301e+01
8.294463976949405237e-05,-5.295693936564785531e+01
9.953356772339287098e-05,-4.866256528718005825e+01
1.161224956772916760e-04,-5.497984644326501069e+01
1.327114236311904946e-04,-5.430508275631108717e+01
1.493003515850892997e-04,-5.000576547875577660e+01
1.658892795389881047e-04,-6.448808735278861093e+01
1.824782074928869098e-04,-5.240691168518799259e+01
1.990671354467857420e-04,-5.265690367040929232e+01
2.156560634006845470e-04,-5.417837747751737254e+01
2.322449913545833521e-04,-5.022191696754291712e+01
2.488339193084821571e-04,-5.271071508503762004e+01
2.654228472623809893e-04,-5.973982715826619483e+01
2.820117752162797672e-04,-6.060857435623564271e+01
2.986007031701785994e-04,-5.496046677752123344e+01
3.151896311240774315e-04,-5.313803475733603676e+01
3.317785590779762095e-04,-5.806280959981965850e+01
3.483674870318750416e-04,-5.599855907689993018e+01
3.649564149857738196e-04,-6.194530797870542216e+01
3.815453429396726518e-04,-6.412544502985414852e+01
3.981342708935714839e-04,-6.336168833480971330e+01
4.147231988474702619e-04,-6.507243754416590775e+01
4.313121268013690940e-04,-6.230030129116368443e+01
4.479010547552679262e-04,-6.312473293067757396e+01
4.644899827091667041e-04,-6.827082609806436153e+01
4.810789106630655363e-04,-8.667839909391665287e+01
4.976678386169643142e-04,-8.179931991103509858e+01
5.142567665708631464e-04,-6.860542346710548145e+01
5.308456945247619786e-04,-6.702100768148079624e+01
5.474346224786608107e-04,-6.745071106528448013e+01
5.640235504325595344e-04,-6.362706967615479670e+01
5.806124783864583666e-04,-6.511625761010401447e+01
5.972014063403571988e-04,-7.261036149764561287e+01
6.137903342942560309e-04,-7.644966577446746214e+01
6.303792622481548631e-04,-7.565667022882907133e+01
6.469681902020535868e-04,-7.425847098079765374e+01
6.635571181559524190e-04,-6.039228867341392260e+01
6.801460461098512511e-04,-5.563116126981705634e+01
6.967349740637500833e-04,-5.642111107219042765e+01
7.133239020176489155e-04,-6.322713745184743317e+01
7.299128299715476392e-04,-7.145279877555451264e+01
7.465017579254464714e-04,-8.467391195524443503e+01
7.630906858793453035e-04,-6.622390421769034674e+01
7.796796138332441357e-04,-6.018798173734786872e+01
7.962685417871429678e-04,-5.889494424626205671e+01
8.128574697410418000e-04,-5.854376255408680407e+01
8.294463976949405237e-04,-5.752254271811094100e+01
8.460353256488393559e-04,-5.921254613560364533e+01
8.626242536027381880e-04,-6.913802453916395052e+01
8.792131815566370202e-04,-6.592324925709536387e+01
8.958021095105358524e-04,-5.739331238269711832e+01
9.123910374644345761e-04,-5.672574800453479327e+01
9.289799654183334083e-04,-5.913639776319625696e+01
9.455688933722322404e-04,-5.804506480754945130e+01
9.621578213261310726e-04,-5.817088419088519657e+01
9.787467492800299047e-04,-6.063329581136513013e+01
9.953356772339286285e-04,-6.115735694184870397e+01
1.011924605187827569e-03,-6.146461373273645279e+01
1.028513533141726293e-03,-5.980369941087757013e+01
1.045102461095625017e-03,-5.877365849769881123e+01
1.061691389049523957e-03,-6.377079067639751031e+01
1.078280317003422681e-03,-6.698518646600952309e+01
1.094869244957321621e-03,-6.601739979059557584e+01
1.111458172911220345e-03,-6.107828456387333915e+01
1.128047100865119069e-03,-5.904735058951497706e+01
1.144636028819018009e-03,-6.378507387400571105e+01
1.161224956772916733e-03,-7.079971282247913678e+01
1.177813884726815674e-03,-7.785461531724236295e+01
1.194402812680714398e-03,-6.962731838915399862e+01
1.210991740634613121e-03,-5.950465771389558967e+01
1.227580668588512062e-03,-5.569046137977090183e+01
1.244169596542410786e-03,-5.536708540289478719e+01
1.260758524496309726e-03,-5.710042468292822093e+01
1.277347452450208450e-03,-5.863544687945918099e+01
1.293936380404107174e-03,-6.215187481258432456e+01
1.310525308358006114e-03,-7.176657816588495109e+01
1.327114236311904838e-03,-7.176965573829332357e+01
1.343703164265803779e-03,-6.842080018581863499e+01
1.360292092219702502e-03,-7.827187087452658432e+01
1.376881020173601226e-03,-6.562813951388514511e+01
1.393469948127500167e-03,-6.361930994610990808e+01
1.410058876081398890e-03,-6.118675194561895125e+01
1.426647804035297831e-03,-6.042023267454369062e+01
1.443236731989196555e-03,-6.904748510451530308e+01
1.459825659943095278e-03,-6.262109927053781178e+01
1.476414587896994219e-03,-5.955415921027026371e+01
1.493003515850892943e-03,-6.212979845824428793e+01
1.509592443804791883e-03,-8.302338389123758589e+01
1.526181371758690607e-03,-6.470796836927380014e+01
1.542770299712589548e-03,-6.516489386079527435e+01
1.559359227666488271e-03,-6.149817401471030109e+01
