distance_m,amplitude_dB
0.000000000000000000e+00,-5.622873197785590804e+01
1.658868297476570546e-05,-5.020136471293395175e+01
3.317736594953141091e-05,-4.474546532055364167e+01
4.976604892429711298e-05,-4.568458163375710512e+01
6.635473189906282182e-05,-4.711445914004572444e+01
8.294341487382852389e-05,-3.670424203401748287e+01
9.953209784859422596e-05,-3.823626129373170102e+01
1.161207808233599416e-04,-4.503303521819397304e+01
1.327094637981256436e-04,-3.861771741579473627e+01
1.492981467728913593e-04,-3.876050159795105543e+01
1.658868297476570478e-04,-3.794436966224218821e+01
1.824755127224227634e-04,-3.676228839209982624e+01
1.990641956971884519e-04,-3.873603554886567224e+01
2.156528786719541675e-04,-4.790265282514720724e+01
2.322415616467198832e-04,-4.678269392874981492e+01
2.488302446214855717e-04,-4.405784686426746077e+01
2.654189275962512873e-04,-4.788148780994794151e+01
2.820076105710170029e-04,-5.292277019718298448e+01
2.985962935457827185e-04,-4.987622428582095324e+01
3.151849765205483800e-04,-4.891566669218327235e+01
3.317736594953140956e-04,-4.953462789431911517e+01
3.483623424700798112e-04,-4.913218848202474476e+01
3.649510254448455268e-04,-5.094030939989789175e+01
3.815397084196112424e-04,-5.333512574159027508e+01
3.981283913943769038e-04,-5.871851735135529538e+01
4.147170743691426195e-04,-6.077899829417972910e+01
4.313057573439083351e-04,-5.873608686045386662e+01
4.478944403186740507e-04,-5.931407359395545598e+01
4.644831232934397663e-04,-5.743674407408464333e+01
4.810718062682054277e-04,-5.486919089707703279e+01
4.976604892429711434e-04,-6.122519446510845853e+01
5.142491722177368590e-04,-6.092203376902406831e+01
5.308378551925025746e-04,-5.681046645892929803e+01
5.474265381672682902e-04,-5.881275654861023838e+01
5.640152211420340058e-04,-5.892805183100108479e+01
5.806039041167997215e-04,-5.760128090720918692e+01
5.971925870915654371e-04,-5.411077012943225384e+01
6.137812700663310443e-04,-5.852309331454886632e+01
6.303699530410967599e-04,-6.198883265726330194e+01
6.469586360158624755e-04,-5.757109780455557058e+01
6.635473189906281911e-04,-5.250550400117326433e+01
6.801360019653939068e-04,-5.028057342353189796e+01
6.967246849401596224e-04,-5.132220866072768217e+01
7.133133679149253380e-04,-5.261856984469883258e+01
7.299020508896910536e-04,-5.638981006815320285e+01
7.464907338644567692e-04,-6.646102888913723916e+01
7.630794168392224849e-04,-5.627097292452241817e+01
7.796680998139882005e-04,-5.848077009405841409e+01
7.962567827887538077e-04,-6.453337534813165632e+01
8.128454657635195233e-04,-6.008315036575820045e+01
8.294341487382852389e-04,-6.536097355540273668e+01
8.460228317130509545e-04,-6.029114924323256730e+01
8.626115146878166702e-04,-6.225980707613653919e+01
8.792001976625823858e-04,-5.750842067792099499e+01
8.957888806373481014e-04,-5.265725966331476116e+01
9.123775636121138170e-04,-5.886154543558414787e+01
9.289662465868795327e-04,-6.235433427271982509e+01
9.455549295616452483e-04,-7.366679790397220984e+01
9.621436125364108555e-04,-5.940387428208892118e+01
9.787322955111766795e-04,-5.749160187661356503e+01
9.953209784859422867e-04,-5.725374933375250208e+01
1.011909661460708111e-03,-5.751924265863657837e+01
1.028498344435473718e-03,-6.216637888675251133e+01
1.045087027410239325e-03,-5.338095135097106692e+01
1.061675710385005149e-03,-5.072244608635369190e+01
1.078264393359770756e-03,-5.841719046590660014e+01
1.094853076334536580e-03,-6.118806414545097283e+01
1.111441759309302188e-03,-5.768233419434652376e+01
1.128030442284068012e-03,-6.094864153361249492e+01
1.144619125258833619e-03,-6.177133520485358531e+01
1.161207808233599443e-03,-5.748475857349926343e+01
1.177796491208365050e-03,-5.638265794213261728e+01
1.194385174183130874e-03,-6.918993828023552339e+01
1.210973857157896481e-03,-5.887795078905006108e+01
1.227562540132662089e-03,-6.060669361188651294e+01
1.244151223107427913e-03,-6.725811328526008026e+01
1.260739906082193520e-03,-5.797858774030413542e+01
1.277328589056959344e-03,-5.713540543963301133e+01
1.293917272031724951e-03,-5.927126536013759051e+01
1.310505955006490775e-03,-5.739448572919773284e+01
1.327094637981256382e-03,-6.014358771830760730e+01
1.343683320956022206e-03,-6.803624996930481927e+01
1.360272003930787814e-03,-5.880632547189500769e+01
1.376860686905553638e-03,-6.563211994844563435e+01
1.393449369880319245e-03,-6.045576141403490311e+01
1.410038052855084852e-03,-5.985606429253251548e+01
1.426626735829850676e-03,-6.315914740796947058e+01
1.443215418804616283e-03,-6.356633381212621714e+01
1.459804101779382107e-03,-5.513529839535006971e+01
1.476392784754147714e-03,-5.534073982541903547e+01
1.492981467728913538e-03,-5.647575684776963101e+01
1.509570150703679146e-03,-6.050765613256325537e+01
1.526158833678444970e-03,-5.520716678879821870e+01
1.542747516653210577e-03,-5.536001028221111397e+01
1.559336199627976401e-03,-6.599566761574955365e+01
1.575924882602742008e-03,-6.720568380473687853e+01
1.592513565577507615e-03,-5.594159925320633420e+01
1.609102248552273439e-03,-5.572998784483444723e+01
1.625690931527039047e-03,-7.152450840674008248e+01
1.642279614501804871e-03,-6.278287314617443116e+01
1.658868297476570478e-03,-6.568695589893241049e+01
1.675456980451336302e-03,-5.896913895422049734e+01
1.692045663426101909e-03,-5.753164741254735048e+01
1.708634346400867733e-03,-5.859750199401008786e+01
1.725223029375633340e-03,-5.466009449284685218e+01
1.741811712350398948e-03,-5.307526104662791511e+01
1.758400395325164772e-03,-5.920531225902855965e+01
1.774989078299930379e-03,-6.095237598157236647e+01
1.791577761274696203e-03,-5.487222879427230282e+01
1.808166444249461810e-03,-5.537887902166994536e+01
1.824755127224227634e-03,-6.048087847437115272e+01
1.841343810198993241e-03,-6.618484963974606217e+01
1.857932493173759065e-03,-6.329488860416584828e+01
1.874521176148524673e-03,-6.352587777341653918e+01
1.891109859123290497e-03,-6.406751990482190706e+01
1.907698542098056104e-03,-6.002947236947491660e+01
1.924287225072821711e-03,-5.502022059564286849e+01
1.940875908047587535e-03,-5.175767735392153668e+01
1.957464591022353359e-03,-5.615665850634730560e+01
1.974053273997118749e-03,-6.221361588008809917e+01
1.990641956971884573e-03,-5.626549752217003686e+01
2.007230639946650397e-03,-5.954100307673974868e+01
2.023819322921416222e-03,-5.528688485699137800e+01
2.040408005896181612e-03,-5.489726076156753720e+01
2.056996688870947436e-03,-5.491560815051745692e+01
2.073585371845713260e-03,-4.926003346378553971e+01
2.090174054820478650e-03,-4.643602249213209632e+01
2.106762737795244474e-03,-4.997728162423924658e+01
2.123351420770010298e-03,-5.705057518551113560e+01
2.139940103744776122e-03,-5.390880198860087802e+01
2.156528786719541513e-03,-5.527232393066392291e+01
2.173117469694307337e-03,-5.923788663641187213e+01
2.189706152669073161e-03,-4.943170373977835652e+01
2.206294835643838985e-03,-4.764839410129926733e+01
2.222883518618604375e-03,-5.386902488391368138e+01
2.239472201593370199e-03,-6.346501617461929357e+01
2.256060884568136023e-03,-5.891009389453433442e+01
2.272649567542901414e-03,-6.072288047123198140e+01
2.289238250517667238e-03,-5.741709324799957415e+01
2.305826933492433062e-03,-5.444871641093185133e+01
2.322415616467198886e-03,-5.424347008832241812e+01
2.339004299441964276e-03,-5.574498466079981540e+01
2.355592982416730100e-03,-6.918313170531637013e+01
2.372181665391495924e-03,-5.487606171736618421e+01
2.388770348366261748e-03,-5.141797170477164514e+01
2.405359031341027139e-03,-5.509717393520102746e+01
2.421947714315792963e-03,-6.697614665629933484e+01
2.438536397290558787e-03,-5.896368001799067571e+01
2.455125080265324177e-03,-5.509692763059480569e+01
2.471713763240090001e-03,-5.366136336213669722e+01
2.488302446214855825e-03,-5.564008884741386396e+01
2.504891129189621649e-03,-5.608253164744061792e+01
2.521479812164387040e-03,-5.600516648816213916e+01
2.538068495139152864e-03,-6.119478235993170046e+01
2.554657178113918688e-03,-6.809802676912107700e+01
2.571245861088684512e-03,-6.541922656878043085e+01
2.587834544063449902e-03,-6.763270445527338381e+01
2.604423227038215726e-03,-6.668347699378038840e+01
2.621011910012981550e-03,-6.919007551431546688e+01
2.637600592987746941e-03,-7.335411386135618272e+01
2.654189275962512765e-03,-5.908014447700385574e+01
2.670777958937278589e-03,-5.609359235316109249e+01
2.687366641912044413e-03,-5.759985817183629564e+01
2.703955324886809803e-03,-5.795446670033402370e+01
2.720544007861575627e-03,-6.643698924806921013e+01
2.737132690836341451e-03,-6.929424837642213220e+01
2.753721373811107275e-03,-6.396486795426667982e+01
2.770310056785872665e-03,-5.285828764240622490e+01
2.786898739760638490e-03,-4.997008137649717696e+01
2.803487422735404314e-03,-5.218521971342180876e+01
2.820076105710169704e-03,-5.144923412776443428e+01
2.836664788684935528e-03,-5.149046191345775014e+01
2.853253471659701352e-03,-5.318978972197331245e+01
2.869842154634467176e-03,-5.319134606180607960e+01
2.886430837609232566e-03,-5.391955615738633867e+01
2.903019520583998390e-03,-5.717526484768765727e+01
2.919608203558764215e-03,-6.309835303573082399e+01
2.936196886533530039e-03,-6.150305879649348384e+01
2.952785569508295429e-03,-5.920973979845197732e+01
2.969374252483061253e-03,-5.757872238013192145e+01
2.985962935457827077e-03,-5.840043089736220594e+01
3.002551618432592467e-03,-6.013407283058677422e+01
3.019140301407358291e-03,-4.872654430942078818e+01
