distance_m,amplitude_dB
0.000000000000000000e+00,-1.840097267949702342e+01
1.658535268236174039e-05,-1.126599742784716263e+01
3.317070536472348078e-05,-5.298547215402371613e+00
4.975605804708522117e-05,-4.164056005599995558e+00
6.634141072944696156e-05,-5.926046411369787492e+00
8.292676341180870196e-05,-8.504876096316602130e+00
9.951211609417044235e-05,-1.151518937224066974e+01
1.160974687765321827e-04,-1.174914141398892831e+01
1.326828214588939231e-04,-1.277717263177207485e+01
1.492681741412556500e-04,-1.585655212633806421e+01
1.658535268236174039e-04,-1.775480049485524603e+01
1.824388795059791308e-04,-1.670019817993927802e+01
1.990242321883408847e-04,-1.803112286052949997e+01
2.156095848707026115e-04,-2.358935335958365798e+01
2.321949375530643655e-04,-2.168398089363698134e+01
2.487802902354261194e-04,-1.948176426284063467e+01
2.653656429177878463e-04,-2.136124953726137221e+01
2.819509956001495731e-04,-2.643076313218621465e+01
2.985363482825112999e-04,-2.329305612247554080e+01
3.151217009648730810e-04,-2.106042060639429536e+01
3.317070536472348078e-04,-2.143978286255989474e+01
3.482924063295965347e-04,-2.348793669386121508e+01
3.648777590119582615e-04,-2.670998321399146747e+01
3.814631116943200425e-04,-2.953204694768035665e+01
3.980484643766817694e-04,-3.073483840448420779e+01
4.146338170590434962e-04,-3.214682007381613005e+01
4.312191697414052231e-04,-3.408951619198414562e+01
4.478045224237669499e-04,-3.606977257341219456e+01
4.643898751061287310e-04,-3.929981573345903456e+01
4.809752277884904578e-04,-3.910362799319474902e+01
4.975605804708522388e-04,-3.626882291931236324e+01
5.141459331532139115e-04,-3.992431909984026817e+01
5.307312858355756925e-04,-3.630276768594609393e+01
5.473166385179373651e-04,-3.500647009208951488e+01
5.639019912002991462e-04,-4.364086580995598297e+01
5.804873438826609272e-04,-4.658506314016499061e+01
5.970726965650225999e-04,-4.322581294568782084e+01
6.136580492473843809e-04,-3.952752903377297855e+01
6.302434019297461620e-04,-3.790343592378531667e+01
6.468287546121078346e-04,-3.826570678159785643e+01
6.634141072944696156e-04,-3.865061268627212598e+01
6.799994599768312883e-04,-3.528510106099697907e+01
6.965848126591930693e-04,-3.240738993788664146e+01
7.131701653415548504e-04,-2.955714557531096176e+01
7.297555180239165230e-04,-2.868710182326328351e+01
7.463408707062783040e-04,-3.391901370573926755e+01
7.629262233886400851e-04,-4.196531629750987236e+01
7.795115760710017577e-04,-3.249493553575310756e+01
7.960969287533635388e-04,-3.357777134041745626e+01
8.126822814357252114e-04,-4.857552187329334004e+01
8.292676341180869925e-04,-3.222958621547639524e+01
