distance_m,amplitude_dB
0.000000000000000000e+00,-3.110748924186056641e+01
1.658534534890708251e-05,-1.539827583312970560e+01
3.317069069781416503e-05,-8.350608187535755178e+00
4.975603604672124754e-05,-7.481540465876176604e+00
6.634138139562833006e-05,-1.361610663583658898e+01
8.292672674453541257e-05,-2.832786910540738745e+01
9.951207209344249509e-05,-1.876019232425223748e+01
1.160974174423495776e-04,-2.041829299570937906e+01
1.326827627912566601e-04,-2.696657441955672851e+01
1.492681081401637426e-04,-2.320599379854474620e+01
1.658534534890708251e-04,-2.084146410401584859e+01
1.824387988379779077e-04,-2.877984984172383065e+01
1.990241441868849902e-04,-2.939613831592263438e+01
2.156094895357920727e-04,-2.568055228830292336e+01
2.321948348846991552e-04,-2.557729971026102334e+01
2.487801802336062377e-04,-2.387075194196452799e+01
2.653655255825133202e-04,-2.557455186302939865e+01
2.819508709314204027e-04,-3.274564809065635984e+01
2.985362162803274853e-04,-2.891690693295301173e+01
3.151215616292345678e-04,-2.455633578797880290e+01
3.317069069781416503e-04,-2.614642899787486741e+01
3.482922523270487328e-04,-3.297574647574379014e+01
3.648775976759558153e-04,-3.362936246430947307e+01
3.814629430248628978e-04,-3.385023463554467327e+01
3.980482883737699804e-04,-2.798400332721983830e+01
4.146336337226770629e-04,-2.923187696249134149e+01
4.312189790715841454e-04,-3.223430866834402764e+01
4.478043244204912279e-04,-2.558555532547652689e+01
4.643896697693983104e-04,-2.533945144102293057e+01
4.809750151183053929e-04,-2.715358254746339739e+01
4.975603604672124754e-04,-3.041847953598034948e+01
5.141457058161195580e-04,-3.559319583036281642e+01
5.307310511650266405e-04,-3.090684906301041934e+01
5.473163965139337230e-04,-3.005297536102560230e+01
5.639017418628408055e-04,-3.184146621923645171e+01
5.804870872117478880e-04,-3.257475886191508607e+01
5.970724325606549705e-04,-3.561098507490826393e+01
6.136577779095620530e-04,-6.505753214857161026e+01
6.302431232584691356e-04,-3.468664043577152967e+01
6.468284686073762181e-04,-3.336081150815539331e+01
6.634138139562833006e-04,-3.962225732273671497e+01
6.799991593051903831e-04,-5.156830216201253592e+01
6.965845046540974656e-04,-3.592855701440750238e+01
7.131698500030045481e-04,-3.648261425453250695e+01
7.297551953519116306e-04,-2.785056575817350222e+01
7.463405407008187132e-04,-2.729968746148012571e+01
7.629258860497257957e-04,-3.170005097510784609e+01
7.795112313986328782e-04,-3.227851698706227523e+01
7.960965767475399607e-04,-3.813804832297158498e+01
8.126819220964470432e-04,-3.929292766571268203e+01
8.292672674453541257e-04,-3.460368864076571782e+01
8.458526127942612082e-04,-3.719568965852580078e+01
8.624379581431682908e-04,-4.963019986530285621e+01
8.790233034920753733e-04,-4.260100181271666031e+01
8.956086488409824558e-04,-3.780050562107282275e+01
9.121939941898895383e-04,-3.174664568383157004e+01
9.287793395387966208e-04,-2.750853273546292499e+01
9.453646848877037033e-04,-2.866718210299477576e+01
9.619500302366107859e-04,-3.474364554641452685e+01
9.785353755855179768e-04,-3.514576661146895731e+01
9.951207209344249509e-04,-3.702134973317863853e+01
1.011706066283332142e-03,-2.860994035114840628e+01
1.028291411632239116e-03,-2.579175877319700305e+01
1.044876756981146307e-03,-3.000823820607761405e+01
1.061462102330053281e-03,-3.646808535151841824e+01
1.078047447678960472e-03,-3.462562835718329524e+01
1.094632793027867446e-03,-3.264848574991476937e+01
1.111218138376774637e-03,-3.228157916654126325e+01
1.127803483725681611e-03,-2.928513111027864468e+01
1.144388829074588802e-03,-2.822200187247597825e+01
1.160974174423495776e-03,-2.971487088436781221e+01
1.177559519772402967e-03,-3.152509459904797495e+01
1.194144865121309941e-03,-3.377207944053819233e+01
1.210730210470217132e-03,-4.018825677187187040e+01
1.227315555819124106e-03,-4.512964562411362124e+01
1.243900901168031297e-03,-3.606802258559207530e+01
1.260486246516938271e-03,-3.184007232292418621e+01
1.277071591865845462e-03,-3.109394274715702622e+01
1.293656937214752436e-03,-3.264728390746143560e+01
1.310242282563659627e-03,-3.686264789593403890e+01
1.326827627912566601e-03,-4.287304210497293155e+01
1.343412973261473792e-03,-3.958948789660006895e+01
1.359998318610380766e-03,-3.471876484411912855e+01
1.376583663959287957e-03,-3.381692539371950801e+01
1.393169009308194931e-03,-3.485882527799251562e+01
1.409754354657102122e-03,-3.721093316064039414e+01
1.426339700006009096e-03,-4.153259326764274562e+01
1.442925045354916287e-03,-4.180151441602238549e+01
1.459510390703823261e-03,-4.028913001823443096e+01
1.476095736052730452e-03,-4.230839732381632246e+01
1.492681081401637426e-03,-3.902470798850526990e+01
1.509266426750544617e-03,-3.917643646632634358e+01
1.525851772099451591e-03,-3.949447544853384784e+01
1.542437117448358782e-03,-3.499847998932813198e+01
1.559022462797265756e-03,-3.637067421394201006e+01
1.575607808146172947e-03,-4.047220852860387907e+01
1.592193153495079921e-03,-3.855314753205112765e+01
1.608778498843987112e-03,-3.712559203933021479e+01
1.625363844192894086e-03,-3.720179401280464759e+01
1.641949189541801277e-03,-3.323296526325422207e+01
1.658534534890708251e-03,-3.023209448828135493e+01
1.675119880239615442e-03,-3.004804139889122894e+01
1.691705225588522416e-03,-3.282320398605456546e+01
1.708290570937429607e-03,-4.183034468323310051e+01
1.724875916286336582e-03,-4.395965646023375939e+01
1.741461261635243772e-03,-3.874328104557115182e+01
1.758046606984150747e-03,-3.374627016562240556e+01
1.774631952333057937e-03,-3.231017806696586092e+01
1.791217297681964912e-03,-3.247545305553180128e+01
1.807802643030872103e-03,-3.363889454200906926e+01
1.824387988379779077e-03,-3.393215305225040623e+01
