distance_m,amplitude_dB
0.000000000000000000e+00,-3.796155519626792341e+01
1.658513997914752360e-05,-1.778486849610498055e+01
3.317027995829504721e-05,-1.082997698373757700e+01
4.975541993744257420e-05,-9.872678603110838225e+00
6.634055991659009441e-05,-1.321921730080774360e+01
8.292569989573762141e-05,-1.401576103472391566e+01
9.951083987488514840e-05,-1.493981014259085960e+01
1.160959798540326754e-04,-1.710006576025816472e+01
1.326811198331801888e-04,-1.958845687476925335e+01
1.492662598123277158e-04,-2.187854512020506803e+01
1.658513997914752428e-04,-1.946408317317813186e+01
1.824365397706227698e-04,-2.183561172754526325e+01
1.990216797497702968e-04,-2.611729086206477035e+01
2.156068197289178238e-04,-2.397413426131758740e+01
2.321919597080653508e-04,-2.359966346972280249e+01
2.487770996872128507e-04,-2.564637238688341014e+01
2.653622396663603777e-04,-2.439611130655678295e+01
2.819473796455079046e-04,-2.599068433611455475e+01
2.985325196246554316e-04,-3.096251274557809552e+01
3.151176596038029586e-04,-2.722035547262416344e+01
3.317027995829504856e-04,-2.596947923100745470e+01
3.482879395620980126e-04,-2.664276064807678779e+01
3.648730795412455396e-04,-2.927097790638271135e+01
3.814582195203930666e-04,-3.375873433562179571e+01
3.980433594995405936e-04,-3.462481355360232271e+01
4.146284994786881206e-04,-3.469209338752472860e+01
4.312136394578356476e-04,-2.863437458368588651e+01
4.477987794369831746e-04,-2.855598644298779476e+01
4.643839194161307016e-04,-3.492072383922396739e+01
4.809690593952782285e-04,-3.624880490361178431e+01
4.975541993744257013e-04,-3.125753261598118371e+01
5.141393393535732825e-04,-3.011169794618652062e+01
5.307244793327207553e-04,-3.152986099642691187e+01
5.473096193118683365e-04,-3.249834935168203742e+01
5.638947592910158093e-04,-3.109098193725812109e+01
5.804798992701633905e-04,-2.906705904594494072e+01
5.970650392493108633e-04,-3.194973498722513128e+01
6.136501792284584445e-04,-3.971226452064387047e+01
6.302353192076059173e-04,-3.545304789722024452e+01
6.468204591867534985e-04,-3.744481204586332268e+01
6.634055991659009712e-04,-3.414211467879648865e+01
6.799907391450485524e-04,-3.022652627975823592e+01
6.965758791241960252e-04,-3.499978913855164819e+01
7.131610191033436064e-04,-3.624402582320877997e+01
7.297461590824910792e-04,-2.852996420096780383e+01
7.463312990616385520e-04,-2.767291297498585934e+01
7.629164390407861332e-04,-3.064210563927835551e+01
7.795015790199336060e-04,-3.966043109896878605e+01
7.960867189990811872e-04,-3.780222963746417264e+01
8.126718589782286600e-04,-3.194210821987857685e+01
8.292569989573762412e-04,-3.259417504804297039e+01
8.458421389365237139e-04,-4.060698165080570732e+01
8.624272789156712951e-04,-3.687749630695463310e+01
8.790124188948187679e-04,-3.383392801749898382e+01
8.955975588739663491e-04,-3.482384200610405856e+01
9.121826988531138219e-04,-4.124069190416378916e+01
9.287678388322614031e-04,-3.292763991552131841e+01
9.453529788114088759e-04,-2.976458188838830310e+01
9.619381187905564571e-04,-3.199534272873616203e+01
9.785232587697040383e-04,-3.746173388292817918e+01
9.951083987488514027e-04,-3.508186925183823490e+01
1.011693538727998984e-03,-2.727183026825890977e+01
1.028278678707146565e-03,-2.493919546612880112e+01
1.044863818686294146e-03,-2.786503434471513074e+01
1.061448958665441511e-03,-3.183632856172753378e+01
1.078034098644589092e-03,-3.265564130813434218e+01
1.094619238623736673e-03,-3.545805931088836616e+01
1.111204378602884037e-03,-5.371264189048699222e+01
1.127789518582031619e-03,-3.866705871368208136e+01
1.144374658561179200e-03,-3.769473947898787713e+01
1.160959798540326781e-03,-4.091256286212292537e+01
1.177544938519474145e-03,-3.714753244097647666e+01
1.194130078498621727e-03,-3.218433317760278101e+01
1.210715218477769308e-03,-3.171002845854811270e+01
1.227300358456916889e-03,-3.378784556438765208e+01
1.243885498436064253e-03,-3.890958144330291901e+01
1.260470638415211835e-03,-3.699072649614841879e+01
1.277055778394359416e-03,-3.190611720208852375e+01
1.293640918373506997e-03,-3.226232307758917273e+01
