distance_m,amplitude_dB
0.000000000000000000e+00,-3.916000115595516462e+01
1.658534084205491566e-05,-1.832051952230899872e+01
3.317068168410983132e-05,-1.130608290382751946e+01
4.975602252616475376e-05,-9.790408640092863379e+00
6.634136336821966264e-05,-1.171174610640133729e+01
8.292670421027459186e-05,-1.576633712918180663e+01
9.951204505232950752e-05,-1.738745250860642599e+01
1.160973858943844232e-04,-1.783941709815214693e+01
1.326827267364393253e-04,-2.173021944526827198e+01
1.492680675784942681e-04,-2.336292415319886828e+01
1.658534084205491837e-04,-3.240043115772341764e+01
1.824387492626040994e-04,-2.206241263931288898e+01
1.990240901046590150e-04,-1.984036140749562449e+01
2.156094309467139307e-04,-2.192726317708756767e+01
2.321947717887688464e-04,-3.037324354509220470e+01
2.487801126308237620e-04,-3.278968110255617319e+01
2.653654534728786506e-04,-3.234167842593456044e+01
2.819507943149335933e-04,-3.598347861477989085e+01
2.985361351569885361e-04,-2.940792844777443094e+01
3.151214759990434247e-04,-2.977476232288186608e+01
3.317068168410983674e-04,-2.946768375358859160e+01
3.482921576831532560e-04,-3.133624780809228128e+01
3.648774985252081987e-04,-4.183173981824675991e+01
3.814628393672630873e-04,-3.709224979158943825e+01
3.980481802093180301e-04,-3.188031983545332437e+01
4.146335210513729186e-04,-3.945806203210469221e+01
4.312188618934278614e-04,-3.178463818617111514e+01
4.478042027354827499e-04,-2.786568034372701419e+01
4.643895435775376927e-04,-3.155023793412044597e+01
4.809748844195925813e-04,-3.553471788652843344e+01
4.975602252616475240e-04,-3.040761295864737335e+01
5.141455661037024668e-04,-3.125868527585547341e+01
5.307309069457573011e-04,-3.437605555040224203e+01
5.473162477878122439e-04,-3.351705129589438314e+01
5.639015886298671867e-04,-3.161298654966998711e+01
5.804869294719221294e-04,-3.581684025162551421e+01
5.970722703139770722e-04,-4.444714787615851748e+01
6.136576111560319065e-04,-3.622309341622866441e+01
6.302429519980868493e-04,-4.545668948660231479e+01
6.468282928401417921e-04,-3.527277053434914222e+01
6.634136336821967348e-04,-4.471051726003094018e+01
6.799989745242515692e-04,-2.972507905538384065e+01
6.965843153663065120e-04,-2.368428316643931453e+01
7.131696562083614547e-04,-2.410203741331082838e+01
7.297549970504163975e-04,-2.963689321545348321e+01
7.463403378924712318e-04,-3.906741646052865491e+01
7.629256787345261746e-04,-3.970801921363055698e+01
7.795110195765811174e-04,-3.844909266491854538e+01
7.960963604186360601e-04,-5.103571316013265147e+01
8.126817012606908945e-04,-4.378795912207785790e+01
8.292670421027458372e-04,-3.935309909455489219e+01
8.458523829448007800e-04,-3.542224143166902905e+01
8.624377237868557228e-04,-3.533361945492526957e+01
8.790230646289106655e-04,-3.323065638335815208e+01
8.956084054709654999e-04,-3.581564772385718953e+01
9.121937463130204427e-04,-4.098039358162974111e+01
9.287790871550753854e-04,-3.377507999422743978e+01
9.453644279971303282e-04,-3.234609224941459615e+01
9.619497688391851625e-04,-3.291249627310661907e+01
9.785351096812402137e-04,-3.065668461677344681e+01
9.951204505232950481e-04,-2.974639190883157625e+01
1.011705791365349882e-03,-2.806858999994951631e+01
1.028291132207404934e-03,-2.435092520910926339e+01
1.044876473049459768e-03,-2.539377843853690564e+01
1.061461813891514602e-03,-3.245627179850009725e+01
1.078047154733569653e-03,-3.700447277777741562e+01
1.094632495575624488e-03,-3.684981601829115760e+01
1.111217836417679539e-03,-4.263149923582327006e+01
1.127803177259734373e-03,-3.743652171566162679e+01
1.144388518101789208e-03,-2.925849853513405918e+01
1.160973858943844259e-03,-2.642014767890789173e+01
1.177559199785899093e-03,-2.898648538423079657e+01
1.194144540627954144e-03,-4.423585740150645762e+01
1.210729881470008979e-03,-3.466796623171628511e+01
1.227315222312063813e-03,-3.101773642590282520e+01
1.243900563154118864e-03,-3.342517311460242979e+01
1.260485903996173699e-03,-3.807783975082237049e+01
1.277071244838228533e-03,-3.461481741014083724e+01
1.293656585680283584e-03,-3.296168712356298869e+01
1.310241926522338419e-03,-3.452129004162040360e+01
1.326827267364393470e-03,-3.470175038592324768e+01
1.343412608206448304e-03,-3.409809305051740580e+01
1.359997949048503138e-03,-3.737876847171143169e+01
1.376583289890558190e-03,-3.870198479756660248e+01
1.393168630732613024e-03,-3.773151549592959952e+01
1.409753971574668075e-03,-4.074816420150239082e+01
1.426339312416722909e-03,-3.817396443419806928e+01
1.442924653258777744e-03,-3.383395122570724567e+01
1.459509994100832795e-03,-3.268721390512559566e+01
1.476095334942887629e-03,-3.285106831335907884e+01
1.492680675784942464e-03,-3.457608503731663774e+01
