distance_m,amplitude_dB
0.000000000000000000e+00,-3.575051629521385621e+01
1.662633815946350108e-05,-2.578956947272087064e+01
3.325267631892700216e-05,-1.903436723276987763e+01
4.987901447839049985e-05,-1.735197366582961109e+01
6.650535263785400432e-05,-1.933230692141662743e+01
8.313169079731750201e-05,-2.358764612764318258e+01
9.975802895678099970e-05,-2.738637203721005875e+01
1.163843671162444974e-04,-2.737966153311317541e+01
1.330107052757080086e-04,-2.812487122231997816e+01
1.496370434351714928e-04,-2.666795558898785856e+01
1.662633815946350040e-04,-2.781729153982606917e+01
1.828897197540984882e-04,-2.861562697583781301e+01
1.995160579135619994e-04,-2.737816850502543531e+01
2.161423960730254835e-04,-3.319229560930375555e+01
2.327687342324889948e-04,-3.850870887959617050e+01
2.493950723919524789e-04,-3.133998030756588093e+01
2.660214105514160173e-04,-3.036287537025004468e+01
2.826477487108795014e-04,-3.190135107122003078e+01
2.992740868703429855e-04,-3.524889393831143281e+01
3.159004250298064697e-04,-3.826794993902346675e+01
3.325267631892700080e-04,-4.473345298858291841e+01
3.491531013487334922e-04,-3.783082965933697039e+01
3.657794395081969763e-04,-3.812788007674545554e+01
3.824057776676604604e-04,-4.997796347208127088e+01
3.990321158271239988e-04,-4.392751455415979223e+01
4.156584539865874829e-04,-4.451071304379211568e+01
4.322847921460509671e-04,-5.410532169631534316e+01
4.489111303055145054e-04,-5.135309170817232882e+01
4.655374684649779896e-04,-5.108403944851807665e+01
4.821638066244414737e-04,-4.806014279609200202e+01
4.987901447839049578e-04,-5.017307943055973851e+01
5.154164829433684420e-04,-5.658136690156732129e+01
5.320428211028320345e-04,-5.329907804911675839e+01
5.486691592622955187e-04,-4.896973883599046928e+01
5.652954974217590028e-04,-4.295241551194514784e+01
5.819218355812224869e-04,-4.332029990357298743e+01
5.985481737406859711e-04,-3.996569547745679074e+01
6.151745119001494552e-04,-3.869410217096552174e+01
6.318008500596129394e-04,-4.136444606247242461e+01
6.484271882190765319e-04,-4.347009795206651717e+01
6.650535263785400161e-04,-5.265365705193070767e+01
6.816798645380035002e-04,-5.772875203906876607e+01
6.983062026974669843e-04,-5.655560459873858292e+01
7.149325408569304685e-04,-4.750327765747746867e+01
7.315588790163939526e-04,-4.007001854891835535e+01
7.481852171758574368e-04,-3.919763248074815465e+01
7.648115553353209209e-04,-4.428362395084435121e+01
7.814378934947845134e-04,-5.031345080912551992e+01
7.980642316542479976e-04,-6.258401627090808717e+01
8.146905698137114817e-04,-5.292234387977523369e+01
8.313169079731749659e-04,-4.799535317022296965e+01
8.479432461326384500e-04,-4.390615408559696675e+01
8.645695842921019341e-04,-4.296903321107304663e+01
8.811959224515654183e-04,-4.421136465959148154e+01
8.978222606110290108e-04,-4.745733083064786229e+01
9.144485987704924950e-04,-4.564741069806773055e+01
9.310749369299559791e-04,-4.612907193287459506e+01
9.477012750894194633e-04,-5.857628858032516916e+01
9.643276132488829474e-04,-5.082503872876132789e+01
9.809539514083465400e-04,-4.690360459981005192e+01
9.975802895678099157e-04,-4.381660921160953137e+01
1.014206627727273508e-03,-3.862902685654793089e+01
1.030832965886736884e-03,-3.619200033524354865e+01
1.047459304046200477e-03,-3.914906976556530793e+01
1.064085642205664069e-03,-4.403536575812528042e+01
1.080711980365127445e-03,-4.931158806469581890e+01
1.097338318524591037e-03,-5.357831615616269261e+01
1.113964656684054413e-03,-4.547630674131993800e+01
1.130590994843518006e-03,-4.238351617663895610e+01
1.147217333002981381e-03,-4.246805374021523249e+01
1.163843671162444974e-03,-4.522760191628045590e+01
1.180470009321908566e-03,-4.449690944335496567e+01
1.197096347481371942e-03,-4.148253395269910015e+01
1.213722685640835535e-03,-4.186411129407012055e+01
1.230349023800298910e-03,-4.244299000072366823e+01
1.246975361959762503e-03,-4.165646898695364797e+01
1.263601700119225879e-03,-4.082316695776547277e+01
1.280228038278689471e-03,-4.310445249835302661e+01
1.296854376438153064e-03,-4.896764390663391708e+01
1.313480714597616440e-03,-5.191435733220342286e+01
1.330107052757080032e-03,-5.143638527102466185e+01
1.346733390916543408e-03,-4.702899039701870265e+01
1.363359729076007000e-03,-4.381881140819277221e+01
1.379986067235470376e-03,-4.527657517890659733e+01
1.396612405394933969e-03,-4.774793305071532501e+01
1.413238743554397561e-03,-4.515334306410384357e+01
1.429865081713860937e-03,-4.552305028035377887e+01
1.446491419873324530e-03,-5.439841370717865487e+01
1.463117758032787905e-03,-4.949015277061612039e+01
1.479744096192251498e-03,-5.046384799771896468e+01
1.496370434351714874e-03,-5.872954694529207131e+01
1.512996772511178466e-03,-4.486022557845095804e+01
1.529623110670641842e-03,-4.290415257368260882e+01
1.546249448830105434e-03,-4.532561896039080551e+01
1.562875786989569027e-03,-4.776402285359367283e+01
1.579502125149032403e-03,-4.586123334860179312e+01
1.596128463308495995e-03,-4.807071413055677311e+01
1.612754801467959371e-03,-5.660508228689094778e+01
1.629381139627422963e-03,-6.249314917057333219e+01
1.646007477786886339e-03,-6.663179568183846868e+01
1.662633815946349932e-03,-5.699670616135774992e+01
1.679260154105813524e-03,-4.880180870464449328e+01
1.695886492265276900e-03,-4.238889518983582150e+01
1.712512830424740493e-03,-3.913225432235746837e+01
1.729139168584203868e-03,-3.972292993385111970e+01
1.745765506743667461e-03,-4.455803592643877664e+01
1.762391844903130837e-03,-5.220939825214301777e+01
1.779018183062594429e-03,-4.880795776726010615e+01
1.795644521222058022e-03,-4.725319975299842667e+01
1.812270859381521397e-03,-4.700692495323523445e+01
1.828897197540984990e-03,-4.837524549829321785e+01
1.845523535700448366e-03,-5.140770883880649933e+01
1.862149873859911958e-03,-4.531403546423200623e+01
1.878776212019375334e-03,-4.265537219164413330e+01
1.895402550178838927e-03,-4.952115812056126742e+01
1.912028888338302519e-03,-5.373573000744337946e+01
1.928655226497765895e-03,-4.748030685053674915e+01
1.945281564657229487e-03,-4.620695953672247924e+01
1.961907902816693080e-03,-4.750140084682703900e+01
1.978534240976156239e-03,-4.928376490555866951e+01
1.995160579135619831e-03,-5.130510524656251192e+01
2.011786917295083424e-03,-5.783055282292551169e+01
2.028413255454547016e-03,-5.231711862541217073e+01
2.045039593614010609e-03,-4.915740084229391016e+01
2.061665931773473768e-03,-5.105703025156037711e+01
2.078292269932937360e-03,-5.171763877919267571e+01
