distance_m,amplitude_dB
0.000000000000000000e+00,-2.903464427136371739e+01
1.662274410477224248e-05,-2.250145452912214239e+01
3.324548820954448497e-05,-1.689611463869434616e+01
4.986823231431672068e-05,-1.756720254414578974e+01
6.649097641908896994e-05,-2.635026798145823435e+01
8.311372052386119887e-05,-3.082913634340842890e+01
9.973646462863344135e-05,-2.540670559682027374e+01
1.163592087334056838e-04,-3.038268855076543318e+01
1.329819528381779399e-04,-3.584660047864301902e+01
1.496046969429501688e-04,-3.887740057793165960e+01
1.662274410477223977e-04,-2.922663864300707459e+01
1.828501851524946538e-04,-3.460965475554796456e+01
1.994729292572668827e-04,-3.291700240879283967e+01
2.160956733620391387e-04,-2.888903237913840272e+01
2.327184174668113677e-04,-3.482460902822089110e+01
2.493411615715836237e-04,-3.048087445196977185e+01
2.659639056763558797e-04,-3.188340388945771409e+01
2.825866497811280816e-04,-3.803873921650073697e+01
2.992093938859003376e-04,-3.766028858474295049e+01
3.158321379906725936e-04,-3.819318873765845979e+01
3.324548820954447955e-04,-3.839077456713476266e+01
3.490776262002170515e-04,-3.530107125303899096e+01
3.657003703049893075e-04,-3.913047699151283609e+01
3.823231144097615636e-04,-5.402339197346264399e+01
3.989458585145337654e-04,-4.668196046648056097e+01
4.155686026193060214e-04,-4.197835306437241343e+01
4.321913467240782775e-04,-3.892381650000061910e+01
4.488140908288505335e-04,-3.687271974655221385e+01
4.654368349336227353e-04,-3.831244799305612503e+01
4.820595790383949914e-04,-4.081459416481930447e+01
4.986823231431672474e-04,-3.990876436753091383e+01
5.153050672479395035e-04,-4.227046271801694388e+01
5.319278113527117595e-04,-3.771220151525151465e+01
5.485505554574839071e-04,-3.717171498715507738e+01
5.651732995622561631e-04,-3.931372680997002789e+01
5.817960436670284192e-04,-4.120721664704383613e+01
5.984187877718006752e-04,-4.422963592161928403e+01
6.150415318765729313e-04,-5.787362163851572916e+01
6.316642759813451873e-04,-4.073837403471965501e+01
6.482870200861174433e-04,-3.969320606246522232e+01
6.649097641908895909e-04,-4.680605390166563495e+01
6.815325082956618470e-04,-4.409560590136106839e+01
6.981552524004341030e-04,-4.243514183615326374e+01
7.147779965052063591e-04,-4.505610134349016249e+01
7.314007406099786151e-04,-3.665117586586460874e+01
7.480234847147508711e-04,-3.639362001009625658e+01
7.646462288195231272e-04,-3.829542655784950966e+01
7.812689729242953832e-04,-4.236003127841362925e+01
7.978917170290675308e-04,-4.902439647738012951e+01
8.145144611338397869e-04,-3.960589810757518592e+01
8.311372052386120429e-04,-4.277240876337695852e+01
8.477599493433842989e-04,-4.867741971080263141e+01
8.643826934481565550e-04,-4.257197153961237746e+01
8.810054375529288110e-04,-3.854476821686905907e+01
8.976281816577010670e-04,-4.103534758615938927e+01
9.142509257624732147e-04,-4.772312821542118400e+01
9.308736698672454707e-04,-4.874090713265991326e+01
9.474964139720177267e-04,-4.324048568110348612e+01
9.641191580767899828e-04,-5.195818880012495100e+01
9.807419021815621304e-04,-4.587804589925287502e+01
9.973646462863344948e-04,-3.960260121329238814e+01
1.013987390391106642e-03,-3.401692860683763797e+01
1.030610134495879007e-03,-3.097862130560351801e+01
1.047232878600651155e-03,-3.322845031150198736e+01
1.063855622705423519e-03,-4.066737422244260358e+01
1.080478366810195667e-03,-4.415450854869565944e+01
1.097101110914967814e-03,-4.043657738854128780e+01
1.113723855019740179e-03,-3.866918928482920848e+01
1.130346599124512326e-03,-4.259889813551455973e+01
1.146969343229284691e-03,-5.410670383405883399e+01
1.163592087334056838e-03,-4.212553149999654067e+01
1.180214831438829203e-03,-4.280415339202809832e+01
1.196837575543601350e-03,-4.672366355717664987e+01
1.213460319648373498e-03,-4.325594614339539845e+01
