distance_m,amplitude_dB
0.000000000000000000e+00,-4.312660516369778207e+01
1.662292462844394404e-05,-3.662921939864135368e+01
3.324584925688788808e-05,-3.122746169710362096e+01
4.986877388533183213e-05,-3.286170984516484594e+01
6.649169851377577617e-05,-4.113476255785918312e+01
8.311462314221972699e-05,-3.811636338733731577e+01
9.973754777066366425e-05,-4.959056684887320898e+01
1.163604723991076151e-04,-4.748146999864853512e+01
1.329833970275515523e-04,-5.488321652126118266e+01
1.496063216559955032e-04,-4.295491693935350241e+01
1.662292462844394540e-04,-4.310623218895911890e+01
1.828521709128834048e-04,-7.778892465392702604e+01
1.994750955413273285e-04,-5.174912066866221494e+01
2.160980201697712793e-04,-5.395951141174143828e+01
2.327209447982152301e-04,-4.631396222329306056e+01
2.493438694266591539e-04,-5.331431527480751242e+01
2.659667940551031047e-04,-5.577038729206937262e+01
2.825897186835470555e-04,-5.498896496350667462e+01
2.992126433119910063e-04,-5.396638473403722003e+01
3.158355679404349571e-04,-5.306138485643359815e+01
3.324584925688789079e-04,-5.046804336312665384e+01
3.490814171973228588e-04,-5.284984506567621310e+01
3.657043418257668096e-04,-5.704802699157195889e+01
3.823272664542107062e-04,-5.790953092631559684e+01
3.989501910826546570e-04,-5.557396948173308715e+01
4.155731157110986078e-04,-5.893321870847949384e+01
4.321960403395425586e-04,-5.273647201901152215e+01
4.488189649679865095e-04,-4.733665965148454546e+01
4.654418895964304603e-04,-4.892836578697578886e+01
4.820648142248744111e-04,-5.734190499170907174e+01
4.986877388533183077e-04,-6.263999030650946764e+01
5.153106634817623127e-04,-5.569321354362448062e+01
5.319335881102062093e-04,-5.203449928324232587e+01
5.485565127386502144e-04,-5.121558200292669483e+01
5.651794373670941110e-04,-5.456949069075893277e+01
5.818023619955381160e-04,-6.342058550017149798e+01
5.984252866239820126e-04,-5.922511489454906553e+01
6.150482112524259092e-04,-5.792115723487077616e+01
6.316711358808699142e-04,-6.420340766206415140e+01
6.482940605093138109e-04,-5.265834231022533629e+01
6.649169851377578159e-04,-5.411990364999405756e+01
6.815399097662017125e-04,-6.638446635579123267e+01
6.981628343946457175e-04,-5.527286593876673493e+01
7.147857590230896141e-04,-5.437424121257782872e+01
7.314086836515336192e-04,-5.535097386841066935e+01
7.480316082799775158e-04,-5.751618558618655896e+01
7.646545329084214124e-04,-6.058141224959626214e+01
7.812774575368654174e-04,-5.743388370602144022e+01
7.979003821653093140e-04,-5.044767747963592797e+01
8.145233067937533190e-04,-4.843762281490270993e+01
8.311462314221972156e-04,-5.138494574054264064e+01
8.477691560506412207e-04,-5.793558471307397895e+01
8.643920806790851173e-04,-7.529104965700771857e+01
8.810150053075291223e-04,-6.331998232581994301e+01
8.976379299359730189e-04,-6.393998871744077661e+01
9.142608545644169155e-04,-6.401452146086285211e+01
9.308837791928609206e-04,-6.956587301439445525e+01
9.475067038213048172e-04,-6.841260285591873469e+01
9.641296284497488222e-04,-6.293800232347238932e+01
9.807525530781927188e-04,-5.650977922988782609e+01
9.973754777066366154e-04,-5.445324646635952348e+01
1.013998402335080729e-03,-5.102766902477575428e+01
1.030621326963524625e-03,-4.666126496107465726e+01
1.047244251591968522e-03,-4.845378979551771437e+01
1.063867176220412419e-03,-5.762496107531549683e+01
1.080490100848856315e-03,-6.035092191603509093e+01
1.097113025477300429e-03,-5.677139943530648480e+01
1.113735950105744325e-03,-5.364405993306955622e+01
1.130358874734188222e-03,-5.158760833573361992e+01
1.146981799362632119e-03,-5.247653512862510183e+01
1.163604723991076232e-03,-5.468307284248646027e+01
1.180227648619520129e-03,-5.655390928604238354e+01
1.196850573247964025e-03,-5.465548772794261367e+01
1.213473497876407922e-03,-5.252267536157450678e+01
1.230096422504851818e-03,-5.165723352155957571e+01
1.246719347133295932e-03,-5.337892308775650463e+01
1.263342271761739828e-03,-6.273274031845645737e+01
1.279965196390183725e-03,-5.556838229431468790e+01
1.296588121018627622e-03,-5.699190286550412310e+01
1.313211045647071735e-03,-6.031327476627328821e+01
1.329833970275515632e-03,-6.176277792071587669e+01
1.346456894903959528e-03,-6.912123467735216309e+01
1.363079819532403425e-03,-6.354548552107684145e+01
1.379702744160847322e-03,-5.967942277222415726e+01
1.396325668789291435e-03,-5.944632143048964679e+01
1.412948593417735332e-03,-5.608592140291897010e+01
1.429571518046179228e-03,-5.558461790240065881e+01
1.446194442674623125e-03,-5.854765119726855005e+01
1.462817367303067238e-03,-6.222431634877381157e+01
1.479440291931511135e-03,-6.627267402044259370e+01
1.496063216559955032e-03,-6.357830136877532823e+01
1.512686141188398928e-03,-5.697266700962371999e+01
1.529309065816842825e-03,-5.639647657291872918e+01
1.545931990445286938e-03,-5.916688589326131620e+01
1.562554915073730835e-03,-5.864277283528586082e+01
1.579177839702174731e-03,-5.673271352048303839e+01
1.595800764330618628e-03,-6.108525339621284900e+01
1.612423688959062741e-03,-6.104358991199157458e+01
1.629046613587506638e-03,-6.065641664192325777e+01
1.645669538215950535e-03,-5.973329742388337849e+01
1.662292462844394431e-03,-6.547334415605195090e+01
1.678915387472838328e-03,-6.365475995905613615e+01
1.695538312101282441e-03,-5.884061379450885454e+01
1.712161236729726338e-03,-5.502132987911673467e+01
1.728784161358170235e-03,-5.704897658618779133e+01
1.745407085986614131e-03,-7.075864204517009171e+01
1.762030010615058245e-03,-5.622898471586384517e+01
1.778652935243502141e-03,-5.585296334509521898e+01
1.795275859871946038e-03,-5.682204067230709654e+01
1.811898784500389934e-03,-5.318590758407842145e+01
1.828521709128833831e-03,-5.171747307175149189e+01
1.845144633757277945e-03,-5.648296030540340951e+01
1.861767558385721841e-03,-7.888217055727518812e+01
1.878390483014165738e-03,-8.353379147510202074e+01
1.895013407642609634e-03,-6.053668976303735860e+01
1.911636332271053748e-03,-5.515603811811763535e+01
1.928259256899497644e-03,-5.673735936571958405e+01
1.944882181527941541e-03,-5.668366503862473849e+01
1.961505106156385438e-03,-5.281529274108143568e+01
1.978128030784829551e-03,-5.425078705890353348e+01
1.994750955413273231e-03,-5.696983366531551241e+01
2.011373880041717344e-03,-5.730811638890443760e+01
2.027996804670161458e-03,-5.868390676193436661e+01
2.044619729298605137e-03,-6.693377113956388769e+01
2.061242653927049251e-03,-6.016928747585657788e+01
2.077865578555492931e-03,-5.782546152621027602e+01
2.094488503183937044e-03,-6.025739617250871305e+01
2.111111427812381158e-03,-6.073957418835874478e+01
2.127734352440824837e-03,-6.040259378783935773e+01
2.144357277069268951e-03,-5.832505295599153783e+01
2.160980201697712631e-03,-5.592760307804543629e+01
2.177603126326156744e-03,-5.780219027472104187e+01
2.194226050954600857e-03,-6.252572670159969448e+01
2.210848975583044537e-03,-5.605699669641212068e+01
2.227471900211488651e-03,-5.281892846447834700e+01
2.244094824839932764e-03,-5.218580556374679702e+01
2.260717749468376444e-03,-5.259474016653111050e+01
2.277340674096820557e-03,-5.520301047518859150e+01
2.293963598725264237e-03,-5.990588443709519595e+01
2.310586523353708351e-03,-5.793043592937810615e+01
2.327209447982152464e-03,-5.367781509311470245e+01
2.343832372610596144e-03,-5.247493026737029709e+01
2.360455297239040257e-03,-5.484144687535427209e+01
2.377078221867483937e-03,-6.224649544971885717e+01
2.393701146495928050e-03,-6.522051995685640691e+01
2.410324071124372164e-03,-6.787125745797081322e+01
2.426946995752815844e-03,-6.732773734405759569e+01
2.443569920381259957e-03,-6.502545591069795705e+01
2.460192845009703637e-03,-6.177248869291594957e+01
2.476815769638147750e-03,-5.722379089729388113e+01
2.493438694266591864e-03,-5.529420262977156142e+01
