distance_m,amplitude_dB
0.000000000000000000e+00,-5.951881673900799541e+01
1.660557041062597081e-05,-5.171518356786089043e+01
3.321114082125194161e-05,-4.660632803708607952e+01
4.981671123187791581e-05,-4.513264406936709605e+01
6.642228164250388322e-05,-3.619355364064661273e+01
8.302785205312986419e-05,-3.413588888950000921e+01
9.963342246375583161e-05,-3.783197365426837422e+01
1.162389928743818126e-04,-4.396186635908503604e+01
1.328445632850077664e-04,-3.528632060515348456e+01
1.494501336956337474e-04,-3.624817660194604230e+01
1.660557041062597284e-04,-3.715926404862685928e+01
1.826612745168857094e-04,-3.514194857507264658e+01
1.992668449275116632e-04,-3.618324093154775767e+01
2.158724153381376442e-04,-3.979117414392165131e+01
2.324779857487636252e-04,-4.243044297799180242e+01
2.490835561593895790e-04,-4.299784599314746458e+01
2.656891265700155329e-04,-4.691384254490651529e+01
2.822946969806415410e-04,-4.749556582342562905e+01
2.989002673912674948e-04,-4.889912850000914091e+01
3.155058378018935029e-04,-4.814215872751901770e+01
3.321114082125194568e-04,-4.949881857520507822e+01
3.487169786231454106e-04,-5.019724402711865707e+01
3.653225490337714187e-04,-5.328703112600123148e+01
3.819281194443973726e-04,-5.481104125479360789e+01
3.985336898550233264e-04,-5.836021817865501049e+01
4.151392602656493345e-04,-6.719204547560704555e+01
4.317448306762752884e-04,-5.892140191609362887e+01
4.483504010869012422e-04,-6.067705879391054680e+01
4.649559714975272503e-04,-6.665172564517536102e+01
4.815615419081532042e-04,-6.534191082038657328e+01
4.981671123187791581e-04,-6.454521410013694549e+01
5.147726827294051661e-04,-7.366903643252886980e+01
5.313782531400310658e-04,-6.302646671700511405e+01
5.479838235506570739e-04,-6.246430409073254708e+01
5.645893939612830819e-04,-6.150169543019749341e+01
5.811949643719090900e-04,-6.054058587182946383e+01
5.978005347825349897e-04,-5.892301403912948388e+01
6.144061051931609977e-04,-6.020548222454701204e+01
6.310116756037870058e-04,-7.074865519464677277e+01
6.476172460144129055e-04,-6.551985656430350957e+01
6.642228164250389135e-04,-6.151812628859065768e+01
6.808283868356649216e-04,-6.692779031275132695e+01
6.974339572462908213e-04,-5.387795882788111612e+01
7.140395276569168293e-04,-5.319815724755832775e+01
7.306450980675428374e-04,-5.802079970863790948e+01
7.472506684781687371e-04,-6.266652252202155182e+01
7.638562388887947452e-04,-6.023306861598368300e+01
7.804618092994207532e-04,-6.009867324214636142e+01
7.970673797100466529e-04,-5.887399613815901489e+01
8.136729501206726610e-04,-6.231738713121509221e+01
8.302785205312986690e-04,-6.445931454277976513e+01
8.468840909419245687e-04,-5.889162677524908673e+01
8.634896613525505768e-04,-6.225177097764189682e+01
8.800952317631765848e-04,-6.857407233675954217e+01
8.967008021738024845e-04,-6.649565049350098889e+01
9.133063725844284926e-04,-6.128700810256027864e+01
9.299119429950545006e-04,-5.829948973461456063e+01
9.465175134056804003e-04,-6.361988282173260956e+01
9.631230838163064084e-04,-5.726901947325590214e+01
9.797286542269324165e-04,-6.072551309233138284e+01
9.963342246375583161e-04,-6.780048473350399263e+01
1.012939795048184216e-03,-6.026465869089101801e+01
1.029545365458810332e-03,-5.655823660817608811e+01
1.046150935869436232e-03,-6.146398199047255417e+01
1.062756506280062132e-03,-6.155509229349925704e+01
1.079362076690688248e-03,-5.837679681391820452e+01
1.095967647101314148e-03,-6.976719707602003950e+01
1.112573217511940264e-03,-6.108784817475805085e+01
1.129178787922566164e-03,-5.825666790115644034e+01
1.145784358333192064e-03,-5.358860038863548425e+01
1.162389928743818180e-03,-5.297367631234390473e+01
1.178995499154444080e-03,-5.755079482184554962e+01
1.195601069565069979e-03,-5.406496092315315849e+01
1.212206639975696096e-03,-5.675621587959943781e+01
1.228812210386321995e-03,-6.423883257863126062e+01
1.245417780796947895e-03,-5.520658073544895217e+01
1.262023351207574012e-03,-5.439956899721390471e+01
1.278628921618199911e-03,-5.424396946469887126e+01
1.295234492028825811e-03,-5.655647904400849768e+01
1.311840062439451927e-03,-5.750827182402574067e+01
1.328445632850077827e-03,-4.547046014817459536e+01
1.345051203260703727e-03,-4.411266793474231918e+01
1.361656773671329843e-03,-5.083366534398631131e+01
1.378262344081955743e-03,-6.262161919276959310e+01
1.394867914492581643e-03,-6.142274396937487779e+01
1.411473484903207759e-03,-5.363866221029722681e+01
1.428079055313833659e-03,-5.198988087091601074e+01
1.444684625724459558e-03,-5.353163757917179311e+01
1.461290196135085675e-03,-6.822110035358949176e+01
1.477895766545711575e-03,-5.353448706496742915e+01
1.494501336956337474e-03,-5.368701188766522847e+01
1.511106907366963591e-03,-5.619525962774905281e+01
1.527712477777589490e-03,-5.789288356281132764e+01
1.544318048188215390e-03,-5.731291012016909292e+01
1.560923618598841506e-03,-6.235002890000298237e+01
1.577529189009467406e-03,-6.293946983903354919e+01
1.594134759420093306e-03,-6.390529261190625476e+01
1.610740329830719422e-03,-6.612524234070730245e+01
1.627345900241345322e-03,-7.231233474676612616e+01
1.643951470651971222e-03,-6.799202143570974499e+01
1.660557041062597338e-03,-6.513778504496687560e+01
1.677162611473223238e-03,-6.397480845204748334e+01
1.693768181883849137e-03,-6.087988884848417825e+01
1.710373752294475254e-03,-5.813610389841178971e+01
1.726979322705101154e-03,-5.770026264724940290e+01
1.743584893115727053e-03,-6.020030389170018026e+01
1.760190463526353170e-03,-6.276001116894015297e+01
1.776796033936979069e-03,-6.683357014416417030e+01
1.793401604347604969e-03,-7.717769985966012314e+01
1.810007174758231085e-03,-7.895632404093133516e+01
1.826612745168856985e-03,-6.663404225859243013e+01
1.843218315579482885e-03,-6.670132120688106170e+01
1.859823885990109001e-03,-7.548350855201343279e+01
1.876429456400734901e-03,-8.411650370515059194e+01
1.893035026811360801e-03,-7.624171850784964022e+01
1.909640597221986917e-03,-7.570019211002704651e+01
1.926246167632612817e-03,-7.303973164802053475e+01
1.942851738043238716e-03,-7.389063322821003510e+01
1.959457308453864833e-03,-7.856377818955725445e+01
1.976062878864490516e-03,-7.090595581311029605e+01
1.992668449275116632e-03,-6.584776154436828222e+01
2.009274019685742749e-03,-6.212173195476778886e+01
2.025879590096368432e-03,-6.280956118267163646e+01
2.042485160506994548e-03,-6.669604061927903160e+01
2.059090730917620665e-03,-6.594560362973940926e+01
2.075696301328246347e-03,-6.665393973763531221e+01
2.092301871738872464e-03,-6.476448654251353787e+01
2.108907442149498580e-03,-6.619917146357846605e+01
2.125513012560124263e-03,-6.326213090002639916e+01
2.142118582970750380e-03,-6.156448375550505148e+01
2.158724153381376496e-03,-6.368493890461378726e+01
2.175329723792002613e-03,-6.822214881625794192e+01
2.191935294202628295e-03,-7.761089081941004508e+01
2.208540864613254412e-03,-7.313590329255734446e+01
2.225146435023880528e-03,-7.225421095691588391e+01
2.241752005434506211e-03,-7.942657945819834708e+01
2.258357575845132328e-03,-8.269842542079494763e+01
2.274963146255758444e-03,-8.630092708823185887e+01
2.291568716666384127e-03,-8.334863738063326366e+01
2.308174287077010244e-03,-8.258098337725157023e+01
2.324779857487636360e-03,-7.886130204105936059e+01
2.341385427898262043e-03,-7.096007808490702473e+01
2.357990998308888159e-03,-6.395375694511444209e+01
2.374596568719514276e-03,-6.128334272314498321e+01
2.391202139130139959e-03,-6.050478073920268685e+01
2.407807709540766075e-03,-6.144510248339414460e+01
2.424413279951392192e-03,-6.365065447457264725e+01
2.441018850362017874e-03,-6.396040298000197311e+01
2.457624420772643991e-03,-6.374076888775987015e+01
2.474229991183270107e-03,-6.771924334300452131e+01
2.490835561593895790e-03,-7.142822509349322502e+01
2.507441132004521907e-03,-7.741181098052372533e+01
2.524046702415148023e-03,-7.218304347902544293e+01
2.540652272825773706e-03,-6.451193699900375123e+01
2.557257843236399823e-03,-6.329879428832245480e+01
2.573863413647025939e-03,-6.579163176076997388e+01
2.590468984057651622e-03,-6.785439976880093127e+01
2.607074554468277738e-03,-6.777513824626927885e+01
2.623680124878903855e-03,-6.841672498613178277e+01
2.640285695289529538e-03,-7.483384710973056997e+01
2.656891265700155654e-03,-7.316432433367442911e+01
2.673496836110781771e-03,-7.076195305833132920e+01
2.690102406521407453e-03,-7.261214366366283457e+01
2.706707976932033570e-03,-6.790954028833400002e+01
2.723313547342659686e-03,-6.889497567458730032e+01
2.739919117753285369e-03,-7.839185137219600108e+01
2.756524688163911486e-03,-6.516322820047447806e+01
2.773130258574537602e-03,-6.450316999064511947e+01
2.789735828985163285e-03,-6.918940950917041732e+01
2.806341399395789402e-03,-7.304031271157310812e+01
2.822946969806415518e-03,-6.939894280985076591e+01
2.839552540217041201e-03,-6.863280495394953107e+01
2.856158110627667317e-03,-6.860368635743270715e+01
2.872763681038293434e-03,-6.991637203261517186e+01
2.889369251448919117e-03,-7.405897333826719375e+01
2.905974821859545233e-03,-7.543750125116383742e+01
2.922580392270171350e-03,-6.685341532209633897e+01
2.939185962680797033e-03,-6.153139025313659971e+01
2.955791533091423149e-03,-6.057581261569873021e+01
2.972397103502049266e-03,-6.423852900085870488e+01
2.989002673912674948e-03,-6.904555648879848206e+01
3.005608244323301065e-03,-8.126416043979273240e+01
3.022213814733927181e-03,-6.313260060726857859e+01
3.038819385144552864e-03,-5.079030086808781874e+01
3.055424955555178981e-03,-4.411601827022846578e+01
3.072030525965805097e-03,-4.312068518922085758e+01
3.088636096376430780e-03,-4.829053922419788591e+01
3.105241666787056896e-03,-6.107094613515981507e+01
