distance_m,amplitude_dB
0.000000000000000000e+00,-1.784450111774961911e+01
1.658874374711359354e-05,-1.090228476997181062e+01
3.317748749422718709e-05,-4.417118403103853730e+00
4.976623124134078402e-05,-2.701001705998823610e+00
6.635497498845437418e-05,-4.169454885650633713e+00
8.294371873556797788e-05,-5.649741748724058432e+00
9.953246248268156804e-05,-7.126694197474518155e+00
1.161212062297951582e-04,-8.819692206156485526e+00
1.327099499769087484e-04,-9.989383109874786726e+00
1.492986937240223385e-04,-1.130050104686759660e+01
1.658874374711359558e-04,-1.316291707109838427e+01
1.824761812182495459e-04,-1.388169311386216798e+01
1.990649249653631361e-04,-1.323315381076252173e+01
2.156536687124767262e-04,-1.309096034871815561e+01
2.322424124595903164e-04,-1.425577197861197831e+01
2.488311562067039065e-04,-1.691870308462833350e+01
2.654198999538174967e-04,-2.123162221233869573e+01
2.820086437009310869e-04,-2.563436912655937050e+01
2.985973874480446770e-04,-2.731031715804585147e+01
3.151861311951583214e-04,-2.575614702196121897e+01
3.317748749422719115e-04,-2.258651745317578374e+01
3.483636186893855017e-04,-2.002275131098454253e+01
3.649523624364990919e-04,-2.070846578794179038e+01
3.815411061836126820e-04,-2.523966063236560231e+01
3.981298499307262722e-04,-3.108440626930258688e+01
4.147185936778398623e-04,-3.870680811027389012e+01
4.313073374249534525e-04,-3.761430553725043069e+01
4.478960811720670426e-04,-3.354087808490995570e+01
4.644848249191806328e-04,-3.460051727135550692e+01
4.810735686662942229e-04,-3.355622223565062257e+01
4.976623124134078131e-04,-3.789732954007574506e+01
5.142510561605214033e-04,-3.578129878422074484e+01
5.308397999076349934e-04,-3.259186861822017534e+01
5.474285436547485836e-04,-3.171621200168286236e+01
5.640172874018621737e-04,-2.971738700714195858e+01
5.806060311489757639e-04,-2.812826534625536823e+01
5.971947748960893540e-04,-2.885306504419990148e+01
6.137835186432030526e-04,-3.143389318011328015e+01
6.303722623903166428e-04,-3.527409408169664573e+01
6.469610061374302329e-04,-3.789224589533510112e+01
6.635497498845438231e-04,-4.631681522464270984e+01
6.801384936316574132e-04,-3.928330859783380191e+01
6.967272373787710034e-04,-4.080213728603551715e+01
7.133159811258845935e-04,-3.438594415645899716e+01
7.299047248729981837e-04,-3.429263670837647737e+01
7.464934686201117739e-04,-3.385144513804458200e+01
7.630822123672253640e-04,-3.058540960582588042e+01
7.796709561143389542e-04,-2.903567178102365887e+01
7.962596998614525443e-04,-3.179391918003696915e+01
8.128484436085661345e-04,-3.745450756791395008e+01
8.294371873556797246e-04,-3.845409709740683013e+01
8.460259311027933148e-04,-4.310407217574282868e+01
8.626146748499069049e-04,-3.828222885442143308e+01
8.792034185970204951e-04,-3.334674333932210288e+01
8.957921623441340853e-04,-3.261906961090667778e+01
9.123809060912476754e-04,-3.281335734933205828e+01
9.289696498383612656e-04,-3.427777679984969694e+01
9.455583935854748557e-04,-3.706287216826336817e+01
9.621471373325884459e-04,-4.155857740942333578e+01
9.787358810797021445e-04,-3.529245352745019204e+01
9.953246248268156262e-04,-3.028853592614608203e+01
1.011913368573929325e-03,-2.875246997393241344e+01
1.028502112321042807e-03,-2.628851036545689723e+01
1.045090856068156505e-03,-2.700393556795293648e+01
1.061679599815269987e-03,-3.322110857564796049e+01
1.078268343562383685e-03,-3.365065457554310058e+01
1.094857087309497167e-03,-3.254653464614170133e+01
1.111445831056610866e-03,-3.488902267952862246e+01
1.128034574803724347e-03,-3.461897053281244041e+01
1.144623318550838046e-03,-3.415832012626595571e+01
1.161212062297951528e-03,-3.614224623108093937e+01
1.177800806045065226e-03,-4.040298524890960863e+01
1.194389549792178708e-03,-4.977616716234346939e+01
1.210978293539292407e-03,-5.802397889187761848e+01
1.227567037286406105e-03,-4.851601092179681984e+01
1.244155781033519587e-03,-4.630532277103708338e+01
1.260744524780633286e-03,-5.159798285792568606e+01
1.277333268527746767e-03,-4.229008815251606279e+01
1.293922012274860466e-03,-3.302678380100236666e+01
1.310510756021973948e-03,-3.117179296109164355e+01
1.327099499769087646e-03,-3.290202210047827691e+01
1.343688243516201128e-03,-3.064099841893117926e+01
1.360276987263314826e-03,-3.005676985982906757e+01
1.376865731010428308e-03,-3.246120462592686096e+01
1.393454474757542007e-03,-3.826709546313188781e+01
1.410043218504655489e-03,-3.742962801957284569e+01
1.426631962251769187e-03,-3.240056536891642480e+01
1.443220705998882669e-03,-3.330768050745958675e+01
1.459809449745996367e-03,-3.674589095930058136e+01
1.476398193493109849e-03,-4.242105733864796946e+01
1.492986937240223548e-03,-4.245488244293711944e+01
1.509575680987337029e-03,-3.773011134165957259e+01
1.526164424734450728e-03,-4.076051703609234522e+01
1.542753168481564210e-03,-4.272580329411653821e+01
1.559341912228677908e-03,-4.069896167465291370e+01
1.575930655975791390e-03,-3.972175168466761619e+01
1.592519399722905089e-03,-4.854916794688949722e+01
1.609108143470018787e-03,-5.369596034778409432e+01
1.625696887217132269e-03,-3.895735822543468885e+01
1.642285630964245968e-03,-3.193427069345328917e+01
1.658874374711359449e-03,-3.202675056034967582e+01
1.675463118458473148e-03,-3.579756334123462125e+01
1.692051862205586630e-03,-3.977625164221016973e+01
1.708640605952700328e-03,-3.663767699666210120e+01
1.725229349699813810e-03,-3.629131943512848579e+01
1.741818093446927508e-03,-4.254167890404372088e+01
1.758406837194040990e-03,-3.789093988124696466e+01
1.774995580941154689e-03,-3.545587414828857220e+01
1.791584324688268171e-03,-3.242098685046040174e+01
1.808173068435381869e-03,-3.225570944893827630e+01
1.824761812182495351e-03,-3.526808117724477398e+01
1.841350555929609049e-03,-4.424257321744747884e+01
1.857939299676722531e-03,-3.871872419390125231e+01
1.874528043423836230e-03,-3.446604643942593782e+01
1.891116787170949711e-03,-4.316785718092874902e+01
1.907705530918063410e-03,-3.984190090397702022e+01
1.924294274665176892e-03,-3.792479974221695471e+01
1.940883018412290590e-03,-3.339266778202588171e+01
1.957471762159404289e-03,-3.243965279822013770e+01
1.974060505906517771e-03,-3.818027715502680763e+01
1.990649249653631252e-03,-3.582904773305533297e+01
2.007237993400745168e-03,-3.223787610012532667e+01
2.023826737147858650e-03,-3.284902925831347886e+01
2.040415480894972131e-03,-3.444133950707840341e+01
2.057004224642085613e-03,-3.365402440290114328e+01
2.073592968389199528e-03,-3.322586918473325568e+01
2.090181712136313010e-03,-3.296325718000864669e+01
2.106770455883426492e-03,-3.439116086163376451e+01
2.123359199630539974e-03,-3.784637457868025479e+01
2.139947943377653889e-03,-3.600286089379817156e+01
2.156536687124767371e-03,-3.635138193292630859e+01
2.173125430871880853e-03,-3.938132413389412534e+01
2.189714174618994334e-03,-3.762233375600916219e+01
2.206302918366108250e-03,-3.424034051557337222e+01
2.222891662113221731e-03,-3.303431226393490761e+01
2.239480405860335213e-03,-3.442633305640526231e+01
2.256069149607448695e-03,-3.675292577393149429e+01
2.272657893354562610e-03,-3.498155369046064322e+01
2.289246637101676092e-03,-3.615016018551217059e+01
2.305835380848789574e-03,-3.482911339899175829e+01
2.322424124595903056e-03,-3.451724208157773433e+01
2.339012868343016971e-03,-4.652716460581672919e+01
2.355601612090130453e-03,-4.077460917142494168e+01
2.372190355837243934e-03,-4.106358038601957361e+01
2.388779099584357416e-03,-4.285202031970798942e+01
2.405367843331471332e-03,-4.388307449461254350e+01
2.421956587078584813e-03,-4.763163058016000662e+01
2.438545330825698295e-03,-3.526507222981079792e+01
2.455134074572812210e-03,-3.258254221272351003e+01
2.471722818319925692e-03,-3.365605177610487431e+01
2.488311562067039174e-03,-3.594333018757344433e+01
2.504900305814152656e-03,-3.663674833222052740e+01
2.521489049561266571e-03,-3.572144816829143110e+01
2.538077793308380053e-03,-3.487121000261085157e+01
2.554666537055493535e-03,-3.402831538385958510e+01
2.571255280802607016e-03,-3.512548489777758220e+01
2.587844024549720932e-03,-4.124983103076917246e+01
2.604432768296834413e-03,-5.234815580612925601e+01
2.621021512043947895e-03,-5.517784750545258987e+01
2.637610255791061377e-03,-5.023679096897804186e+01
2.654198999538175292e-03,-4.061807745008717063e+01
2.670787743285288774e-03,-4.235849803399575819e+01
2.687376487032402256e-03,-4.320815466734521948e+01
2.703965230779515738e-03,-3.857060357175604537e+01
2.720553974526629653e-03,-4.020082555988271622e+01
2.737142718273743135e-03,-4.451910263803024748e+01
2.753731462020856616e-03,-4.880625529469088519e+01
2.770320205767970098e-03,-3.715851534020858793e+01
2.786908949515084014e-03,-3.440260921846287090e+01
2.803497693262197495e-03,-3.655126014590388195e+01
2.820086437009310977e-03,-3.628410148623166265e+01
2.836675180756424892e-03,-3.643516366642559490e+01
2.853263924503538374e-03,-4.458599365084288735e+01
2.869852668250651856e-03,-5.030070147496108035e+01
2.886441411997765338e-03,-4.807228033724074123e+01
2.903030155744879253e-03,-3.946696486430865747e+01
2.919618899491992735e-03,-3.440618803523603475e+01
2.936207643239106217e-03,-3.390555577814664900e+01
2.952796386986219698e-03,-3.823023374082661974e+01
2.969385130733333614e-03,-4.366374861477818570e+01
2.985973874480447095e-03,-3.871504653016943109e+01
3.002562618227560577e-03,-3.663364238414181528e+01
3.019151361974674059e-03,-3.486832664426449924e+01
3.035740105721787974e-03,-3.010365083899968397e+01
3.052328849468901456e-03,-2.341904135679266119e+01
3.068917593216014938e-03,-2.216952612539917311e+01
3.085506336963128420e-03,-2.752012824278035197e+01
3.102095080710242335e-03,-3.982531299466558750e+01
3.118683824457355817e-03,-4.598596578249597400e+01
3.135272568204469298e-03,-3.790953662707524785e+01
3.151861311951582780e-03,-3.392046724951937620e+01
3.168450055698696696e-03,-3.200234337396364026e+01
3.185038799445810177e-03,-3.209924484523944699e+01
3.201627543192923659e-03,-3.408919962448648988e+01
