distance_m,amplitude_dB
0.000000000000000000e+00,-7.656261964103192952e+01
1.658870925766713512e-05,-6.810305131538208911e+01
3.317741851533427024e-05,-5.550445301385587271e+01
4.976612777300140535e-05,-4.719841972710061384e+01
6.635483703066854047e-05,-4.472987944065397414e+01
8.294354628833567559e-05,-4.781555739831728147e+01
9.953225554600281071e-05,-5.096741402662529907e+01
1.161209648036699458e-04,-5.161061175566979387e+01
1.327096740613370809e-04,-5.262024353419734268e+01
1.492983833190042161e-04,-5.508865825710305586e+01
1.658870925766713512e-04,-5.680355216188070244e+01
1.824758018343384863e-04,-4.848713117004965767e+01
1.990645110920056214e-04,-4.692890097395093818e+01
2.156532203496727565e-04,-5.291359222957738240e+01
2.322419296073398916e-04,-5.874388388307210818e+01
2.488306388650070268e-04,-5.613086775702124953e+01
2.654193481226741619e-04,-5.724240406146086713e+01
2.820080573803412970e-04,-6.001867390511825562e+01
2.985967666380084321e-04,-6.647738703712997221e+01
3.151854758956755672e-04,-5.887895347480765906e+01
3.317741851533427024e-04,-5.712736841169092372e+01
3.483628944110098375e-04,-6.174297820960210004e+01
3.649516036686769726e-04,-6.596383039220279443e+01
3.815403129263441077e-04,-6.705798807668163874e+01
3.981290221840112428e-04,-7.458336422983249747e+01
4.147177314416783779e-04,-7.458316780566123327e+01
4.313064406993455131e-04,-6.823664237607461303e+01
4.478951499570126482e-04,-6.485400805230422350e+01
4.644838592146797833e-04,-6.496705143740950916e+01
4.810725684723469184e-04,-6.481681158347412008e+01
4.976612777300140535e-04,-6.531802906964742306e+01
5.142499869876811886e-04,-6.688104227710388727e+01
5.308386962453483238e-04,-6.836788274536320387e+01
5.474274055030154589e-04,-6.438080088905073239e+01
5.640161147606825940e-04,-6.329574263500418851e+01
5.806048240183497291e-04,-6.221342662908027421e+01
5.971935332760168642e-04,-6.495200944013538447e+01
6.137822425336839994e-04,-7.502674123779358695e+01
6.303709517913511345e-04,-8.048380268092762435e+01
6.469596610490182696e-04,-7.592996027855592445e+01
6.635483703066854047e-04,-7.546910177264946640e+01
6.801370795643525398e-04,-7.765774331384641016e+01
6.967257888220196749e-04,-7.339493052107181370e+01
7.133144980796868101e-04,-6.668688149879315574e+01
7.299032073373539452e-04,-6.579099840328554194e+01
7.464919165950210803e-04,-6.936936559740675534e+01
7.630806258526882154e-04,-6.779117138899222539e+01
7.796693351103553505e-04,-6.534171446011411888e+01
7.962580443680224856e-04,-6.341894135059583704e+01
8.128467536256896208e-04,-6.774669571009727065e+01
8.294354628833567559e-04,-7.496393580518875410e+01
8.460241721410238910e-04,-6.749922439734147872e+01
8.626128813986910261e-04,-7.036381499448131649e+01
8.792015906563581612e-04,-7.540061636442098347e+01
8.957902999140252964e-04,-7.623871389760238060e+01
9.123790091716924315e-04,-6.907761756104714834e+01
9.289677184293595666e-04,-6.882350804839722969e+01
9.455564276870267017e-04,-7.589511407768546292e+01
9.621451369446938368e-04,-6.690445819218271595e+01
9.787338462023608635e-04,-6.834110972763424741e+01
9.953225554600281071e-04,-7.625042068023985564e+01
1.011911264717695134e-03,-7.418873195820795274e+01
1.028499973975362377e-03,-7.401713561345368930e+01
1.045088683233029404e-03,-6.823959604958645286e+01
1.061677392490696648e-03,-6.234650061259316089e+01
1.078266101748363674e-03,-6.237758992799093249e+01
1.094854811006030918e-03,-6.489709302657803391e+01
1.111443520263697944e-03,-7.190192423300781854e+01
1.128032229521365188e-03,-7.403705328541406061e+01
1.144620938779032215e-03,-7.335724495714383409e+01
1.161209648036699458e-03,-6.628515093471774833e+01
1.177798357294366485e-03,-6.149251906607400286e+01
1.194387066552033728e-03,-6.222949287440904698e+01
1.210975775809700755e-03,-6.787590475066363638e+01
1.227564485067367999e-03,-7.353993261076517740e+01
1.244153194325035025e-03,-7.396981146222961456e+01
1.260741903582702269e-03,-6.930614843284476478e+01
1.277330612840369296e-03,-7.276339132143219501e+01
1.293919322098036539e-03,-8.182996241023880657e+01
1.310508031355703566e-03,-7.101090503148147093e+01
1.327096740613370809e-03,-6.967848292635187590e+01
1.343685449871037836e-03,-7.033508322829638360e+01
1.360274159128705080e-03,-6.980048828233654490e+01
1.376862868386372106e-03,-6.954402526889103342e+01
