distance_m,amplitude_dB
0.000000000000000000e+00,-6.488818954889379143e+01
1.658529513314202400e-05,-5.666118249370826732e+01
3.317059026628404799e-05,-5.000451541016183654e+01
4.975588539942607199e-05,-4.755762323764734845e+01
6.634118053256809599e-05,-4.877133458236641417e+01
8.292647566571011999e-05,-5.249123980372629461e+01
9.951177079885214398e-05,-4.991904574908090808e+01
1.160970659319941680e-04,-4.403768526167205266e+01
1.326823610651361920e-04,-4.143519188860199165e+01
1.492676561982782160e-04,-4.142950066346270432e+01
1.658529513314202400e-04,-4.545419935938603118e+01
1.824382464645622640e-04,-5.377399678587348575e+01
1.990235415977042880e-04,-5.412492839203375183e+01
2.156088367308463120e-04,-5.069418761751830260e+01
2.321941318639883360e-04,-5.330243367747247163e+01
2.487794269971303329e-04,-6.343705227093891352e+01
2.653647221302723840e-04,-7.085826964896661195e+01
2.819500172634143808e-04,-6.699649234410986764e+01
2.985353123965564319e-04,-5.689593268744503263e+01
3.151206075296984288e-04,-5.542202096142637657e+01
3.317059026628404799e-04,-5.658076049270529495e+01
3.482911977959824768e-04,-5.520837693544424951e+01
3.648764929291245279e-04,-5.326854559806309908e+01
3.814617880622665248e-04,-5.497239249240142556e+01
3.980470831954085759e-04,-6.431346988711457868e+01
4.146323783285505728e-04,-7.128279974863158941e+01
4.312176734616926239e-04,-6.345278772299683112e+01
4.478029685948346208e-04,-5.977876845903428205e+01
4.643882637279766719e-04,-6.252147759764305590e+01
4.809735588611186688e-04,-5.962949321252705204e+01
4.975588539942606657e-04,-5.842825248047341091e+01
5.141441491274027168e-04,-5.958501904505401114e+01
5.307294442605447679e-04,-5.857932834339659678e+01
5.473147393936868190e-04,-6.294869994478102626e+01
5.639000345268287617e-04,-6.867460671822611573e+01
5.804853296599708128e-04,-6.483905881452811570e+01
5.970706247931128639e-04,-6.891027430866527936e+01
6.136559199262549150e-04,-6.532194977431571203e+01
6.302412150593968577e-04,-5.815967708298254024e+01
6.468265101925389088e-04,-5.658475587712711530e+01
6.634118053256809599e-04,-5.838225735041110909e+01
6.799971004588230110e-04,-6.302167700113983528e+01
6.965823955919649537e-04,-6.674246378844284777e+01
7.131676907251070048e-04,-6.630025035188880622e+01
7.297529858582490559e-04,-7.249953295283978605e+01
7.463382809913911070e-04,-6.817273257840975020e+01
7.629235761245330497e-04,-6.946752522880517233e+01
7.795088712576751008e-04,-6.962771291817848862e+01
7.960941663908171519e-04,-6.982828814546473950e+01
8.126794615239590945e-04,-7.110183961192734614e+01
8.292647566571011456e-04,-7.372433652022392891e+01
8.458500517902431967e-04,-7.249884856241541797e+01
8.624353469233852479e-04,-7.175179259663320863e+01
8.790206420565271905e-04,-7.865254691916382512e+01
8.956059371896692416e-04,-8.051617388742414505e+01
9.121912323228112927e-04,-7.113554895974365877e+01
9.287765274559533438e-04,-6.770935443236129458e+01
9.453618225890952865e-04,-7.949173151479342891e+01
9.619471177222373376e-04,-6.687982408536140611e+01
9.785324128553792803e-04,-6.332526912500186000e+01
9.951177079885213314e-04,-6.721673027183435067e+01
1.011703003121663383e-03,-6.879952894478000758e+01
1.028288298254805434e-03,-6.423964313950602900e+01
1.044873593387947485e-03,-6.253746473107065640e+01
1.061458888521089536e-03,-6.098037806726412668e+01
1.078044183654231587e-03,-6.260445994167342576e+01
1.094629478787373638e-03,-6.557186105768890627e+01
1.111214773920515472e-03,-6.549554885517706282e+01
1.127800069053657523e-03,-6.624187477005372671e+01
1.144385364186799574e-03,-7.217969151533527850e+01
1.160970659319941626e-03,-6.827843687143152351e+01
1.177555954453083677e-03,-6.794628079876611082e+01
1.194141249586225728e-03,-7.881522285588886234e+01
1.210726544719367779e-03,-7.094808165408886680e+01
1.227311839852509830e-03,-6.986216003008563291e+01
1.243897134985651664e-03,-6.916012911623371906e+01
1.260482430118793715e-03,-7.250198953849425720e+01
1.277067725251935766e-03,-7.074314724671847898e+01
1.293653020385077818e-03,-6.570090031234515493e+01
1.310238315518219869e-03,-6.769151221091480863e+01
1.326823610651361920e-03,-7.340821214707315789e+01
1.343408905784503971e-03,-7.833093919696867147e+01
1.359994200917646022e-03,-7.928762195191330875e+01
1.376579496050787856e-03,-7.315040178535400628e+01
1.393164791183929907e-03,-6.654482825580072358e+01
1.409750086317071958e-03,-6.750229603805965439e+01
1.426335381450214010e-03,-9.051334013501917752e+01
1.442920676583356061e-03,-7.086903908378101846e+01
1.459505971716498112e-03,-7.423371048255714300e+01
1.476091266849640163e-03,-7.844525789018537409e+01
1.492676561982782214e-03,-7.282832734402370534e+01
1.509261857115924048e-03,-7.778511395096843728e+01
1.525847152249066099e-03,-7.829536122247145613e+01
1.542432447382208150e-03,-7.050184272736206026e+01
1.559017742515350202e-03,-6.946662034773382288e+01
1.575603037648492253e-03,-6.768368124889938997e+01
1.592188332781634304e-03,-6.491818307583825742e+01
1.608773627914776355e-03,-6.622463553148756432e+01
1.625358923047918189e-03,-7.756105100553818943e+01
1.641944218181060240e-03,-7.245259480584931566e+01
1.658529513314202291e-03,-6.874375207493349649e+01
1.675114808447344342e-03,-6.667474241303263227e+01
1.691700103580486393e-03,-6.594820707402973881e+01
1.708285398713628445e-03,-6.669024151187596772e+01
1.724870693846770496e-03,-6.908124162877751928e+01
1.741455988979912547e-03,-7.888026966153232422e+01
1.758041284113054381e-03,-6.692523923126371699e+01
1.774626579246196432e-03,-6.914864474579127318e+01
1.791211874379338483e-03,-8.394133661729009077e+01
1.807797169512480534e-03,-7.614275823966372059e+01
1.824382464645622585e-03,-7.804993429573927699e+01
1.840967759778764637e-03,-7.088147909054541174e+01
1.857553054911906688e-03,-7.196803131000616816e+01
1.874138350045048739e-03,-8.090210155975941575e+01
1.890723645178190573e-03,-6.799422902638001176e+01
1.907308940311332624e-03,-6.716980134627944210e+01
1.923894235444474675e-03,-7.256647174940773937e+01
1.940479530577616726e-03,-7.763587694042038834e+01
1.957064825710758561e-03,-7.413213690816148471e+01
1.973650120843900829e-03,-7.431444046556633509e+01
1.990235415977042663e-03,-7.198417690293162252e+01
2.006820711110184931e-03,-6.770471666681072520e+01
2.023406006243326765e-03,-7.165080992028546802e+01
2.039991301376469033e-03,-7.411217063428816232e+01
2.056576596509610867e-03,-6.873523597828683762e+01
2.073161891642753135e-03,-6.661995780356492958e+01
2.089747186775894969e-03,-5.780121251299219409e+01
2.106332481909036804e-03,-5.859623652724292242e+01
2.122917777042179072e-03,-6.913501292897439043e+01
2.139503072175320906e-03,-9.246197140542631132e+01
2.156088367308463174e-03,-7.320444271628998933e+01
2.172673662441605008e-03,-6.738112942536959338e+01
2.189258957574747276e-03,-6.396101704255271869e+01
2.205844252707889110e-03,-6.442665955085821849e+01
2.222429547841030945e-03,-6.992691655230147774e+01
2.239014842974173213e-03,-7.317808653893499127e+01
2.255600138107315047e-03,-8.292194380561211631e+01
2.272185433240457315e-03,-7.146589032941912478e+01
2.288770728373599149e-03,-7.051391302237762204e+01
2.305356023506741417e-03,-7.457509027070473451e+01
2.321941318639883251e-03,-9.095772592178008153e+01
2.338526613773025519e-03,-7.955024926497841875e+01
2.355111908906167353e-03,-7.344721409918867039e+01
2.371697204039309188e-03,-6.849625857176543775e+01
2.388282499172451456e-03,-7.149498905018924688e+01
2.404867794305593290e-03,-7.626989737004205949e+01
2.421453089438735558e-03,-6.756769412362642413e+01
2.438038384571877392e-03,-6.726443346892003206e+01
2.454623679705019660e-03,-6.889254987148721909e+01
2.471208974838161494e-03,-7.054380385785576379e+01
2.487794269971303329e-03,-7.356681511332087098e+01
2.504379565104445596e-03,-7.857120842499529090e+01
2.520964860237587431e-03,-7.462931086963669713e+01
2.537550155370729699e-03,-7.449076452645023494e+01
2.554135450503871533e-03,-5.696260111260339443e+01
2.570720745637013801e-03,-5.076206645570937326e+01
2.587306040770155635e-03,-5.129597470664349146e+01
2.603891335903297469e-03,-5.783972544711606645e+01
2.620476631036439737e-03,-6.886209841580776470e+01
2.637061926169581572e-03,-7.883327180187268368e+01
2.653647221302723840e-03,-7.673321111059352972e+01
2.670232516435865674e-03,-6.590786977398789759e+01
2.686817811569007942e-03,-6.237215679096892984e+01
2.703403106702149776e-03,-6.348483282847820419e+01
2.719988401835292044e-03,-6.623976333077928302e+01
2.736573696968433878e-03,-6.787956520963354023e+01
2.753158992101575712e-03,-6.989129682170408842e+01
2.769744287234717980e-03,-7.409695415511751548e+01
2.786329582367859815e-03,-7.016090311056532869e+01
2.802914877501002083e-03,-6.691918905757636082e+01
2.819500172634143917e-03,-6.511894017360815212e+01
2.836085467767286185e-03,-6.490689218936903160e+01
2.852670762900428019e-03,-6.999350637832330335e+01
2.869256058033569853e-03,-6.958114714152382874e+01
2.885841353166712121e-03,-6.344658812644056667e+01
2.902426648299853956e-03,-6.219113765742737598e+01
2.919011943432996223e-03,-6.512042590326628044e+01
2.935597238566138058e-03,-7.327861253070766168e+01
2.952182533699280326e-03,-7.291864354422901329e+01
2.968767828832422160e-03,-6.745406146943474823e+01
2.985353123965564428e-03,-6.756819778144743793e+01
3.001938419098706262e-03,-6.524073485651767612e+01
3.018523714231848096e-03,-5.884404228697057704e+01
3.035109009364990364e-03,-4.238981838248338363e+01
3.051694304498132199e-03,-3.341309857720315790e+01
3.068279599631274467e-03,-3.141032066863127881e+01
3.084864894764416301e-03,-3.595049111344253845e+01
3.101450189897558569e-03,-4.758920849600137615e+01
3.118035485030700403e-03,-6.494985651232707369e+01
3.134620780163842237e-03,-6.125890083799848185e+01
3.151206075296984505e-03,-4.687919126518046653e+01
3.167791370430126340e-03,-4.097635547328776795e+01
3.184376665563268607e-03,-4.184225532061584829e+01
3.200961960696410442e-03,-5.028748301650404073e+01
3.217547255829552710e-03,-8.725472364296983585e+01
3.234132550962694544e-03,-7.044965523760288306e+01
3.250717846095836378e-03,-7.597978209958873208e+01
3.267303141228978646e-03,-7.673373150784995289e+01
3.283888436362120480e-03,-6.958974286871003301e+01
3.300473731495262748e-03,-7.225713696484046977e+01
3.317059026628404583e-03,-6.930384216748613824e+01
3.333644321761546851e-03,-6.683430091980768850e+01
3.350229616894688685e-03,-6.208650491900645818e+01
3.366814912027830953e-03,-5.095151557714956425e+01
3.383400207160972787e-03,-4.609269610809818118e+01
3.399985502294114621e-03,-4.827259371196151960e+01
3.416570797427256889e-03,-5.756624307122437756e+01
3.433156092560398723e-03,-7.227483833009102909e+01
3.449741387693540991e-03,-7.797144580022974480e+01
3.466326682826682826e-03,-5.680322174895101739e+01
3.482911977959825094e-03,-4.803195749316973462e+01
3.499497273092966928e-03,-4.665628687244183226e+01
3.516082568226108762e-03,-5.094429310158166402e+01
3.532667863359251030e-03,-5.308260640026154675e+01
3.549253158492392864e-03,-4.993385166263320230e+01
3.565838453625535132e-03,-5.061569144488267114e+01
3.582423748758676967e-03,-5.655532548277996341e+01
3.599009043891819234e-03,-6.669486787411779005e+01
3.615594339024961069e-03,-9.516465884052911406e+01
3.632179634158103337e-03,-6.767624716921733352e+01
3.648764929291245171e-03,-6.054308845849121212e+01
3.665350224424387005e-03,-5.813352722375513792e+01
3.681935519557529273e-03,-6.001680965540095514e+01
3.698520814690671107e-03,-6.464168463257168185e+01
3.715106109823813375e-03,-6.629688596938174783e+01
3.731691404956955210e-03,-7.689696826466536095e+01
3.748276700090097478e-03,-6.850733221414927243e+01
3.764861995223239312e-03,-6.245375795343981906e+01
3.781447290356381146e-03,-6.139024991367918460e+01
3.798032585489523414e-03,-6.261846068780084806e+01
3.814617880622665248e-03,-6.474703966523813392e+01
3.831203175755807516e-03,-6.753792106491367520e+01
3.847788470888949350e-03,-6.887480932595860850e+01
3.864373766022091618e-03,-6.803364597915769707e+01
3.880959061155233453e-03,-6.715029514184263348e+01
3.897544356288375721e-03,-6.691595698458147012e+01
3.914129651421517121e-03,-6.881766780242655557e+01
3.930714946554659389e-03,-7.247177939232712163e+01
3.947300241687801657e-03,-7.185347748459324180e+01
3.963885536820943925e-03,-7.326226018578572052e+01
3.980470831954085326e-03,-6.957690786479074063e+01
3.997056127087227594e-03,-6.812798090418557706e+01
4.013641422220369862e-03,-6.932962752738281154e+01
4.030226717353511262e-03,-6.679458922831217649e+01
4.046812012486653530e-03,-6.346910124838580458e+01
4.063397307619795798e-03,-6.432943981549632895e+01
4.079982602752938066e-03,-6.671350667075574847e+01
4.096567897886079467e-03,-7.697603711240222424e+01
4.113153193019221734e-03,-6.852229770313837776e+01
4.129738488152364002e-03,-6.287385375649727592e+01
4.146323783285506270e-03,-6.154192497995875044e+01
4.162909078418647671e-03,-6.348271873582469738e+01
4.179494373551789939e-03,-6.702041942094071203e+01
4.196079668684932207e-03,-7.135841222885832735e+01
4.212664963818073607e-03,-8.288274439752727574e+01
4.229250258951215875e-03,-6.968874582465201684e+01
4.245835554084358143e-03,-7.056004275216194799e+01
4.262420849217500411e-03,-7.598879928609666479e+01
4.279006144350641812e-03,-7.216903549654104211e+01
4.295591439483784080e-03,-7.800481212578878853e+01
4.312176734616926348e-03,-7.402807660344601004e+01
4.328762029750067748e-03,-7.570678544865563708e+01
4.345347324883210016e-03,-7.287138969667316246e+01
4.361932620016352284e-03,-7.211168462879709296e+01
4.378517915149494552e-03,-8.595817781124392809e+01
4.395103210282635953e-03,-7.590303477724856407e+01
4.411688505415778221e-03,-6.915988645716849703e+01
4.428273800548920489e-03,-7.106326127002785142e+01
4.444859095682061889e-03,-7.201135717238672385e+01
4.461444390815204157e-03,-7.231998741563052135e+01
4.478029685948346425e-03,-7.944413144426746953e+01
4.494614981081488693e-03,-7.745216752569037055e+01
4.511200276214630094e-03,-8.668277307992110536e+01
4.527785571347772361e-03,-7.437476226359309806e+01
4.544370866480914629e-03,-6.966868223268906490e+01
4.560956161614056030e-03,-6.648062825631021155e+01
4.577541456747198298e-03,-6.451833737815292125e+01
4.594126751880340566e-03,-6.413283167022204623e+01
4.610712047013482834e-03,-6.709095559356667593e+01
4.627297342146624234e-03,-7.602482071867250113e+01
4.643882637279766502e-03,-6.910320915716157231e+01
4.660467932412908770e-03,-7.124215492063387956e+01
4.677053227546051038e-03,-7.425176898309217677e+01
4.693638522679192439e-03,-6.907855029690335869e+01
4.710223817812334707e-03,-6.731859316097778390e+01
4.726809112945476975e-03,-7.350270128998931796e+01
4.743394408078618375e-03,-8.657097933818624824e+01
4.759979703211760643e-03,-6.954013658527225061e+01
4.776564998344902911e-03,-6.177047624758743893e+01
4.793150293478045179e-03,-6.056321264925757930e+01
4.809735588611186580e-03,-6.492872238630518211e+01
4.826320883744328848e-03,-8.480660949637209001e+01
4.842906178877471116e-03,-7.481284996777824858e+01
4.859491474010612516e-03,-8.083896406885158115e+01
4.876076769143754784e-03,-8.183163659732923634e+01
4.892662064276897052e-03,-7.348831215608102241e+01
4.909247359410039320e-03,-7.371412948500355355e+01
4.925832654543180721e-03,-7.389126614923210923e+01
4.942417949676322989e-03,-7.547616905012056066e+01
4.959003244809465256e-03,-7.505346765614812909e+01
4.975588539942606657e-03,-7.023224489594892361e+01
4.992173835075748925e-03,-6.835331133015714045e+01
5.008759130208891193e-03,-7.101757779016088534e+01
5.025344425342033461e-03,-7.652960217763666151e+01
5.041929720475174861e-03,-6.919539598695703830e+01
5.058515015608317129e-03,-7.083127827167784574e+01
5.075100310741459397e-03,-7.663208919746476511e+01
5.091685605874600798e-03,-7.132360786097025596e+01
5.108270901007743066e-03,-6.660440003578747792e+01
5.124856196140885334e-03,-6.678552027592228058e+01
5.141441491274027602e-03,-7.222373352633779575e+01
5.158026786407169002e-03,-8.076048809633577719e+01
5.174612081540311270e-03,-7.351491241655536157e+01
5.191197376673453538e-03,-7.867896285855705685e+01
5.207782671806594939e-03,-8.143488445254014607e+01
5.224367966939737207e-03,-7.770373661195461068e+01
5.240953262072879475e-03,-7.206791300637326003e+01
