distance_m,amplitude_dB
0.000000000000000000e+00,-7.010964092725595265e+01
1.658515854770446684e-05,-6.451975070654135891e+01
3.317031709540893368e-05,-6.252347082113321619e+01
4.975547564311340391e-05,-5.836312940505808911e+01
6.634063419081786736e-05,-5.690902462171307263e+01
8.292579273852233759e-05,-5.344503262285554968e+01
9.951095128622680782e-05,-4.551156910318905346e+01
1.160961098339312780e-04,-4.869862317360411907e+01
1.326812683816357347e-04,-5.778672271224289148e+01
1.492664269293402185e-04,-5.989931712742411207e+01
1.658515854770446752e-04,-5.281652104753008814e+01
1.824367440247491590e-04,-5.067697851219751470e+01
1.990219025724536156e-04,-5.088601798350961047e+01
2.156070611201580723e-04,-5.182862495095866961e+01
2.321922196678625561e-04,-5.337806792393293165e+01
2.487773782155670399e-04,-5.526783647616922224e+01
2.653625367632714695e-04,-5.644268135039982326e+01
2.819476953109759532e-04,-5.348277010762896566e+01
2.985328538586804370e-04,-5.201223550663826956e+01
3.151180124063848666e-04,-5.135099557567181705e+01
3.317031709540893504e-04,-5.320406652614770593e+01
3.482883295017938341e-04,-6.370839740265999751e+01
3.648734880494983179e-04,-7.442059234606648488e+01
3.814586465972027475e-04,-6.456497247218548807e+01
3.980438051449072313e-04,-6.426338178955482761e+01
4.146289636926117151e-04,-6.412970681057525724e+01
4.312141222403161446e-04,-6.266841040976120780e+01
4.477992807880206284e-04,-6.566968106720470644e+01
4.643844393357251122e-04,-6.951116740738042665e+01
4.809695978834295418e-04,-8.525902218075026440e+01
4.975547564311340798e-04,-6.532977867689710649e+01
5.141399149788385093e-04,-6.675868849240616498e+01
5.307250735265429389e-04,-7.006543384966607846e+01
5.473102320742474769e-04,-6.953679402790622532e+01
5.638953906219519065e-04,-6.595100855721287303e+01
5.804805491696563360e-04,-6.245891995197919755e+01
5.970657077173608740e-04,-6.441093938989388334e+01
6.136508662650653036e-04,-6.512951307357356256e+01
6.302360248127697332e-04,-7.583076173315934909e+01
6.468211833604742712e-04,-6.388040106387491335e+01
6.634063419081787007e-04,-6.454677685569494372e+01
6.799915004558831303e-04,-6.566260647311543153e+01
6.965766590035876683e-04,-6.511459396033610858e+01
7.131618175512920979e-04,-6.611119359796424533e+01
7.297469760989966359e-04,-6.609602470737370083e+01
7.463321346467010654e-04,-6.260055116184212665e+01
7.629172931944054950e-04,-6.052486712440397554e+01
7.795024517421100330e-04,-6.261865122680421791e+01
7.960876102898144626e-04,-7.163346850788968823e+01
8.126727688375188921e-04,-7.354988762871214192e+01
8.292579273852234301e-04,-6.750402980716957302e+01
8.458430859329278597e-04,-6.691139108591008267e+01
8.624282444806322893e-04,-6.959800543133383144e+01
8.790134030283368273e-04,-7.634097327241217101e+01
8.955985615760412568e-04,-6.631260709681168919e+01
9.121837201237456864e-04,-6.289588928208905827e+01
9.287688786714502244e-04,-6.536554390243047408e+01
9.453540372191546540e-04,-7.132825969466691163e+01
9.619391957668590835e-04,-6.535904504894250522e+01
9.785243543145635131e-04,-7.019393435371374323e+01
9.951095128622681595e-04,-7.601373354173107089e+01
1.011694671409972589e-03,-7.013931088680431003e+01
1.028279829957677019e-03,-6.615411973194179041e+01
1.044864988505381448e-03,-5.612246809232530609e+01
1.061450147053085878e-03,-5.368776019822816892e+01
1.078035305600790307e-03,-5.810235997098709504e+01
1.094620464148494954e-03,-6.851802486298257122e+01
1.111205622696199383e-03,-7.091085320855154350e+01
1.127790781243903813e-03,-6.684967522259877626e+01
1.144375939791608243e-03,-6.134766181263418616e+01
1.160961098339312672e-03,-5.636480801475442348e+01
1.177546256887017318e-03,-5.525542881496302527e+01
1.194131415434721748e-03,-5.946020447631990891e+01
1.210716573982426178e-03,-6.775230950472257518e+01
1.227301732530130607e-03,-6.842005671045326665e+01
1.243886891077835037e-03,-6.656729629363817935e+01
1.260472049625539466e-03,-6.614744766364714224e+01
1.277057208173244113e-03,-6.984963671285390774e+01
1.293642366720948542e-03,-6.749639815956092548e+01
1.310227525268652972e-03,-6.127468959515715596e+01
1.326812683816357401e-03,-6.735452461526951140e+01
1.343397842364061831e-03,-6.733722825731332762e+01
1.359983000911766261e-03,-6.446991375502500432e+01
1.376568159459470907e-03,-6.600842589642826397e+01
1.393153318007175337e-03,-6.591740585088372484e+01
1.409738476554879766e-03,-6.310685994365193352e+01
1.426323635102584196e-03,-6.577679852479836597e+01
1.442908793650288625e-03,-7.751249966497363175e+01
1.459493952197993272e-03,-9.278236278658526714e+01
1.476079110745697701e-03,-7.084141703687336644e+01
1.492664269293402131e-03,-6.827036055928103053e+01
1.509249427841106560e-03,-6.127207505838244117e+01
1.525834586388810990e-03,-5.979427887770380323e+01
1.542419744936515420e-03,-6.458283398114420493e+01
