distance_m,amplitude_dB
0.000000000000000000e+00,-6.399891596815673722e+01
1.662590233112117613e-05,-5.702982506957020803e+01
3.325180466224235225e-05,-5.083383904641884499e+01
4.987770699336352838e-05,-4.939927044995851446e+01
6.650360932448470450e-05,-4.866866631414454503e+01
8.312951165560587385e-05,-5.319534422167550503e+01
9.975541398672705675e-05,-4.892933154993049527e+01
1.163813163178482261e-04,-4.530436556496312761e+01
1.330072186489694090e-04,-4.545593720892482992e+01
1.496331209800905919e-04,-4.608004550434897340e+01
1.662590233112117477e-04,-4.559633113881125865e+01
1.828849256423329306e-04,-4.712026994745070141e+01
1.995108279734541135e-04,-6.330746521534182136e+01
2.161367303045752693e-04,-4.999277995418741227e+01
2.327626326356964522e-04,-5.090007409327809285e+01
2.493885349668176080e-04,-5.994669016773314496e+01
2.660144372979388180e-04,-5.160919697911257487e+01
2.826403396290599738e-04,-5.019031992774753803e+01
2.992662419601811838e-04,-5.423566670078847807e+01
3.158921442913023396e-04,-6.387817764856925606e+01
3.325180466224234954e-04,-5.276097802387684510e+01
3.491439489535447054e-04,-5.428801933794478174e+01
3.657698512846658612e-04,-5.853472158777974954e+01
3.823957536157870170e-04,-5.878539718135800740e+01
3.990216559469082270e-04,-5.744650146040448391e+01
4.156475582780293828e-04,-5.676647518614342403e+01
4.322734606091505386e-04,-5.717082078709074722e+01
4.488993629402717486e-04,-6.472808244278320444e+01
4.655252652713929044e-04,-6.403147847376396840e+01
4.821511676025141144e-04,-6.332614270899868814e+01
4.987770699336352160e-04,-6.635424665914696618e+01
5.154029722647564260e-04,-6.324504962386918550e+01
5.320288745958776360e-04,-5.846740231563824608e+01
5.486547769269988460e-04,-6.040906906881231464e+01
5.652806792581199476e-04,-6.218262251976092614e+01
5.819065815892411576e-04,-6.075157110643460356e+01
5.985324839203623676e-04,-6.190598889543579020e+01
6.151583862514834692e-04,-6.721918950873678966e+01
6.317842885826046792e-04,-6.746467944907655578e+01
6.484101909137258892e-04,-6.742890415717258179e+01
6.650360932448469908e-04,-6.759240153733368572e+01
6.816619955759682008e-04,-6.275451012385036620e+01
6.982878979070894108e-04,-6.178536692723309898e+01
7.149138002382105124e-04,-8.249605208444347682e+01
7.315397025693317224e-04,-5.881270975747165153e+01
7.481656049004529324e-04,-5.728229901529763879e+01
7.647915072315740340e-04,-6.097385953959049232e+01
7.814174095626952440e-04,-6.401945233441024641e+01
7.980433118938164540e-04,-7.017436352519628429e+01
8.146692142249375556e-04,-7.395421827402925885e+01
8.312951165560587656e-04,-7.259466076646661747e+01
8.479210188871799756e-04,-7.110773215914969114e+01
8.645469212183010772e-04,-7.188734664644461247e+01
8.811728235494222872e-04,-6.433889346451064739e+01
8.977987258805434972e-04,-6.464317315140542064e+01
9.144246282116647072e-04,-7.632983692628802430e+01
9.310505305427858088e-04,-6.804156328451479396e+01
9.476764328739070188e-04,-6.566856828194042350e+01
9.643023352050282288e-04,-6.496415193552728340e+01
9.809282375361494388e-04,-6.459992507363995173e+01
9.975541398672704320e-04,-7.098629393582557157e+01
1.014180042198391642e-03,-6.569936867010548553e+01
1.030805944529512852e-03,-6.113957393666255768e+01
1.047431846860634062e-03,-6.060777627786120547e+01
1.064057749191755272e-03,-5.323547219031624422e+01
1.080683651522876482e-03,-5.536736779137333997e+01
1.097309553853997692e-03,-6.524702529072237667e+01
1.113935456185118685e-03,-7.456671658799757552e+01
1.130561358516239895e-03,-6.701220290126948953e+01
1.147187260847361105e-03,-6.326156602172682142e+01
1.163813163178482315e-03,-5.844403590458756526e+01
1.180439065509603525e-03,-5.603210285975996641e+01
1.197064967840724735e-03,-5.908956942897852116e+01
1.213690870171845728e-03,-7.298730127021252656e+01
1.230316772502966938e-03,-7.046843359451806066e+01
1.246942674834088148e-03,-6.977714530143758509e+01
1.263568577165209358e-03,-6.729135604566090478e+01
1.280194479496330568e-03,-7.278804634776037119e+01
1.296820381827451778e-03,-6.031467588277369885e+01
1.313446284158572772e-03,-5.729223338691721068e+01
1.330072186489693982e-03,-5.813754291395852647e+01
1.346698088820815192e-03,-6.203187973973878400e+01
1.363323991151936402e-03,-6.357102144733196525e+01
1.379949893483057612e-03,-6.604376622831827603e+01
1.396575795814178822e-03,-6.707761455632103775e+01
1.413201698145299815e-03,-6.727413914008263873e+01
1.429827600476421025e-03,-6.654885547649730881e+01
1.446453502807542235e-03,-6.653697635743429828e+01
1.463079405138663445e-03,-6.573565463786289342e+01
1.479705307469784655e-03,-7.025511747546966035e+01
1.496331209800905865e-03,-7.581794086769447460e+01
1.512957112132027075e-03,-6.695707298892070014e+01
1.529583014463148068e-03,-6.844751599296978384e+01
1.546208916794269278e-03,-7.315496473403976552e+01
1.562834819125390488e-03,-7.115156312430070784e+01
1.579460721456511698e-03,-7.303140493263073552e+01
1.596086623787632908e-03,-6.684107775114100036e+01
1.612712526118754118e-03,-6.755551987226526478e+01
1.629338428449875111e-03,-6.769411850895464511e+01
1.645964330780996321e-03,-6.965989260496542101e+01
1.662590233112117531e-03,-7.160475403249309068e+01
1.679216135443238741e-03,-6.841487260970248485e+01
1.695842037774359951e-03,-6.831431520534829360e+01
1.712467940105481161e-03,-6.567337610634245948e+01
1.729093842436602154e-03,-6.442882271078443068e+01
1.745719744767723364e-03,-6.482045530863098293e+01
1.762345647098844574e-03,-7.197815336797003738e+01
1.778971549429965784e-03,-7.690945053197172854e+01
1.795597451761086994e-03,-7.722747478588233605e+01
1.812223354092208204e-03,-6.615306383750224484e+01
1.828849256423329414e-03,-6.424619033003347113e+01
1.845475158754450408e-03,-6.620522913793148234e+01
1.862101061085571618e-03,-7.311297183618258089e+01
1.878726963416692828e-03,-7.619007406113476577e+01
1.895352865747814038e-03,-7.951999699814460598e+01
1.911978768078935248e-03,-6.859734179269642596e+01
1.928604670410056458e-03,-6.543835703760720435e+01
1.945230572741177451e-03,-6.375482978051459071e+01
1.961856475072298878e-03,-6.657508234421437976e+01
1.978482377403419871e-03,-7.185579893753039471e+01
1.995108279734540864e-03,-6.911518595678971622e+01
2.011734182065662291e-03,-8.413716020669585305e+01
2.028360084396783284e-03,-6.890731408517387990e+01
2.044985986727904711e-03,-7.904089947688936491e+01
2.061611889059025704e-03,-6.085325020953895603e+01
2.078237791390147131e-03,-5.122287293203448399e+01
2.094863693721268124e-03,-4.779898195072162537e+01
2.111489596052389117e-03,-5.011249081621335932e+01
2.128115498383510544e-03,-5.830217039834275283e+01
2.144741400714631537e-03,-6.561550170343201671e+01
2.161367303045752964e-03,-6.408369107776211138e+01
2.177993205376873957e-03,-6.529753084211449732e+01
2.194619107707995384e-03,-5.651142782569174017e+01
2.211245010039116377e-03,-5.338767488912989734e+01
2.227870912370237370e-03,-5.788057911549667267e+01
2.244496814701358797e-03,-7.148089372234196048e+01
2.261122717032479790e-03,-6.536998948088444195e+01
2.277748619363601217e-03,-6.669956468017871032e+01
2.294374521694722210e-03,-6.379290140592505054e+01
2.311000424025843204e-03,-6.075603354561719982e+01
2.327626326356964630e-03,-6.252054687380859122e+01
2.344252228688085624e-03,-7.148004624876362811e+01
2.360878131019207050e-03,-6.360415840176422364e+01
2.377504033350328044e-03,-5.761479677647856334e+01
2.394129935681449470e-03,-5.797524120684520454e+01
2.410755838012570464e-03,-6.079214405493142692e+01
2.427381740343691457e-03,-6.187874733715298703e+01
2.444007642674812884e-03,-6.534241124362719688e+01
2.460633545005933877e-03,-6.422002184436543359e+01
2.477259447337055304e-03,-5.823247094070769947e+01
2.493885349668176297e-03,-6.150858946198913202e+01
2.510511251999297724e-03,-7.234801734156371822e+01
2.527137154330418717e-03,-6.198709185766855256e+01
2.543763056661539710e-03,-6.083900968241543694e+01
2.560388958992661137e-03,-6.889633726353108045e+01
2.577014861323782130e-03,-6.270139953923467147e+01
2.593640763654903557e-03,-6.457628894950762799e+01
2.610266665986024550e-03,-7.945565611186098920e+01
2.626892568317145543e-03,-7.228741906942241258e+01
2.643518470648266970e-03,-6.601055304068934504e+01
2.660144372979387963e-03,-6.233215431666563688e+01
2.676770275310509390e-03,-6.385477389776441726e+01
2.693396177641630383e-03,-6.422299957586125174e+01
2.710022079972751810e-03,-6.175497046962828307e+01
2.726647982303872803e-03,-5.956671025250693674e+01
2.743273884634993796e-03,-6.008972170483475850e+01
2.759899786966115223e-03,-5.945180603678547016e+01
2.776525689297236216e-03,-5.724271733938297757e+01
2.793151591628357643e-03,-5.902537973449129538e+01
2.809777493959478636e-03,-6.756176382657511681e+01
2.826403396290599630e-03,-6.641576817937448141e+01
2.843029298621721056e-03,-6.201406871794121400e+01
2.859655200952842050e-03,-6.331341519547806485e+01
2.876281103283963476e-03,-7.421525234646004776e+01
2.892907005615084470e-03,-7.151032630574438542e+01
2.909532907946205896e-03,-6.409851072740208622e+01
2.926158810277326890e-03,-6.153088911883843082e+01
2.942784712608447883e-03,-6.686843699841314503e+01
2.959410614939569310e-03,-7.543494949248632508e+01
2.976036517270690303e-03,-6.699070377668132892e+01
2.992662419601811730e-03,-7.382699844678113266e+01
3.009288321932932723e-03,-7.416628548496741757e+01
3.025914224264054150e-03,-5.081472323018783044e+01
3.042540126595175143e-03,-3.392537690872047307e+01
3.059166028926296136e-03,-2.542062708925232073e+01
3.075791931257417563e-03,-2.374032040618450878e+01
3.092417833588538556e-03,-2.860220399106491840e+01
3.109043735919659983e-03,-4.090463855141109661e+01
3.125669638250780976e-03,-5.890146705409360806e+01
3.142295540581901969e-03,-5.087530638795303872e+01
3.158921442913023396e-03,-3.889846110421257208e+01
3.175547345244144389e-03,-3.352810712450114750e+01
3.192173247575265816e-03,-3.433761688680739610e+01
3.208799149906386809e-03,-4.104400089782262739e+01
3.225425052237508236e-03,-5.258693780706015275e+01
3.242050954568629229e-03,-6.386299574900957055e+01
3.258676856899750222e-03,-6.197737363475201988e+01
3.275302759230871649e-03,-6.158470062888972762e+01
3.291928661561992642e-03,-6.495623186547531702e+01
3.308554563893114069e-03,-6.746336357595437505e+01
3.325180466224235062e-03,-7.438638697423803592e+01
3.341806368555356489e-03,-6.777001992532363772e+01
3.358432270886477482e-03,-5.451973702682345646e+01
3.375058173217598476e-03,-4.300853479189666473e+01
3.391684075548719902e-03,-3.882908129168929179e+01
3.408309977879840896e-03,-4.161546513206018005e+01
3.424935880210962322e-03,-5.288254388203724687e+01
3.441561782542083316e-03,-6.554011594581830025e+01
3.458187684873204309e-03,-7.232962266084834368e+01
3.474813587204325736e-03,-5.035109202616560253e+01
3.491439489535446729e-03,-4.103925741425666018e+01
3.508065391866568156e-03,-3.985337503251566460e+01
3.524691294197689149e-03,-4.568653337977693951e+01
3.541317196528810576e-03,-5.981496009843035466e+01
3.557943098859931569e-03,-6.510490161476924698e+01
3.574569001191052562e-03,-6.280743958555958528e+01
3.591194903522173989e-03,-6.974195871694112725e+01
3.607820805853294982e-03,-6.805677110305322230e+01
3.624446708184416409e-03,-6.726087271692391312e+01
3.641072610515537402e-03,-6.680490239897187621e+01
3.657698512846658829e-03,-5.848792147070674474e+01
3.674324415177779822e-03,-5.810507827315893792e+01
3.690950317508900815e-03,-6.186936004043401738e+01
3.707576219840022242e-03,-6.560427517041898682e+01
3.724202122171143235e-03,-6.661690318163293512e+01
3.740828024502264662e-03,-6.650359673044323472e+01
3.757453926833385655e-03,-6.488330424594222734e+01
3.774079829164506648e-03,-6.340742799182032741e+01
3.790705731495628075e-03,-6.330800320799446013e+01
3.807331633826749068e-03,-6.219649749066272193e+01
3.823957536157870495e-03,-6.145098707722092257e+01
3.840583438488991488e-03,-6.147534016562723735e+01
3.857209340820112915e-03,-6.223069669157435868e+01
3.873835243151233908e-03,-6.744118733535201216e+01
3.890461145482354902e-03,-6.588303635596061270e+01
3.907087047813476328e-03,-6.620599106906659870e+01
3.923712950144597755e-03,-6.314322064128735690e+01
3.940338852475718315e-03,-6.278630411861050220e+01
3.956964754806839742e-03,-7.076195476114034477e+01
3.973590657137961168e-03,-6.303930498385539494e+01
3.990216559469081728e-03,-6.539896309652999662e+01
4.006842461800203155e-03,-8.581292234601667701e+01
4.023468364131324582e-03,-8.246215446038526409e+01
4.040094266462446009e-03,-8.479768919012227002e+01
4.056720168793566568e-03,-8.126620631907692882e+01
