distance_m,amplitude_dB
0.000000000000000000e+00,-4.922430883735814433e+01
1.660434014011001594e-05,-4.367953059898478330e+01
3.320868028022003188e-05,-3.892500481008690372e+01
4.981302042033005121e-05,-3.677970971888646545e+01
6.641736056044006376e-05,-3.588786794703051442e+01
8.302170070055008987e-05,-4.014638244943211021e+01
9.962604084066010242e-05,-4.056719620529061388e+01
1.162303809807701150e-04,-3.915252905944870321e+01
1.328347211208801275e-04,-4.223759691019732543e+01
1.494390612609901401e-04,-4.557682319591576459e+01
1.660434014011001797e-04,-3.761944685775419117e+01
1.826477415412101923e-04,-3.495089953523120840e+01
1.992520816813202048e-04,-3.557811472004677711e+01
2.158564218214302174e-04,-3.889249511741984833e+01
2.324607619615402299e-04,-4.563211518146205492e+01
2.490651021016502425e-04,-5.784489693993560877e+01
2.656694422417602551e-04,-6.329217154223550779e+01
2.822737823818702676e-04,-5.864193392946332040e+01
2.988781225219802802e-04,-5.003795969143812528e+01
3.154824626620903469e-04,-4.549911980643044984e+01
3.320868028022003595e-04,-4.576779573980598315e+01
3.486911429423103720e-04,-4.977248849391952490e+01
3.652954830824203846e-04,-5.488894713933248681e+01
3.818998232225303971e-04,-6.218587812884997845e+01
3.985041633626404097e-04,-7.135548722648471198e+01
4.151085035027504222e-04,-7.272876320638567904e+01
4.317128436428604348e-04,-6.070885017349536383e+01
4.483171837829704473e-04,-5.880904377262101690e+01
4.649215239230804599e-04,-6.243424058983790559e+01
4.815258640631904724e-04,-6.410029248362103260e+01
4.981302042033004850e-04,-6.681067629433158572e+01
5.147345443434104975e-04,-6.921614717105079251e+01
5.313388844835205101e-04,-6.366555362038133126e+01
5.479432246236305227e-04,-6.029530063347891655e+01
5.645475647637405352e-04,-6.081783918050352611e+01
5.811519049038505478e-04,-7.726700129595073463e+01
5.977562450439605603e-04,-6.053843400473218850e+01
6.143605851840705729e-04,-6.187941955826723017e+01
6.309649253241806938e-04,-7.280157995546869643e+01
6.475692654642907064e-04,-7.027596032001341086e+01
6.641736056044007189e-04,-6.369263929264753443e+01
6.807779457445107315e-04,-5.926384106227072124e+01
6.973822858846207440e-04,-5.950073668732625265e+01
7.139866260247307566e-04,-6.100070363334221923e+01
7.305909661648407692e-04,-6.412266534287940090e+01
7.471953063049507817e-04,-7.185632582436083737e+01
7.637996464450607943e-04,-6.837425104739197934e+01
7.804039865851708068e-04,-6.516862670716724892e+01
7.970083267252808194e-04,-8.316473825968787992e+01
8.136126668653908319e-04,-6.249289965831241034e+01
8.302170070055008445e-04,-6.104479202926633263e+01
8.468213471456108570e-04,-6.048984081549630787e+01
8.634256872857208696e-04,-5.884467600644394736e+01
8.800300274258308821e-04,-5.922089925854172066e+01
8.966343675659408947e-04,-6.259220992804745265e+01
9.132387077060509072e-04,-7.209730552522498215e+01
9.298430478461609198e-04,-6.615489055641741345e+01
9.464473879862709323e-04,-6.979115331710804071e+01
9.630517281263809449e-04,-8.781328813908470465e+01
9.796560682664909574e-04,-6.939794103403340841e+01
9.962604084066009700e-04,-6.799517686471585876e+01
1.012864748546710983e-03,-6.851070780416273465e+01
1.029469088686820995e-03,-6.505319631689576454e+01
1.046073428826931008e-03,-7.518684926414228187e+01
1.062677768967041020e-03,-6.779257346988256927e+01
1.079282109107151033e-03,-6.541976940964923415e+01
1.095886449247261045e-03,-6.205192448745744827e+01
1.112490789387371058e-03,-6.380768453544543206e+01
1.129095129527481070e-03,-6.696170255740229038e+01
1.145699469667591083e-03,-6.565718975406244340e+01
1.162303809807701096e-03,-6.333590587218238710e+01
1.178908149947811108e-03,-6.057480955473513973e+01
1.195512490087921121e-03,-6.382336801182050579e+01
1.212116830228031133e-03,-7.103216515479383020e+01
1.228721170368141146e-03,-6.934376541913705694e+01
1.245325510508251375e-03,-9.468494455296337264e+01
1.261929850648361388e-03,-6.954175161793128268e+01
1.278534190788471400e-03,-6.524373136406386209e+01
1.295138530928581413e-03,-6.513467836976091974e+01
1.311742871068691425e-03,-7.260751573273815040e+01
1.328347211208801438e-03,-6.809789032256108499e+01
1.344951551348911450e-03,-6.471754564861454639e+01
1.361555891489021463e-03,-6.590133956253328051e+01
1.378160231629131476e-03,-6.472568374189332019e+01
1.394764571769241488e-03,-6.948892027691212547e+01
1.411368911909351501e-03,-6.780715265440241524e+01
1.427973252049461513e-03,-6.436394094237566321e+01
1.444577592189571526e-03,-5.775987807003357233e+01
1.461181932329681538e-03,-5.995156829683559607e+01
1.477786272469791551e-03,-6.958744854377469835e+01
1.494390612609901563e-03,-7.462654875685365141e+01
1.510994952750011576e-03,-6.992975570343983804e+01
1.527599292890121589e-03,-6.660194857018568371e+01
1.544203633030231601e-03,-6.894626715214889145e+01
1.560807973170341614e-03,-7.525847696222815841e+01
1.577412313310451626e-03,-6.371899078270271843e+01
1.594016653450561639e-03,-5.917129501877337816e+01
1.610620993590671651e-03,-5.734711887898673410e+01
1.627225333730781664e-03,-5.681492273652349212e+01
1.643829673870891676e-03,-5.908291615733687507e+01
1.660434014011001689e-03,-6.505390395501288481e+01
1.677038354151111701e-03,-6.786678654506337693e+01
1.693642694291221714e-03,-6.447950091846942655e+01
1.710247034431331727e-03,-6.495249420199208146e+01
1.726851374571441739e-03,-6.762241203662728140e+01
1.743455714711551752e-03,-6.871859494869879370e+01
1.760060054851661764e-03,-6.127337205205965631e+01
1.776664394991771777e-03,-5.851446785599868150e+01
1.793268735131881789e-03,-6.122005670326864646e+01
1.809873075271991802e-03,-7.980120559887336640e+01
1.826477415412101814e-03,-6.598284182504680473e+01
1.843081755552211827e-03,-6.427829570725323549e+01
