distance_m,amplitude_dB
0.000000000000000000e+00,-7.070558272403334854e+01
7.003916215588205970e-06,-6.678686437862373282e+01
1.400783243117641194e-05,-7.769602964959021563e+01
2.101174864676461622e-05,-5.456384065530016869e+01
2.801566486235282388e-05,-4.506410166563951236e+01
3.501958107794103154e-05,-4.066157929907777913e+01
4.202349729352923243e-05,-3.969978306608833662e+01
4.902741350911744009e-05,-4.210841579645971677e+01
5.603132972470564776e-05,-4.693977196549280251e+01
6.303524594029385542e-05,-4.413004823526414100e+01
7.003916215588206309e-05,-4.252041140934800723e+01
7.704307837147027075e-05,-4.265866069466405719e+01
8.404699458705846486e-05,-4.548709955987658304e+01
9.105091080264667252e-05,-5.096394516486070358e+01
9.805482701823488019e-05,-5.532783899920129045e+01
1.050587432338230879e-04,-6.583375317608096111e+01
1.120626594494112955e-04,-6.826522963563154178e+01
1.190665756649995032e-04,-6.443600425589845315e+01
1.260704918805877108e-04,-6.053171048895925566e+01
1.330744080961759185e-04,-5.039153742056377894e+01
1.400783243117641262e-04,-4.689894354289658907e+01
1.470822405273523338e-04,-4.714807099238381483e+01
1.540861567429405415e-04,-5.062539928718172888e+01
1.610900729585287492e-04,-5.463673889979486376e+01
1.680939891741169297e-04,-5.212861680718855695e+01
1.750979053897051374e-04,-5.075735708336942054e+01
1.821018216052933450e-04,-5.355786371753787023e+01
1.891057378208815527e-04,-5.697092918550241336e+01
1.961096540364697604e-04,-5.470268486807746910e+01
2.031135702520579680e-04,-5.663516882955057241e+01
2.101174864676461757e-04,-6.495011044331641870e+01
2.171214026832343834e-04,-6.055994451768422948e+01
2.241253188988225910e-04,-5.747020282308066896e+01
2.311292351144107987e-04,-5.333885171149286464e+01
2.381331513299990064e-04,-5.375595386320772207e+01
2.451370675455872140e-04,-5.867183820778923575e+01
2.521409837611754217e-04,-5.972017864535143161e+01
2.591448999767636294e-04,-6.034715892605309762e+01
2.661488161923518370e-04,-6.879153795904350943e+01
2.731527324079400447e-04,-6.331339633473233874e+01
2.801566486235282523e-04,-6.001312011394276169e+01
2.871605648391164600e-04,-6.411765870062600925e+01
