distance_m,amplitude_dB
0.000000000000000000e+00,-5.793800761886286921e+01
7.003770948302737872e-06,-5.298876955395559207e+01
1.400754189660547574e-05,-4.943357756360811095e+01
2.101131284490821192e-05,-5.060321518469062596e+01
2.801508379321095149e-05,-5.458441874207458255e+01
3.501885474151368767e-05,-4.896330329344767307e+01
4.202262568981642385e-05,-4.550155950269459737e+01
4.902639663811916680e-05,-4.746793121400444448e+01
5.603016758642190298e-05,-5.136232690906659570e+01
6.303393853472464593e-05,-5.593013339198812872e+01
7.003770948302737533e-05,-6.167569655438694554e+01
7.704148043133011829e-05,-5.664208201936808251e+01
8.404525137963284769e-05,-5.927231709591248432e+01
9.104902232793559065e-05,-5.394956736273387321e+01
9.805279327623833360e-05,-5.376901898790964651e+01
1.050565642245410630e-04,-5.905869811917980172e+01
1.120603351728438060e-04,-6.145676002881936029e+01
1.190641061211465489e-04,-6.689250347231333649e+01
1.260678770694492919e-04,-6.394870650117043454e+01
1.330716480177520213e-04,-6.643104282419733408e+01
1.400754189660547507e-04,-7.282590174194302790e+01
1.470791899143575072e-04,-6.846353429816032587e+01
1.540829608626602366e-04,-6.389520111193860430e+01
1.610867318109629660e-04,-6.901932690357813271e+01
1.680905027592656954e-04,-6.813239088434156088e+01
1.750942737075684519e-04,-6.446599203959098645e+01
1.820980446558711813e-04,-6.438670070368168297e+01
1.891018156041739107e-04,-6.207549036702157252e+01
1.961055865524766672e-04,-5.839343350650121778e+01
2.031093575007793966e-04,-5.582580266843016403e+01
2.101131284490821260e-04,-5.620655673803555175e+01
2.171168993973848825e-04,-6.016693614099121845e+01
2.241206703456876119e-04,-6.865475443240087827e+01
2.311244412939903413e-04,-7.786445723948214948e+01
2.381282122422930978e-04,-7.145396892749926110e+01
2.451319831905958272e-04,-7.179447244886536339e+01
2.521357541388985837e-04,-6.112434242357360858e+01
2.591395250872012860e-04,-5.751822573033838637e+01
2.661432960355040425e-04,-5.822565380734057783e+01
2.731470669838067990e-04,-6.120863108881217585e+01
2.801508379321095013e-04,-6.004607067242788787e+01
2.871546088804122578e-04,-5.935677389877433541e+01
2.941583798287150144e-04,-6.116802957807924201e+01
3.011621507770177167e-04,-6.500432326402889771e+01
3.081659217253204732e-04,-7.272897864057154038e+01
3.151696926736232297e-04,-6.250150847694227707e+01
3.221734636219259320e-04,-5.889995319089248937e+01
3.291772345702286885e-04,-6.022278263999449166e+01
3.361810055185313908e-04,-6.134844488803022244e+01
3.431847764668341473e-04,-6.069668779625514787e+01
3.501885474151369038e-04,-6.120732578382807532e+01
3.571923183634396061e-04,-6.348666067191250306e+01
3.641960893117423626e-04,-6.960324623399290545e+01
3.711998602600451191e-04,-6.804607781789349019e+01
3.782036312083478214e-04,-6.604995282171813642e+01
3.852074021566505779e-04,-7.326493515353725172e+01
3.922111731049533344e-04,-8.042344932066760066e+01
3.992149440532560367e-04,-7.377621911891607454e+01
4.062187150015587932e-04,-6.859517856784489709e+01
4.132224859498615497e-04,-6.816731337443516736e+01
4.202262568981642520e-04,-6.909383831887583938e+01
4.272300278464670085e-04,-6.761260236091987963e+01
4.342337987947697650e-04,-6.545076423335910931e+01
4.412375697430724673e-04,-6.518152023695527930e+01
4.482413406913752238e-04,-6.536127247665820050e+01
4.552451116396779803e-04,-6.505199766702406805e+01
4.622488825879806826e-04,-6.526392686943589183e+01
4.692526535362834391e-04,-6.630589618316319900e+01
4.762564244845861956e-04,-7.011718591132934364e+01
4.832601954328888979e-04,-8.486542353678244410e+01
4.902639663811916544e-04,-8.027000163657925214e+01
4.972677373294943567e-04,-7.858614358824172541e+01
