distance_m,amplitude_dB
0.000000000000000000e+00,-1.959592671567176581e+01
5.919139999250504214e-02,-1.303856217003462881e+01
1.183827999850100843e-01,-7.133158126859515669e+00
1.775741999775151403e-01,-5.078532307071008667e+00
2.367655999700201686e-01,-4.971121978956152709e+00
2.959569999625252246e-01,-5.142233699864443786e+00
3.551483999550302806e-01,-4.200743739869947646e+00
4.143397999475353366e-01,-4.153878860879327561e+00
4.735311999400403371e-01,-5.460385840291699822e+00
5.327225999325454486e-01,-6.055827419683081914e+00
5.919139999250504491e-01,-8.041013220632097003e+00
6.511053999175554496e-01,-6.559862557321539889e+00
7.102967999100605612e-01,-5.016694226408761281e+00
7.694881999025655617e-01,-6.623174844823033425e+00
8.286795998950706732e-01,-1.026173723801331406e+01
8.878709998875756737e-01,-1.793273290031815748e+01
9.470623998800806742e-01,-2.053168973175471024e+01
1.006253799872585786e+00,-1.583177895465644802e+01
1.065445199865090897e+00,-1.899765672649055048e+01
1.124636599857595787e+00,-1.703021370539762458e+01
1.183827999850100898e+00,-1.686647645960360364e+01
1.243019399842606010e+00,-1.435537431253476548e+01
1.302210799835110899e+00,-1.153886329431838043e+01
1.361402199827616011e+00,-8.229791339849542808e+00
1.420593599820121122e+00,-7.067826202889754050e+00
1.479784999812626012e+00,-6.495935182850010925e+00
1.538976399805131123e+00,-7.218551218987530049e+00
1.598167799797636235e+00,-1.183773959411699828e+01
1.657359199790141346e+00,-1.858620370172569736e+01
1.716550599782646236e+00,-2.421387208696099336e+01
1.775741999775151347e+00,-1.679279573172274809e+01
1.834933399767656459e+00,-2.279784227684755749e+01
1.894124799760161348e+00,-1.210659850546982241e+01
1.953316199752666460e+00,-2.912302826570348557e+00
2.012507599745171571e+00,9.643274665532866229e-15
2.071698999737676683e+00,-2.265064959750870077e+00
2.130890399730181795e+00,-5.812621547414940082e+00
2.190081799722686462e+00,-7.948464680428733331e+00
2.249273199715191573e+00,-1.081716595104334289e+01
2.308464599707696685e+00,-1.425876772744565635e+01
2.367655999700201797e+00,-1.600789080293489519e+01
2.426847399692706908e+00,-1.591384964481801489e+01
2.486038799685212020e+00,-1.259491476009810818e+01
2.545230199677717131e+00,-1.103271868046935111e+01
2.604421599670221799e+00,-1.209788350121469236e+01
2.663612999662726910e+00,-1.405654260193458249e+01
2.722804399655232022e+00,-1.652471919632074915e+01
2.781995799647737133e+00,-1.792601703687281400e+01
2.841187199640242245e+00,-1.478143701169083002e+01
2.900378599632747356e+00,-1.212320064073101733e+01
2.959569999625252024e+00,-1.154892815534134343e+01
