distance_m,amplitude_dB
0.000000000000000000e+00,-3.471838256132585343e+01
2.087100053367709683e-05,-2.876851986389072025e+01
4.174200106735419366e-05,-2.420599263312116278e+01
6.261300160103128371e-05,-2.622815395288581541e+01
8.348400213470838732e-05,-3.662462214825924889e+01
1.043550026683854774e-04,-5.428984314036387815e+01
1.252260032020625674e-04,-3.800109167226382567e+01
1.460970037357396710e-04,-2.991326481978020979e+01
1.669680042694167746e-04,-2.804720303617337507e+01
1.878390048030938782e-04,-2.756256627398374803e+01
2.087100053367709547e-04,-2.667956246036415280e+01
2.295810058704480584e-04,-2.738422096741656375e+01
2.504520064041251349e-04,-2.923279771142211914e+01
2.713230069378022385e-04,-3.074266441610613754e+01
2.921940074714793421e-04,-3.392980589742224851e+01
3.130650080051564457e-04,-4.087176398576183800e+01
3.339360085388335493e-04,-5.069209250468386330e+01
3.548070090725106529e-04,-4.239075631441194503e+01
3.756780096061877565e-04,-3.823775763428067620e+01
3.965490101398648601e-04,-3.802204641999462353e+01
4.174200106735419095e-04,-3.848147492498357281e+01
4.382910112072190131e-04,-3.829811356892199115e+01
4.591620117408961167e-04,-3.977432076733774835e+01
4.800330122745732203e-04,-4.305167282091353798e+01
5.009040128082502697e-04,-4.685017162644102484e+01
5.217750133419274275e-04,-5.152982906549954834e+01
5.426460138756044769e-04,-5.574663029118900681e+01
5.635170144092816347e-04,-5.660615669767410196e+01
5.843880149429586841e-04,-5.451226606564142685e+01
6.052590154766358419e-04,-5.169835398597268039e+01
6.261300160103128913e-04,-5.179888734574384301e+01
6.470010165439900492e-04,-5.250892629907879439e+01
6.678720170776670986e-04,-5.182352668325712841e+01
6.887430176113441480e-04,-5.259026078967922047e+01
7.096140181450213058e-04,-5.633847233088766870e+01
7.304850186786983552e-04,-6.332288092267484103e+01
7.513560192123755130e-04,-6.069505983376365776e+01
7.722270197460525624e-04,-6.382803831939742167e+01
7.930980202797297202e-04,-5.449689573547737353e+01
8.139690208134067696e-04,-5.052656665967945315e+01
8.348400213470838190e-04,-5.038432832676248552e+01
8.557110218807609768e-04,-5.401911633985663030e+01
8.765820224144380262e-04,-5.960524442616659968e+01
8.974530229481151840e-04,-5.890182118072411299e+01
9.183240234817922334e-04,-5.810566265356275295e+01
9.391950240154693912e-04,-5.953726404965771479e+01
9.600660245491464406e-04,-6.090391984759378374e+01
9.809370250828234900e-04,-6.492111558212801015e+01
1.001808025616500539e-03,-6.119949031346237689e+01
1.022679026150177806e-03,-5.312359275603823505e+01
1.043550026683854855e-03,-5.147784793775866774e+01
1.064421027217531904e-03,-5.190014762213218091e+01
1.085292027751208954e-03,-5.256014361096983123e+01
1.106163028284886220e-03,-5.399677457946804537e+01
1.127034028818563269e-03,-5.409753329464965077e+01
1.147905029352240319e-03,-5.316865004742798106e+01
1.168776029885917368e-03,-5.444874756148322348e+01
1.189647030419594418e-03,-5.514289275011049085e+01
1.210518030953271684e-03,-5.297185133019783621e+01
1.231389031486948733e-03,-5.168183237067054137e+01
1.252260032020625783e-03,-5.397104100534367888e+01
1.273131032554302832e-03,-6.454003751246837339e+01
1.294002033087980098e-03,-7.024889921893658595e+01
1.314873033621657148e-03,-8.502631402163736141e+01
1.335744034155334197e-03,-6.567467702835286048e+01
1.356615034689011247e-03,-6.059837043152722913e+01
1.377486035222688296e-03,-5.854632341369178761e+01
1.398357035756365562e-03,-5.795203886502204682e+01
1.419228036290042612e-03,-5.519338480998441554e+01
1.440099036823719661e-03,-5.213490177119020785e+01
1.460970037357396710e-03,-5.163518198566003292e+01
1.481841037891073760e-03,-5.467282112171395880e+01
1.502712038424751026e-03,-6.050569487148894154e+01
1.523583038958428075e-03,-6.839938677790927102e+01
1.544454039492105125e-03,-6.359104339768870062e+01
1.565325040025782174e-03,-6.729228849043211369e+01
1.586196040559459440e-03,-6.098929540315374709e+01
1.607067041093136490e-03,-5.918329239036832234e+01
1.627938041626813539e-03,-5.845519703300952585e+01
1.648809042160490589e-03,-5.864696663737467475e+01
1.669680042694167638e-03,-6.263535034036172533e+01
1.690551043227844904e-03,-5.778926900911307030e+01
1.711422043761521954e-03,-5.380521699112434675e+01
1.732293044295199003e-03,-5.292351382985756203e+01
1.753164044828876052e-03,-5.478901802500679707e+01
1.774035045362553319e-03,-6.109568539129995202e+01
1.794906045896230368e-03,-6.998235703578951927e+01
1.815777046429907417e-03,-6.586551724331133073e+01
1.836648046963584467e-03,-6.022710479231494674e+01
1.857519047497261516e-03,-6.014124740274272085e+01
1.878390048030938782e-03,-6.180292545246757641e+01
1.899261048564615832e-03,-6.371997154256251861e+01
1.920132049098292881e-03,-6.680720352902325487e+01
1.941003049631969931e-03,-6.288150312958548938e+01
1.961874050165646980e-03,-6.309545811129364523e+01
1.982745050699324246e-03,-5.873954664449800589e+01
2.003616051233001079e-03,-5.632220251272757139e+01
2.024487051766678345e-03,-6.115755658260170691e+01
2.045358052300355611e-03,-8.779539793727104779e+01
2.066229052834032444e-03,-6.512938796865712732e+01
2.087100053367709710e-03,-6.057944866510244708e+01
2.107971053901386976e-03,-6.105547215590141263e+01
2.128842054435063809e-03,-6.700724682193130377e+01
2.149713054968741075e-03,-6.877640518596361119e+01
2.170584055502417908e-03,-6.774362973628483076e+01
2.191455056036095174e-03,-7.340143255880961703e+01
2.212326056569772440e-03,-6.960893416742911199e+01
2.233197057103449273e-03,-5.821472319501645387e+01
2.254068057637126539e-03,-5.642241969604202723e+01
2.274939058170803372e-03,-6.159219851948816427e+01
2.295810058704480638e-03,-8.437389328264163169e+01
2.316681059238157904e-03,-6.335315755600550602e+01
2.337552059771834737e-03,-5.983965161065984262e+01
2.358423060305512003e-03,-6.208899298106724984e+01
2.379294060839188835e-03,-6.485975077887670182e+01
2.400165061372866102e-03,-6.725538791639075953e+01
2.421036061906543368e-03,-7.327645490524703575e+01
2.441907062440220200e-03,-6.031535000763814480e+01
2.462778062973897467e-03,-5.992181691048743630e+01
2.483649063507574299e-03,-6.439552117349174409e+01
2.504520064041251565e-03,-6.760605588470215821e+01
2.525391064574928832e-03,-8.249355246916429962e+01
2.546262065108605664e-03,-6.972765250924636860e+01
2.567133065642282930e-03,-6.903346214891716670e+01
2.588004066175960197e-03,-6.312809846166989303e+01
2.608875066709637029e-03,-5.747799660756280105e+01
2.629746067243314295e-03,-5.784781311306223017e+01
2.650617067776991128e-03,-6.621561958515228241e+01
2.671488068310668394e-03,-6.482006621188300244e+01
2.692359068844345660e-03,-5.822933550756251009e+01
2.713230069378022493e-03,-5.921761713229608404e+01
2.734101069911699759e-03,-6.429035000244047637e+01
2.754972070445376592e-03,-6.481260397383559280e+01
2.775843070979053858e-03,-6.263411235053248305e+01
2.796714071512731124e-03,-6.116808187215839610e+01
2.817585072046407957e-03,-5.930384681328312269e+01
2.838456072580085223e-03,-6.027364600578550835e+01
2.859327073113762056e-03,-5.883932291615393950e+01
