distance_m,amplitude_dB
0.000000000000000000e+00,-5.773306225704517658e+01
2.087352414142963495e-05,-3.976453162766583205e+01
4.174704828285926989e-05,-3.308996266579432444e+01
6.262057242428889807e-05,-3.241516795536622908e+01
8.349409656571853979e-05,-3.479194653722719011e+01
1.043676207071481680e-04,-3.708555583613166817e+01
1.252411448485777961e-04,-4.148861446964114919e+01
1.461146689900074379e-04,-4.170188691574669093e+01
1.669881931314370796e-04,-4.068348550234065897e+01
1.878617172728667213e-04,-4.011797251488256677e+01
2.087352414142963359e-04,-4.151913693183787757e+01
2.296087655557259776e-04,-4.597085333368130478e+01
2.504822896971555923e-04,-5.068773718643167570e+01
2.713558138385852611e-04,-4.465545123293403407e+01
2.922293379800148757e-04,-4.966456610495107782e+01
3.131028621214445445e-04,-4.631084498000763006e+01
3.339763862628741592e-04,-4.530451886954917029e+01
3.548499104043037738e-04,-5.264611396237891938e+01
3.757234345457334426e-04,-5.424165789165737550e+01
3.965969586871630572e-04,-5.011028013175458540e+01
4.174704828285926718e-04,-5.133549741286014978e+01
4.383440069700223407e-04,-5.443996702581689107e+01
4.592175311114519553e-04,-5.334666154462573928e+01
4.800910552528816241e-04,-4.953611202494654719e+01
5.009645793943111845e-04,-5.277796126959795231e+01
5.218381035357409076e-04,-5.934255409670547010e+01
5.427116276771705222e-04,-5.260365203505934062e+01
5.635851518186001368e-04,-5.121834588366820640e+01
5.844586759600297514e-04,-5.438853318369449141e+01
6.053322001014593660e-04,-6.157418252503327238e+01
6.262057242428890891e-04,-6.104942047387077508e+01
6.470792483843187037e-04,-6.851629359298171096e+01
6.679527725257483183e-04,-5.666853502933619779e+01
6.888262966671779329e-04,-4.607074547889210692e+01
7.096998208086075476e-04,-4.448976084974231071e+01
7.305733449500371622e-04,-4.922380829345262043e+01
7.514468690914668852e-04,-5.201987591954313928e+01
7.723203932328964998e-04,-5.429066055350226350e+01
7.931939173743261145e-04,-5.967832374420500230e+01
8.140674415157557291e-04,-5.436919576119272079e+01
8.349409656571853437e-04,-5.818061640129347012e+01
8.558144897986150667e-04,-5.919373104863908708e+01
8.766880139400446813e-04,-5.324905452229108960e+01
8.975615380814742960e-04,-5.529199478911806409e+01
9.184350622229039106e-04,-5.718415058526637296e+01
9.393085863643335252e-04,-5.404637625020345126e+01
9.601821105057632482e-04,-6.267329602568391067e+01
