distance_m,amplitude_dB
0.000000000000000000e+00,-5.066884907999443044e+01
1.658785881543627642e-05,-3.935451446605932802e+01
3.317571763087255284e-05,-3.246828429270975391e+01
4.976357644630882926e-05,-3.203349784528320754e+01
6.635143526174510568e-05,-4.162373797222214478e+01
8.293929407718137533e-05,-5.203579675466251331e+01
9.952715289261765852e-05,-5.585934319795721592e+01
1.161150117080539282e-04,-4.543818908127649081e+01
1.327028705234902114e-04,-4.681031377904339053e+01
1.492907293389264675e-04,-5.890306629164750518e+01
1.658785881543627507e-04,-5.171910470011054883e+01
1.824664469697990339e-04,-6.261678887732199428e+01
1.990543057852353170e-04,-5.030651058861585057e+01
2.156421646006715731e-04,-4.573470238569163371e+01
2.322300234161078563e-04,-5.245610364447917107e+01
2.488178822315441395e-04,-6.630901384842492519e+01
2.654057410469804227e-04,-5.831327313988674632e+01
2.819935998624167059e-04,-5.357206789022093574e+01
2.985814586778529349e-04,-5.531950857612154948e+01
3.151693174932892181e-04,-5.752798169615471124e+01
3.317571763087255013e-04,-5.428639073819195460e+01
3.483450351241617845e-04,-6.217134736307662024e+01
3.649328939395980677e-04,-6.083197309710882905e+01
3.815207527550343509e-04,-5.418695939856166888e+01
3.981086115704706341e-04,-5.465509186196767644e+01
4.146964703859068631e-04,-5.715585900813778863e+01
4.312843292013431463e-04,-6.160298479671497773e+01
4.478721880167794295e-04,-6.097055338565563432e+01
4.644600468322157127e-04,-6.080020006893892770e+01
4.810479056476519959e-04,-5.244739292816360887e+01
4.976357644630882791e-04,-4.993733661145213887e+01
5.142236232785245623e-04,-5.080826214665205498e+01
5.308114820939608455e-04,-5.509641282500795256e+01
5.473993409093971287e-04,-6.995191621875028432e+01
5.639871997248334119e-04,-5.704538316130537368e+01
5.805750585402696951e-04,-5.037288254354973560e+01
5.971629173557058698e-04,-4.993274358733644647e+01
6.137507761711421530e-04,-5.760550841987708282e+01
6.303386349865784362e-04,-6.416781516926357654e+01
6.469264938020147194e-04,-5.672469851452926548e+01
6.635143526174510026e-04,-6.116489060512313358e+01
6.801022114328872858e-04,-6.229099902065464534e+01
6.966900702483235690e-04,-5.717770570967037713e+01
7.132779290637598522e-04,-5.803315867050885402e+01
7.298657878791961354e-04,-5.693990058051359426e+01
7.464536466946324186e-04,-4.842813765288394023e+01
7.630415055100687018e-04,-4.597612378723286497e+01
7.796293643255049850e-04,-4.860485497376522801e+01
7.962172231409412682e-04,-5.537427719596242071e+01
8.128050819563775514e-04,-5.880901305830181514e+01
8.293929407718137262e-04,-5.469103918058070235e+01
8.459807995872500094e-04,-5.384492422831465319e+01
8.625686584026862926e-04,-5.775838457924110259e+01
8.791565172181225758e-04,-5.496735970214324141e+01
8.957443760335588590e-04,-5.225366785503874212e+01
9.123322348489951421e-04,-5.208562707221638277e+01
9.289200936644314253e-04,-5.470743051602021012e+01
9.455079524798677085e-04,-5.592498947802816645e+01
9.620958112953039917e-04,-5.082019257237253385e+01
9.786836701107402749e-04,-5.443448882518452336e+01
9.952715289261765581e-04,-7.201286793521239815e+01
1.011859387741612841e-03,-6.014692227034264249e+01
1.028447246557049125e-03,-6.486673917320784710e+01
1.045035105372485408e-03,-5.719284231980078914e+01
1.061622964187921691e-03,-5.815854820490272203e+01
1.078210823003357974e-03,-6.027227096046567567e+01
1.094798681818794257e-03,-6.424741747131898251e+01
1.111386540634230541e-03,-6.016765858293970837e+01
1.127974399449666824e-03,-5.886128333430961135e+01
1.144562258265103107e-03,-6.056401103957782794e+01
1.161150117080539390e-03,-5.842926471454123316e+01
1.177737975895975673e-03,-5.775401823993600203e+01
1.194325834711411740e-03,-5.406930190045923013e+01
1.210913693526848023e-03,-5.275746959443578987e+01
1.227501552342284306e-03,-5.712325714262482990e+01
1.244089411157720589e-03,-5.887487478810847108e+01
1.260677269973156872e-03,-5.377855780329964830e+01
1.277265128788593156e-03,-5.265281621055220285e+01
1.293852987604029439e-03,-5.771011346410602272e+01
1.310440846419465722e-03,-8.358636368902941172e+01
1.327028705234902005e-03,-6.553713526185677551e+01
1.343616564050338288e-03,-6.188848903666085022e+01
1.360204422865774572e-03,-5.737360978706593784e+01
1.376792281681210855e-03,-5.797476793799443584e+01
1.393380140496647138e-03,-5.594563012918071365e+01
1.409967999312083421e-03,-5.325098126459059245e+01
1.426555858127519704e-03,-5.441099924533639864e+01
1.443143716942955988e-03,-6.071024522575079629e+01
1.459731575758392271e-03,-6.422588703145132172e+01
1.476319434573828554e-03,-6.009858116449312604e+01
1.492907293389264837e-03,-5.619579003581733190e+01
1.509495152204701120e-03,-5.692121555828235557e+01
1.526083011020137404e-03,-6.179494414282647341e+01
1.542670869835573687e-03,-6.558002043783866952e+01
1.559258728651009970e-03,-6.436622873269443801e+01
1.575846587466446253e-03,-5.589361384672357502e+01
1.592434446281882536e-03,-5.381825617466120093e+01
1.609022305097318820e-03,-5.886695260453102918e+01
1.625610163912755103e-03,-6.158696780966899809e+01
1.642198022728191386e-03,-6.114269957055619642e+01
1.658785881543627452e-03,-7.099623031153736008e+01
1.675373740359063736e-03,-6.845239408532891900e+01
1.691961599174500019e-03,-6.621351431346796801e+01
1.708549457989936302e-03,-6.043717432111503030e+01
1.725137316805372585e-03,-6.106979037754329198e+01
1.741725175620808868e-03,-7.685026869102172498e+01
1.758313034436245152e-03,-6.642554020592852737e+01
1.774900893251681435e-03,-6.678369712885830722e+01
1.791488752067117718e-03,-6.644806969786733930e+01
1.808076610882554001e-03,-6.853120561163663638e+01
1.824664469697990284e-03,-6.589686985948542031e+01
1.841252328513426567e-03,-6.809634926632237750e+01
1.857840187328862851e-03,-6.509408363640312700e+01
1.874428046144299134e-03,-7.672882322372119290e+01
1.891015904959735417e-03,-6.573673627395899643e+01
1.907603763775171700e-03,-5.878501297889340549e+01
1.924191622590607983e-03,-5.563574219079875860e+01
1.940779481406044267e-03,-5.503496251212151691e+01
1.957367340221480550e-03,-5.871910209344983400e+01
1.973955199036916616e-03,-6.362949667133743503e+01
1.990543057852353116e-03,-5.851249442005669721e+01
2.007130916667789183e-03,-6.097314589305881327e+01
2.023718775483225683e-03,-7.475099239245417948e+01
2.040306634298661749e-03,-6.840901936965741470e+01
2.056894493114098249e-03,-6.187107032065203782e+01
2.073482351929534315e-03,-6.321129366370971780e+01
2.090070210744970815e-03,-7.429327695599039316e+01
2.106658069560406882e-03,-6.396948333400850828e+01
2.123245928375843382e-03,-5.988403120895944198e+01
2.139833787191279448e-03,-5.604458035544404737e+01
2.156421646006715948e-03,-5.590442564911819545e+01
2.173009504822152015e-03,-6.341721850119324699e+01
2.189597363637588515e-03,-6.404827625207654762e+01
2.206185222453024581e-03,-6.406763465017772319e+01
2.222773081268461081e-03,-6.801454998904884519e+01
2.239360940083897147e-03,-6.100482187352184837e+01
2.255948798899333647e-03,-5.865559000548094559e+01
2.272536657714769714e-03,-5.933348776761025078e+01
2.289124516530206214e-03,-5.847625422064382406e+01
2.305712375345642280e-03,-5.934521076067685641e+01
2.322300234161078780e-03,-6.095356879151292162e+01
2.338888092976514847e-03,-6.106673787550445809e+01
2.355475951791951347e-03,-5.758748448994027314e+01
2.372063810607387413e-03,-5.558708470669824209e+01
2.388651669422823479e-03,-5.511179027281091436e+01
2.405239528238259979e-03,-5.467251123720408401e+01
2.421827387053696046e-03,-5.440997465446459103e+01
2.438415245869132546e-03,-5.374410280647926186e+01
2.455003104684568612e-03,-5.396144945571337104e+01
2.471590963500005112e-03,-5.457218814269855045e+01
2.488178822315441178e-03,-5.795996965629349518e+01
2.504766681130877679e-03,-5.922383448173606268e+01
2.521354539946313745e-03,-5.617552071061938079e+01
2.537942398761750245e-03,-5.642676711384326893e+01
2.554530257577186311e-03,-5.976850885359117171e+01
2.571118116392622811e-03,-6.142154868946586532e+01
2.587705975208058878e-03,-6.140387373269496862e+01
