distance_m,amplitude_dB
0.000000000000000000e+00,-4.793952933898609814e+01
1.658733450488739767e-05,-3.657891766066818207e+01
3.317466900977479534e-05,-3.046031878360597389e+01
4.976200351466218962e-05,-3.114842089579677875e+01
6.634933801954959068e-05,-3.800504046989095031e+01
8.293667252443698496e-05,-3.703515035344327089e+01
9.952400702932437924e-05,-3.685755742925044842e+01
1.161113415342117735e-04,-4.366659695350257664e+01
1.326986760390991814e-04,-4.853472927290064831e+01
1.492860105439865756e-04,-4.206321361263280778e+01
1.658733450488739699e-04,-4.346410782087598079e+01
1.824606795537613642e-04,-5.140323766425111529e+01
1.990480140586487585e-04,-4.647145014814714159e+01
2.156353485635361528e-04,-4.859121744779437080e+01
2.322226830684235470e-04,-6.438257495054718049e+01
2.488100175733109413e-04,-5.116767685898547313e+01
2.653973520781983627e-04,-5.182437718722316333e+01
2.819846865830857299e-04,-5.534042248019068921e+01
2.985720210879731513e-04,-5.078520901259970799e+01
3.151593555928605185e-04,-5.812327907068026889e+01
3.317466900977479398e-04,-6.261283882340589457e+01
3.483340246026353070e-04,-6.201487084798824867e+01
3.649213591075227284e-04,-5.451315466443197266e+01
3.815086936124100956e-04,-5.581870722076799751e+01
3.980960281172975170e-04,-5.888233336312352151e+01
4.146833626221848841e-04,-6.250801523550070726e+01
4.312706971270723055e-04,-6.127251333976848002e+01
4.478580316319597269e-04,-5.819626004707325251e+01
4.644453661368470941e-04,-6.370707558487816158e+01
4.810327006417345155e-04,-5.458038262600819479e+01
4.976200351466218827e-04,-5.326601471404834598e+01
5.142073696515093040e-04,-5.560002587955774800e+01
5.307947041563967254e-04,-5.826641166345520872e+01
5.473820386612840384e-04,-5.575586634957651455e+01
5.639693731661714598e-04,-5.026632850258235408e+01
5.805567076710588812e-04,-4.657693747385914662e+01
5.971440421759463026e-04,-4.526269304815262018e+01
6.137313766808336155e-04,-4.703663136954092749e+01
6.303187111857210369e-04,-5.064720862612095686e+01
6.469060456906084583e-04,-5.262111438975512812e+01
6.634933801954958797e-04,-5.330928139814230349e+01
6.800807147003833011e-04,-5.545082584188597252e+01
6.966680492052706140e-04,-5.960873559933390453e+01
7.132553837101580354e-04,-7.702409805503553741e+01
