distance_m,amplitude_dB
0.000000000000000000e+00,-5.000422051812933688e+01
1.676187547277647208e-05,-4.230113680136608423e+01
3.352375094555294416e-05,-3.626392025594652324e+01
5.028562641832942301e-05,-3.173243186915690472e+01
6.704750189110588831e-05,-2.972312520277444037e+01
8.380937736388236717e-05,-3.152278980716080525e+01
1.005712528366588460e-04,-3.485366903320998233e+01
1.173331283094353113e-04,-3.611051081426148102e+01
1.340950037822117766e-04,-3.791823378498735053e+01
1.508568792549882555e-04,-3.989887301430592714e+01
1.676187547277647343e-04,-4.053817004655513045e+01
1.843806302005412132e-04,-4.332859117095565438e+01
2.011425056733176920e-04,-4.374425208911272733e+01
2.179043811460941709e-04,-4.142199507179909546e+01
2.346662566188706227e-04,-4.134182531896711765e+01
2.514281320916471286e-04,-4.201891598095733826e+01
2.681900075644235533e-04,-4.385168132813657138e+01
2.849518830372000321e-04,-4.738055659260695052e+01
3.017137585099765110e-04,-4.842709434271505131e+01
3.184756339827529898e-04,-4.851281245519729168e+01
3.352375094555294687e-04,-5.168165673134708271e+01
3.519993849283059475e-04,-5.409914162213415523e+01
3.687612604010824264e-04,-5.654051243584152076e+01
3.855231358738589052e-04,-5.930729934121827540e+01
4.022850113466353841e-04,-5.759565066730115745e+01
4.190468868194118630e-04,-6.106468826324228871e+01
4.358087622921883418e-04,-5.996487214998460047e+01
4.525706377649647665e-04,-5.634287549809720019e+01
4.693325132377412453e-04,-5.672532327735542168e+01
4.860943887105177242e-04,-5.969024294581089407e+01
5.028562641832942572e-04,-5.767720141457794369e+01
5.196181396560706819e-04,-5.756831782350755589e+01
5.363800151288471065e-04,-6.268902446640672821e+01
5.531418906016236396e-04,-6.613838289955319283e+01
5.699037660744000642e-04,-5.740258615447100254e+01
5.866656415471765973e-04,-5.572473541412337283e+01
6.034275170199530219e-04,-5.820947667340810483e+01
6.201893924927295550e-04,-6.033647050481892649e+01
6.369512679655059796e-04,-5.924553608216852751e+01
6.537131434382825127e-04,-5.869631174486541170e+01
6.704750189110589374e-04,-6.079493102761134793e+01
6.872368943838354704e-04,-6.269237161780801415e+01
7.039987698566118951e-04,-5.842801349439237413e+01
7.207606453293883197e-04,-5.538186280864685784e+01
7.375225208021648528e-04,-5.499242071307443069e+01
7.542843962749412774e-04,-5.563848656342531740e+01
7.710462717477178105e-04,-5.874019299421608054e+01
7.878081472204942351e-04,-6.435602756431291027e+01
8.045700226932707682e-04,-6.680705094853352932e+01
8.213318981660471928e-04,-6.665185261223233226e+01
8.380937736388237259e-04,-6.570855246195559118e+01
8.548556491116001506e-04,-6.427129932834419890e+01
8.716175245843766836e-04,-6.454813251616749881e+01
8.883794000571531083e-04,-6.616698230654594681e+01
9.051412755299295329e-04,-6.862151178114315542e+01
9.219031510027060660e-04,-7.270158387461052030e+01
9.386650264754824906e-04,-6.049061570104343843e+01
9.554269019482590237e-04,-5.731087775611239721e+01
9.721887774210354483e-04,-5.971391752131219732e+01
9.889506528938118730e-04,-6.323618510880273647e+01
1.005712528366588514e-03,-5.980786879691490299e+01
1.022474403839364939e-03,-5.960178265019781918e+01
1.039236279312141364e-03,-6.554524608526348572e+01
1.055998154784917788e-03,-7.701788088350558326e+01
1.072760030257694213e-03,-7.116359567062875158e+01
1.089521905730470855e-03,-6.828985006157952853e+01
1.106283781203247279e-03,-6.249287389066516596e+01
1.123045656676023704e-03,-5.871618466223214483e+01
1.139807532148800128e-03,-6.030459079628133168e+01
1.156569407621576770e-03,-6.403397037445736828e+01
1.173331283094353195e-03,-6.802539901334698413e+01
1.190093158567129619e-03,-7.287379893264859732e+01
1.206855034039906044e-03,-6.339090052987138080e+01
1.223616909512682685e-03,-6.463573924941809423e+01
1.240378784985459110e-03,-6.647433775005198697e+01
1.257140660458235535e-03,-6.567002276008152251e+01
1.273902535931011959e-03,-6.644119218389234049e+01
1.290664411403788384e-03,-6.330805643083265721e+01
1.307426286876565025e-03,-6.336283467947773573e+01
1.324188162349341450e-03,-6.950555887125310051e+01
1.340950037822117875e-03,-6.501824566566646979e+01
1.357711913294894299e-03,-6.247765108944496149e+01
1.374473788767670941e-03,-6.647597172670518262e+01
1.391235664240447365e-03,-6.421363204495085597e+01
1.407997539713223790e-03,-5.989944580892523618e+01
1.424759415186000215e-03,-6.644215810267360212e+01
1.441521290658776639e-03,-6.993775742635966708e+01
1.458283166131553281e-03,-6.467034374072065361e+01
1.475045041604329706e-03,-6.550565637815316222e+01
1.491806917077106130e-03,-6.709960275387965112e+01
1.508568792549882555e-03,-6.688182144204600377e+01
1.525330668022659196e-03,-5.968228154176212286e+01
1.542092543495435621e-03,-5.630563554700792395e+01
1.558854418968212046e-03,-5.726688978336972724e+01
1.575616294440988470e-03,-6.439830888340591741e+01
1.592378169913765112e-03,-6.832440988039184049e+01
1.609140045386541536e-03,-6.736542253600616448e+01
1.625901920859317961e-03,-7.687361365573229932e+01
1.642663796332094386e-03,-6.722997271429350974e+01
1.659425671804870810e-03,-6.167630016011511884e+01
1.676187547277647452e-03,-5.978094044872782575e+01
1.692949422750423876e-03,-6.121878183595438117e+01
1.709711298223200301e-03,-6.283228175136991922e+01
1.726473173695976726e-03,-6.063126841738464634e+01
1.743235049168753367e-03,-6.041349205896106866e+01
1.759996924641529792e-03,-6.834657267152232407e+01
1.776758800114306217e-03,-6.511690425509598867e+01
1.793520675587082641e-03,-6.018126496424805794e+01
1.810282551059859066e-03,-6.231946471962262990e+01
1.827044426532635707e-03,-7.194610497444125485e+01
1.843806302005412132e-03,-7.710964696002096730e+01
1.860568177478188557e-03,-6.979305729559057170e+01
1.877330052950964981e-03,-7.241632540445083066e+01
1.894091928423741623e-03,-6.661849954514678984e+01
1.910853803896518047e-03,-6.384481474875327933e+01
1.927615679369294472e-03,-6.578575781489423946e+01
1.944377554842070897e-03,-6.072004715746943049e+01
1.961139430314847321e-03,-6.082375270250082622e+01
1.977901305787623746e-03,-6.620799912361511019e+01
1.994663181260400171e-03,-7.311163671951887011e+01
2.011425056733177029e-03,-7.549205672203173378e+01
2.028186932205953454e-03,-8.406995801694952775e+01
2.044948807678729878e-03,-7.387928197989290879e+01
2.061710683151506303e-03,-6.596169357947448475e+01
2.078472558624282727e-03,-6.592993324008267564e+01
2.095234434097059152e-03,-8.290906228542459644e+01
2.111996309569835577e-03,-6.486729874921353201e+01
2.128758185042612001e-03,-6.230447617824532358e+01
2.145520060515388426e-03,-6.605395320251290059e+01
2.162281935988165284e-03,-7.519589016872308207e+01
2.179043811460941709e-03,-6.534315405500161944e+01
2.195805686933718134e-03,-6.817591557173736305e+01
2.212567562406494558e-03,-7.316690231779944043e+01
2.229329437879270983e-03,-7.796650346323323788e+01
2.246091313352047408e-03,-7.059589859257775402e+01
2.262853188824823832e-03,-6.790269544884901620e+01
2.279615064297600257e-03,-6.602052725703535430e+01
2.296376939770377115e-03,-7.029769851851064288e+01
2.313138815243153540e-03,-7.567551785625175853e+01
2.329900690715929965e-03,-6.663063838543402539e+01
2.346662566188706389e-03,-6.183042737650899312e+01
2.363424441661482814e-03,-6.091173392630178540e+01
2.380186317134259238e-03,-6.339430717507080715e+01
2.396948192607035663e-03,-6.663397498359937288e+01
2.413710068079812088e-03,-6.773685011621029162e+01
2.430471943552588512e-03,-7.455028327104855634e+01
2.447233819025365371e-03,-7.150444088691209288e+01
2.463995694498141795e-03,-6.385407074391065407e+01
2.480757569970918220e-03,-6.087243264283878830e+01
2.497519445443694645e-03,-6.275660783845810897e+01
2.514281320916471069e-03,-6.422331130979409863e+01
2.531043196389247494e-03,-6.585018749533008986e+01
2.547805071862023919e-03,-7.303683426709076798e+01
2.564566947334800343e-03,-6.530437900022585040e+01
2.581328822807576768e-03,-6.699078017218536729e+01
2.598090698280353626e-03,-7.801109993594329239e+01
2.614852573753130051e-03,-5.688792575116276851e+01
2.631614449225906475e-03,-4.737422305447593374e+01
2.648376324698682900e-03,-4.459830582388755715e+01
2.665138200171459325e-03,-4.746677893017216832e+01
2.681900075644235749e-03,-5.359515160478130724e+01
2.698661951117012174e-03,-5.649407662143395470e+01
2.715423826589788599e-03,-5.852815888983091241e+01
2.732185702062565023e-03,-5.826895043173947641e+01
2.748947577535341882e-03,-5.525915583414413845e+01
2.765709453008118306e-03,-5.788441617563695019e+01
2.782471328480894731e-03,-6.133202489649342937e+01
2.799233203953671156e-03,-6.117064454341215196e+01
2.815995079426447580e-03,-6.955622260069910112e+01
2.832756954899224005e-03,-6.749965311347283148e+01
2.849518830372000430e-03,-6.364262533808475553e+01
2.866280705844776854e-03,-6.230087273279625038e+01
2.883042581317553279e-03,-6.399568164946692406e+01
2.899804456790330137e-03,-8.097913576746344688e+01
2.916566332263106562e-03,-6.270759060570223653e+01
2.933328207735882986e-03,-6.238899876022743030e+01
2.950090083208659411e-03,-6.516862882543011892e+01
2.966851958681435836e-03,-6.449649984132665281e+01
2.983613834154212260e-03,-7.013588626893766786e+01
3.000375709626988685e-03,-7.004373868061992425e+01
3.017137585099765110e-03,-6.819947412325460334e+01
3.033899460572541534e-03,-7.392000581893603339e+01
3.050661336045318393e-03,-6.552661676035117466e+01
3.067423211518094817e-03,-7.088137561946651033e+01
3.084185086990871242e-03,-9.257636841052433851e+01
3.100946962463647667e-03,-7.614954183334381810e+01
3.117708837936424091e-03,-7.627799346827396221e+01
3.134470713409200516e-03,-6.871163330975753070e+01
3.151232588881976941e-03,-6.413779856136039825e+01
3.167994464354753365e-03,-6.713541553082117730e+01
3.184756339827530223e-03,-6.658682482261751545e+01
3.201518215300306648e-03,-6.767406893283417446e+01
3.218280090773083073e-03,-6.726155064149109819e+01
3.235041966245859497e-03,-6.364831843054328431e+01
3.251803841718635922e-03,-6.294549638656370405e+01
3.268565717191412347e-03,-6.825987953361089922e+01
3.285327592664188771e-03,-6.925301966035297596e+01
3.302089468136965196e-03,-6.394488330041779989e+01
3.318851343609741621e-03,-6.580775747661709829e+01
3.335613219082518479e-03,-7.069743175219399234e+01
3.352375094555294904e-03,-6.667690494063363360e+01
3.369136970028071328e-03,-6.462464280614368306e+01
3.385898845500847753e-03,-6.318830684327988934e+01
3.402660720973624178e-03,-6.024417868664598075e+01
3.419422596446400602e-03,-5.981578105565516523e+01
3.436184471919177027e-03,-6.132582663109873522e+01
3.452946347391953451e-03,-6.029822374879916680e+01
3.469708222864729876e-03,-5.975014726264426912e+01
3.486470098337506734e-03,-6.454049455853768791e+01
3.503231973810283159e-03,-7.011630890488279988e+01
3.519993849283059584e-03,-7.814869103213248991e+01
3.536755724755836008e-03,-6.503334983437351013e+01
3.553517600228612433e-03,-6.010507009210630258e+01
3.570279475701388858e-03,-6.143279644998413858e+01
3.587041351174165282e-03,-6.641143027975331847e+01
3.603803226646941707e-03,-6.772727927957951977e+01
3.620565102119718132e-03,-6.563174206292792690e+01
3.637326977592494990e-03,-6.534744710554106462e+01
3.654088853065271415e-03,-6.247661253475416743e+01
3.670850728538047839e-03,-5.954725452442012568e+01
3.687612604010824264e-03,-5.902998920964969898e+01
3.704374479483600689e-03,-6.369093119155525784e+01
3.721136354956377113e-03,-7.186196719154679613e+01
3.737898230429153538e-03,-7.288222018233680899e+01
3.754660105901929962e-03,-6.677819147843837300e+01
3.771421981374706387e-03,-6.758586767355299685e+01
3.788183856847483245e-03,-7.256170961624124516e+01
3.804945732320259670e-03,-6.808571257818515221e+01
3.821707607793036095e-03,-6.330005035378934508e+01
3.838469483265812519e-03,-6.329354133264756399e+01
3.855231358738588944e-03,-6.696550818170715047e+01
3.871993234211365369e-03,-6.822300147219566213e+01
3.888755109684141793e-03,-6.945977327599341322e+01
3.905516985156918218e-03,-7.656074639887208377e+01
3.922278860629694643e-03,-7.885900963202122682e+01
3.939040736102471067e-03,-7.575827152195651593e+01
3.955802611575247492e-03,-7.109327629061054665e+01
3.972564487048023917e-03,-7.222533630410111982e+01
3.989326362520800341e-03,-7.507446643733524638e+01
