distance_m,amplitude_dB
0.000000000000000000e+00,-4.079831179252617801e+01
1.659213081588041918e-05,-3.353955664902715483e+01
3.318426163176083836e-05,-2.699511468167371220e+01
4.977639244764125076e-05,-2.488810781403255490e+01
6.636852326352167672e-05,-2.714531470895078868e+01
8.296065407940208234e-05,-3.389187834030693836e+01
9.955278489528250152e-05,-3.635189287239568046e+01
1.161449157111629207e-04,-3.273976077617481195e+01
1.327370465270433534e-04,-3.211726715961094669e+01
1.493291773429237591e-04,-3.446958215101169998e+01
1.659213081588041647e-04,-4.007591700443452254e+01
1.825134389746845974e-04,-4.223583194954191100e+01
1.991055697905650030e-04,-3.870460265215846363e+01
2.156977006064454358e-04,-3.755364470237852714e+01
2.322898314223258414e-04,-3.842970220464756181e+01
2.488819622382062741e-04,-4.160914104569771155e+01
2.654740930540867069e-04,-4.507223648511577352e+01
2.820662238699670854e-04,-4.367336823237134524e+01
2.986583546858475181e-04,-4.202689092240744628e+01
3.152504855017279508e-04,-4.357338550629748397e+01
3.318426163176083294e-04,-4.883190957727017434e+01
3.484347471334887621e-04,-5.490322754114730230e+01
3.650268779493691948e-04,-5.586503529588259198e+01
3.816190087652496276e-04,-5.152465226619813166e+01
3.982111395811300061e-04,-4.869354654179325337e+01
4.148032703970104388e-04,-4.884681487602557581e+01
4.313954012128908715e-04,-5.273601017325059814e+01
4.479875320287713043e-04,-6.038312457875738914e+01
4.645796628446516828e-04,-6.701258717447379354e+01
4.811717936605321155e-04,-6.331919030997985942e+01
4.977639244764125483e-04,-6.655165747463873060e+01
5.143560552922929810e-04,-7.310683917706312229e+01
5.309481861081734137e-04,-6.723474485381288446e+01
5.475403169240537380e-04,-6.429608437428973389e+01
5.641324477399341708e-04,-5.655004065944133629e+01
5.807245785558146035e-04,-5.020525280248544675e+01
5.973167093716950362e-04,-4.859221697395106077e+01
6.139088401875754690e-04,-5.323159305025196630e+01
6.305009710034559017e-04,-5.626404665768858848e+01
6.470931018193363344e-04,-5.460071403790557554e+01
6.636852326352166587e-04,-5.548509967485286154e+01
6.802773634510970915e-04,-5.886211171051614599e+01
6.968694942669775242e-04,-6.287609796465679324e+01
7.134616250828579569e-04,-5.642789463654951021e+01
7.300537558987383897e-04,-5.170378884556002674e+01
7.466458867146188224e-04,-4.920625411608018140e+01
7.632380175304992551e-04,-4.973249374382604060e+01
7.798301483463795794e-04,-5.333697395322160162e+01
7.964222791622600122e-04,-5.901839095187472140e+01
8.130144099781404449e-04,-6.809063520922281043e+01
8.296065407940208776e-04,-7.869632122926627460e+01
8.461986716099013104e-04,-7.383282039417555609e+01
8.627908024257817431e-04,-6.474094613826322586e+01
8.793829332416621758e-04,-6.186566686977081986e+01
8.959750640575426086e-04,-6.308797254070425709e+01
9.125671948734229329e-04,-5.864420737577621168e+01
9.291593256893033656e-04,-5.645655150345898221e+01
9.457514565051837983e-04,-5.898040551048987368e+01
9.623435873210642311e-04,-5.471484371856409012e+01
9.789357181369446638e-04,-5.396971943273352679e+01
9.955278489528250965e-04,-6.024195925229693671e+01
1.012119979768705529e-03,-7.044122672489896786e+01
1.028712110584585962e-03,-6.090231176834649318e+01
1.045304241400466395e-03,-6.346206843979987866e+01
1.061896372216346827e-03,-6.261286627621131373e+01
1.078488503032227043e-03,-5.672505232695332467e+01
1.095080633848107476e-03,-5.731302465182405825e+01
1.111672764663987909e-03,-5.930165927710733342e+01
1.128264895479868342e-03,-6.127774589413729700e+01
1.144857026295748774e-03,-6.804982605328557099e+01
1.161449157111629207e-03,-6.848731693352411298e+01
1.178041287927509640e-03,-5.989477580966418913e+01
1.194633418743390072e-03,-6.075058068918310283e+01
1.211225549559270505e-03,-6.879511393146884757e+01
1.227817680375150938e-03,-6.618467730712308139e+01
