distance_m,amplitude_dB
0.000000000000000000e+00,-4.986391563460599485e+01
1.658869513287366770e-05,-3.986391479707388896e+01
3.317739026574733540e-05,-3.330180820550926057e+01
4.976608539862099971e-05,-3.326624817168210768e+01
6.635478053149467079e-05,-3.977162252906919093e+01
8.294347566436833510e-05,-4.054400959805090565e+01
9.953217079724199941e-05,-4.023467600874095496e+01
1.161208659301156637e-04,-4.816769953511604285e+01
1.327095610629893416e-04,-4.699963094310892586e+01
1.492982561958629923e-04,-4.521916296241629141e+01
1.658869513287366702e-04,-5.700707754860833631e+01
1.824756464616103481e-04,-4.974770709936224478e+01
1.990643415944839988e-04,-4.812237129676243796e+01
2.156530367273576767e-04,-5.388910110571110579e+01
2.322417318602313274e-04,-5.539202526334526766e+01
2.488304269931050053e-04,-5.532525315547476907e+01
2.654191221259786832e-04,-6.547239757309229446e+01
2.820078172588523610e-04,-5.281349685567801089e+01
2.985965123917259847e-04,-5.372104883250077734e+01
3.151852075245996625e-04,-5.932344955283939214e+01
3.317739026574733404e-04,-5.568931981030655010e+01
3.483625977903470183e-04,-5.323245229631997688e+01
3.649512929232206961e-04,-6.245279157972322537e+01
3.815399880560943198e-04,-6.244100604389990394e+01
3.981286831889679976e-04,-6.770495741492797492e+01
4.147173783218416755e-04,-5.955348978061242349e+01
4.313060734547153534e-04,-6.810221967305307089e+01
4.478947685875890312e-04,-5.545961009899291128e+01
4.644834637204626549e-04,-5.696052660087580932e+01
4.810721588533363327e-04,-6.221746220305174546e+01
4.976608539862100106e-04,-6.855003800558628768e+01
5.142495491190836885e-04,-8.100665052256799470e+01
5.308382442519573663e-04,-6.044606377215199444e+01
5.474269393848310442e-04,-5.909204380314602645e+01
5.640156345177047221e-04,-6.240403539215900963e+01
5.806043296505782915e-04,-4.883961970766445404e+01
5.971930247834519694e-04,-4.579180588992351630e+01
6.137817199163256472e-04,-4.847042466061073185e+01
6.303704150491993251e-04,-5.566424054372119201e+01
6.469591101820730029e-04,-6.909473488212319126e+01
6.635478053149466808e-04,-6.048378960809576199e+01
6.801365004478203587e-04,-5.500781064170146806e+01
6.967251955806940365e-04,-5.402134727674975778e+01
7.133138907135677144e-04,-5.473542433830964171e+01
7.299025858464413923e-04,-5.485200080571680559e+01
7.464912809793149617e-04,-4.940408321713179163e+01
7.630799761121886396e-04,-4.808405505811477099e+01
7.796686712450623174e-04,-5.245571101072626874e+01
7.962573663779359953e-04,-5.865994430998790676e+01
8.128460615108096731e-04,-5.990378405568484510e+01
8.294347566436833510e-04,-6.399401818826800081e+01
8.460234517765570289e-04,-6.387836703400176930e+01
8.626121469094307067e-04,-6.334234339758525323e+01
8.792008420423043846e-04,-5.808133672320676055e+01
8.957895371751780625e-04,-5.488115617605653540e+01
9.123782323080516319e-04,-5.685669687754207047e+01
9.289669274409253098e-04,-6.370318853429772332e+01
9.455556225737989876e-04,-5.547917509388248192e+01
9.621443177066726655e-04,-5.003268882891113378e+01
9.787330128395463433e-04,-5.096135045664010477e+01
9.953217079724200212e-04,-5.450725344848176945e+01
1.011910403105293699e-03,-5.652260407693601962e+01
1.028499098238167377e-03,-5.652471139855440185e+01
1.045087793371041055e-03,-5.648055137690590755e+01
1.061676488503914733e-03,-5.673271977694359691e+01
1.078265183636788411e-03,-5.867730191962382946e+01
1.094853878769662088e-03,-5.652299051919772666e+01
1.111442573902535766e-03,-5.626330273292450102e+01
1.128031269035409444e-03,-5.963123983907966164e+01
1.144619964168283122e-03,-6.838317724375509954e+01
1.161208659301156583e-03,-6.942578943088909682e+01
1.177797354434030261e-03,-6.781257684719307122e+01
1.194386049566903939e-03,-6.258841309349097060e+01
1.210974744699777617e-03,-6.191377387551435163e+01
1.227563439832651294e-03,-5.904032170523492340e+01
1.244152134965524972e-03,-5.891374035124702147e+01
1.260740830098398650e-03,-6.457847276154197402e+01
1.277329525231272328e-03,-6.685032725696774492e+01
1.293918220364146006e-03,-6.878087290918729479e+01
1.310506915497019684e-03,-6.432921705580659477e+01
1.327095610629893362e-03,-6.108895407007612022e+01
1.343684305762767039e-03,-6.020064738378317770e+01
1.360273000895640717e-03,-6.798704361076457303e+01
1.376861696028514395e-03,-6.406009292434011115e+01
1.393450391161388073e-03,-5.786024650953073234e+01
1.410039086294261751e-03,-5.676145366314458585e+01
1.426627781427135429e-03,-5.668557227563190537e+01
1.443216476560009107e-03,-5.745378440820140042e+01
1.459805171692882785e-03,-6.283987782426716251e+01
1.476393866825756246e-03,-7.015109649085742660e+01
1.492982561958629923e-03,-6.198392216354585571e+01
1.509571257091503601e-03,-6.205511736177587068e+01
1.526159952224377279e-03,-5.721838609553867627e+01
1.542748647357250957e-03,-5.784915629542283710e+01
1.559337342490124635e-03,-6.924523250963179066e+01
1.575926037622998313e-03,-6.183964800807497397e+01
1.592514732755871991e-03,-6.042106638888287762e+01
1.609103427888745668e-03,-6.384409370723418675e+01
1.625692123021619346e-03,-6.958306326975655054e+01
1.642280818154493024e-03,-6.297894565737782102e+01
1.658869513287366702e-03,-6.398551958070964218e+01
1.675458208420240380e-03,-7.575354825295663375e+01
1.692046903553114058e-03,-6.515609395279278715e+01
1.708635598685987736e-03,-6.967082157986793334e+01
1.725224293818861413e-03,-6.865763586434054844e+01
1.741812988951735091e-03,-7.556029171888164342e+01
1.758401684084608769e-03,-6.255529527179682248e+01
1.774990379217482447e-03,-5.721922103996622155e+01
1.791579074350356125e-03,-5.530310688308117051e+01
1.808167769483229586e-03,-5.575616966302678890e+01
1.824756464616103264e-03,-5.816145586434640080e+01
1.841345159748976942e-03,-6.041315626970418862e+01
1.857933854881850620e-03,-5.576056414000242256e+01
1.874522550014724297e-03,-5.408327877013100959e+01
1.891111245147597975e-03,-5.623488116886835542e+01
1.907699940280471653e-03,-6.068895340468782251e+01
1.924288635413345331e-03,-5.968976240806021849e+01
1.940877330546219009e-03,-6.007489151560629637e+01
1.957466025679092687e-03,-6.808926858608498378e+01
1.974054720811966365e-03,-6.798439489726764862e+01
1.990643415944840042e-03,-7.547257248664850238e+01
2.007232111077713720e-03,-6.361555821560475721e+01
2.023820806210587398e-03,-6.235962297812001509e+01
2.040409501343461076e-03,-6.101791648233253795e+01
2.056998196476334754e-03,-5.794813062289598804e+01
2.073586891609208432e-03,-5.696513814559297373e+01
2.090175586742082110e-03,-6.226071072927333461e+01
2.106764281874955787e-03,-6.211286787170025292e+01
2.123352977007829465e-03,-5.790889559167421652e+01
2.139941672140703143e-03,-5.781744680182377749e+01
2.156530367273576821e-03,-6.496951976777401683e+01
2.173119062406450499e-03,-6.526998871418817316e+01
2.189707757539324177e-03,-6.114838208635271144e+01
2.206296452672197855e-03,-6.268237194114563238e+01
2.222885147805071532e-03,-6.613283362884320127e+01
2.239473842937945210e-03,-6.349602933124064208e+01
2.256062538070818888e-03,-5.758501822558967831e+01
2.272651233203692566e-03,-5.418333581391009091e+01
2.289239928336566244e-03,-5.411034301334480290e+01
2.305828623469439488e-03,-5.625615120873877828e+01
2.322417318602313166e-03,-5.778712107992213021e+01
2.339006013735186844e-03,-5.800790650967058326e+01
2.355594708868060522e-03,-5.953793132912564801e+01
2.372183404000934200e-03,-6.317162361067016008e+01
2.388772099133807877e-03,-6.202686141317834512e+01
2.405360794266681555e-03,-5.953243454710234062e+01
2.421949489399555233e-03,-5.868237180678406872e+01
2.438538184532428911e-03,-5.828215783656705185e+01
