distance_m,amplitude_dB
0.000000000000000000e+00,-4.231646710144226375e+01
1.958590958231187096e-05,-3.652704486223337454e+01
3.917181916462374191e-05,-3.277905910984060966e+01
5.875772874693561287e-05,-3.753872147549533622e+01
7.834363832924748383e-05,-4.311570400948173898e+01
9.792954791155934801e-05,-4.307334300816073380e+01
1.175154574938712257e-04,-6.142333140088874188e+01
1.371013670761830764e-04,-5.209729160789397895e+01
1.566872766584949677e-04,-5.452648600468108953e+01
1.762731862408068318e-04,-4.669598875432389207e+01
1.958590958231186960e-04,-4.987357583985335907e+01
2.154450054054305602e-04,-4.870584883941798893e+01
2.350309149877424515e-04,-5.313728201190721023e+01
2.546168245700543157e-04,-5.771909196773091821e+01
2.742027341523661527e-04,-5.831252682953061139e+01
2.937886437346780440e-04,-5.298123562944435605e+01
3.133745533169899353e-04,-6.098254130197368994e+01
3.329604628993017724e-04,-5.814357630170360380e+01
3.525463724816136637e-04,-5.568909130555056919e+01
3.721322820639255007e-04,-5.369273343104420348e+01
3.917181916462373920e-04,-6.409318994321482421e+01
4.113041012285492833e-04,-5.640251667284723425e+01
4.308900108108611204e-04,-6.044675826680200714e+01
4.504759203931730117e-04,-6.164082150039648411e+01
4.700618299754849030e-04,-5.858194177812242742e+01
4.896477395577967942e-04,-6.070766762578935527e+01
5.092336491401086313e-04,-7.001063662815393229e+01
5.288195587224204684e-04,-7.051513526308249880e+01
5.484054683047323055e-04,-5.958171445207047157e+01
5.679913778870442510e-04,-5.303486159425580126e+01
5.875772874693560880e-04,-4.950434729907638598e+01
6.071631970516679251e-04,-4.902761317247851736e+01
6.267491066339798706e-04,-5.324048748214057980e+01
6.463350162162917077e-04,-5.967022991545504595e+01
6.659209257986035448e-04,-5.973141504949066416e+01
6.855068353809154903e-04,-6.533018996028755510e+01
7.050927449632273273e-04,-5.361957481994587482e+01
7.246786545455391644e-04,-5.233821215201089672e+01
7.442645641278510015e-04,-5.399947863577555296e+01
7.638504737101629470e-04,-5.253811360180005607e+01
7.834363832924747841e-04,-5.006276175479564472e+01
8.030222928747866211e-04,-5.287691690347799067e+01
8.226082024570985666e-04,-5.508029043616281939e+01
8.421941120394104037e-04,-5.172678396808949230e+01
8.617800216217222408e-04,-5.072625480725364611e+01
8.813659312040341863e-04,-5.139127970606588036e+01
9.009518407863460233e-04,-5.416288129947766095e+01
9.205377503686578604e-04,-5.858129433463379598e+01
9.401236599509698059e-04,-6.282139980539180613e+01
9.597095695332816430e-04,-6.657632210635269132e+01
9.792954791155935885e-04,-6.097808684409818625e+01
9.988813886979053171e-04,-6.030808775832205271e+01
1.018467298280217263e-03,-6.166845351754773930e+01
1.038053207862529208e-03,-5.694158099408536344e+01
1.057639117444840937e-03,-5.304047428589046831e+01
1.077225027027152882e-03,-5.291741729181661924e+01
1.096810936609464611e-03,-5.331889613906213299e+01
1.116396846191776556e-03,-5.318045631093218617e+01
1.135982755774088502e-03,-5.625789306923643096e+01
1.155568665356400231e-03,-5.535373621288417922e+01
1.175154574938712176e-03,-6.005661328586208469e+01
1.194740484521024122e-03,-5.709671206421845113e+01
1.214326394103335850e-03,-5.318189305778668086e+01
1.233912303685647796e-03,-5.817260223353022752e+01
1.253498213267959741e-03,-5.589143745413431219e+01
1.273084122850271470e-03,-5.149977292455456990e+01
1.292670032432583415e-03,-4.967612095754559931e+01
1.312255942014895361e-03,-5.064630861622872970e+01
1.331841851597207090e-03,-5.532927568526976358e+01
1.351427761179519035e-03,-5.224202385014004335e+01
1.371013670761830981e-03,-4.934879306763859574e+01
1.390599580344142709e-03,-5.288620909491073263e+01
1.410185489926454655e-03,-6.792826503408504379e+01
1.429771399508766600e-03,-5.683327134745310616e+01
1.449357309091078329e-03,-5.644800066473784739e+01
1.468943218673390274e-03,-5.860072235333333879e+01
1.488529128255702003e-03,-5.382534061321482710e+01
1.508115037838013948e-03,-5.166753901891777190e+01
1.527700947420325894e-03,-5.041067498570203043e+01
1.547286857002637623e-03,-5.044732443506657660e+01
1.566872766584949568e-03,-5.386358073682163905e+01
1.586458676167261514e-03,-5.717266001702935796e+01
1.606044585749573242e-03,-5.487471317536544291e+01
1.625630495331885188e-03,-5.320430890479531172e+01
1.645216404914197133e-03,-5.488464822539229715e+01
1.664802314496508862e-03,-5.663021318428085493e+01
1.684388224078820807e-03,-5.436132321998804429e+01
1.703974133661132753e-03,-5.404939782034197293e+01
1.723560043243444482e-03,-5.558982783281411599e+01
1.743145952825756427e-03,-5.964588563515342656e+01
1.762731862408068373e-03,-6.446540885077673977e+01
1.782317771990380101e-03,-6.097183235505183774e+01
1.801903681572692047e-03,-5.607021610388426325e+01
1.821489591155003992e-03,-5.681368257555293155e+01
1.841075500737315721e-03,-5.501510440120104306e+01
1.860661410319627666e-03,-5.533569607961279502e+01
1.880247319901939612e-03,-6.430741088549520157e+01
1.899833229484251340e-03,-6.381111711969955991e+01
1.919419139066563286e-03,-5.668725151510440696e+01
1.939005048648875015e-03,-5.743065033411862430e+01
1.958590958231187177e-03,-6.101317759007315544e+01
1.978176867813498906e-03,-5.817512895340159673e+01
1.997762777395810634e-03,-5.713209932693033011e+01
2.017348686978122797e-03,-5.941616984636644361e+01
2.036934596560434525e-03,-6.215362120554539160e+01
2.056520506142746254e-03,-6.329241878571249913e+01
2.076106415725058416e-03,-6.723005842462336545e+01
2.095692325307370145e-03,-6.445229521016878493e+01
2.115278234889681874e-03,-5.799012205879360238e+01
2.134864144471993602e-03,-5.348938118512287332e+01
2.154450054054305765e-03,-5.314796083249660086e+01
2.174035963636617493e-03,-5.952658516262054889e+01
2.193621873218929222e-03,-7.726112818964466555e+01
2.213207782801241384e-03,-5.933930832271496314e+01
2.232793692383553113e-03,-5.594537161985876139e+01
2.252379601965864842e-03,-6.087851534096765249e+01
2.271965511548177004e-03,-5.517866842329623012e+01
2.291551421130488733e-03,-5.294871945110597267e+01
2.311137330712800461e-03,-5.331472023410948680e+01
2.330723240295112623e-03,-5.627016491100731344e+01
2.350309149877424352e-03,-5.701968869754416858e+01
2.369895059459736081e-03,-5.901646864569254092e+01
2.389480969042048243e-03,-6.656876644322856862e+01
2.409066878624359972e-03,-5.684707513230045350e+01
2.428652788206671700e-03,-5.161405190601512061e+01
2.448238697788983863e-03,-5.165744520289049291e+01
2.467824607371295591e-03,-5.381151870366032597e+01
2.487410516953607320e-03,-5.067711836223559629e+01
2.506996426535919482e-03,-4.956556977570434697e+01
2.526582336118231211e-03,-5.197240522994309231e+01
2.546168245700542940e-03,-5.453225897004663381e+01
2.565754155282855102e-03,-5.669646714198329818e+01
2.585340064865166831e-03,-5.988871961535481603e+01
2.604925974447478559e-03,-6.400929954659437726e+01
2.624511884029790722e-03,-6.292190004187276742e+01
2.644097793612102450e-03,-5.871497954455936252e+01
2.663683703194414179e-03,-5.737728747087501091e+01
2.683269612776726341e-03,-6.249190598761843063e+01
2.702855522359038070e-03,-6.305177784723498746e+01
2.722441431941349799e-03,-6.171437842519507910e+01
2.742027341523661961e-03,-7.062588617522155232e+01
2.761613251105973690e-03,-6.947732138230841770e+01
2.781199160688285418e-03,-6.582294751396715071e+01
2.800785070270597581e-03,-6.265283452871421588e+01
2.820370979852909309e-03,-5.932875721221606113e+01
2.839956889435221038e-03,-5.714476080037294281e+01
2.859542799017533200e-03,-6.386893023117753643e+01
2.879128708599844929e-03,-7.401014935428531771e+01
2.898714618182156658e-03,-6.702721570159178555e+01
2.918300527764468820e-03,-4.585186527810918733e+01
2.937886437346780549e-03,-3.851463075539168557e+01
2.957472346929092277e-03,-3.848027785108217103e+01
2.977058256511404006e-03,-4.498385214249402964e+01
2.996644166093716168e-03,-5.763942178198360011e+01
3.016230075676027897e-03,-5.820099044380845044e+01
3.035815985258339626e-03,-5.028424225232999589e+01
3.055401894840651788e-03,-4.803900225622768971e+01
3.074987804422963517e-03,-5.103809891005770538e+01
3.094573714005275245e-03,-5.980637521907500087e+01
3.114159623587587408e-03,-6.168039102471141177e+01
3.133745533169899136e-03,-5.807942257504328865e+01
3.153331442752210865e-03,-5.634023065602747948e+01
3.172917352334523027e-03,-5.926301578876091725e+01
3.192503261916834756e-03,-5.958223346441464230e+01
3.212089171499146485e-03,-5.524610322811939511e+01
3.231675081081458647e-03,-5.283404902580273443e+01
3.251260990663770375e-03,-5.333020866442056018e+01
3.270846900246082104e-03,-6.345807458581282390e+01
3.290432809828394266e-03,-5.913114504394955162e+01
3.310018719410705995e-03,-5.572812900555521765e+01
3.329604628993017724e-03,-5.463021437942653336e+01
3.349190538575329886e-03,-5.228003876788304183e+01
3.368776448157641615e-03,-5.354259623740679785e+01
3.388362357739953343e-03,-5.796557104277151495e+01
3.407948267322265506e-03,-6.379928779220314539e+01
3.427534176904577234e-03,-6.097105097437375321e+01
3.447120086486888963e-03,-5.509320563939691340e+01
3.466705996069201125e-03,-5.623071063453026852e+01
3.486291905651512854e-03,-6.202019659753940317e+01
3.505877815233824583e-03,-6.826261315885311376e+01
3.525463724816136745e-03,-5.958558011890021078e+01
3.545049634398448474e-03,-5.325963660847343561e+01
3.564635543980760202e-03,-5.470389775829536916e+01
3.584221453563072365e-03,-5.822624603663342668e+01
3.603807363145384093e-03,-5.678480093310681553e+01
3.623393272727695822e-03,-5.620423586130756632e+01
3.642979182310007984e-03,-5.828675793398740268e+01
3.662565091892319713e-03,-5.984598677632703811e+01
3.682151001474631442e-03,-5.951505121480452232e+01
3.701736911056943604e-03,-6.126708233275508064e+01
3.721322820639255333e-03,-6.925497225812092950e+01
3.740908730221567061e-03,-6.614001372020668157e+01
3.760494639803879224e-03,-7.183519028984304100e+01
3.780080549386190952e-03,-6.004241146914707628e+01
3.799666458968502681e-03,-5.757074476123015216e+01
3.819252368550814410e-03,-6.111179220660778810e+01
3.838838278133126572e-03,-6.646386597284754316e+01
3.858424187715438301e-03,-6.398861005029534255e+01
3.878010097297750029e-03,-6.332654002379481284e+01
3.897596006880062192e-03,-6.349864996391865191e+01
3.917181916462374354e-03,-6.341799201008530673e+01
3.936767826044685649e-03,-6.097695105942699456e+01
3.956353735626997811e-03,-5.552247428127800077e+01
3.975939645209309974e-03,-5.466378495578851471e+01
3.995525554791621269e-03,-5.746472396063266785e+01
4.015111464373933431e-03,-5.985358998793293495e+01
4.034697373956245593e-03,-6.569383229799069568e+01
4.054283283538556888e-03,-6.795352431214409705e+01
4.073869193120869051e-03,-5.803134111423980102e+01
4.093455102703181213e-03,-5.365073671895915197e+01
4.113041012285492508e-03,-5.210655263849101715e+01
4.132626921867804670e-03,-5.289402273528848752e+01
4.152212831450116833e-03,-5.505209545479640809e+01
4.171798741032428127e-03,-5.537426987762717800e+01
4.191384650614740290e-03,-5.522333932839990922e+01
4.210970560197052452e-03,-5.799208037870278076e+01
4.230556469779363747e-03,-6.174954294505184293e+01
4.250142379361675909e-03,-5.867595517705436237e+01
4.269728288943987204e-03,-5.735175881704205381e+01
4.289314198526299367e-03,-5.831125424762910114e+01
4.308900108108611529e-03,-5.891600878978864841e+01
4.328486017690922824e-03,-6.186074613172523584e+01
4.348071927273234986e-03,-6.187269111025501900e+01
4.367657836855547149e-03,-5.769711435419795009e+01
4.387243746437858444e-03,-5.734243083234034088e+01
4.406829656020170606e-03,-5.464294058902076046e+01
4.426415565602482768e-03,-5.248790752204633492e+01
