distance_m,amplitude_dB
0.000000000000000000e+00,-5.627611624017954739e+01
1.854425369016045598e-05,-3.932211438859511787e+01
3.708850738032091197e-05,-3.187998719425860017e+01
5.563276107048136795e-05,-3.007996668263483642e+01
7.417701476064182393e-05,-3.330799085446189167e+01
9.272126845080227314e-05,-4.253222138749816850e+01
1.112655221409627359e-04,-3.890418567176982378e+01
1.298097758311231851e-04,-4.143494839867231150e+01
1.483540295212836479e-04,-3.888817908251041899e+01
1.668982832114440835e-04,-4.126963924317443855e+01
1.854425369016045463e-04,-5.174156871195138763e+01
2.039867905917650090e-04,-4.322660544824485385e+01
2.225310442819254718e-04,-4.450750968314623179e+01
2.410752979720859075e-04,-4.836041860784319368e+01
2.596195516622463702e-04,-4.774009628154703933e+01
2.781638053524068330e-04,-4.943124498983847559e+01
2.967080590425672957e-04,-5.670907769074290883e+01
3.152523127327277585e-04,-6.168724991395532697e+01
3.337965664228881670e-04,-5.380362741584124819e+01
3.523408201130486298e-04,-5.012500971803593330e+01
3.708850738032090926e-04,-4.975394935104939975e+01
3.894293274933695553e-04,-5.746037343271859044e+01
4.079735811835300181e-04,-6.259620441641970956e+01
4.265178348736904808e-04,-5.355865682828083152e+01
4.450620885638509436e-04,-5.225363099775010767e+01
4.636063422540113521e-04,-6.310393512058303855e+01
4.821505959441718149e-04,-5.466998553799814431e+01
5.006948496343322777e-04,-5.337493978115673343e+01
5.192391033244927404e-04,-5.937475699075121582e+01
5.377833570146532032e-04,-6.658408306455501702e+01
5.563276107048136659e-04,-6.177060959608063229e+01
5.748718643949741287e-04,-5.126457046782786620e+01
5.934161180851345915e-04,-4.927755531642618081e+01
6.119603717752950542e-04,-5.192882272387372922e+01
6.305046254654555170e-04,-5.647501343934828100e+01
6.490488791556159797e-04,-5.497961291740548972e+01
6.675931328457763341e-04,-5.254438288482600683e+01
6.861373865359367968e-04,-7.515665685227273229e+01
7.046816402260972596e-04,-5.697399197958852568e+01
7.232258939162577224e-04,-5.993767786897883099e+01
7.417701476064181851e-04,-6.417329221288927954e+01
7.603144012965786479e-04,-6.034001792844578915e+01
7.788586549867391106e-04,-6.254568549445664871e+01
7.974029086768995734e-04,-5.436468889411337813e+01
8.159471623670600362e-04,-5.007675582856334984e+01
8.344914160572204989e-04,-4.833787238496099548e+01
8.530356697473809617e-04,-4.932391867931228546e+01
8.715799234375414244e-04,-5.190450464679594234e+01
8.901241771277018872e-04,-5.657743214185419589e+01
9.086684308178623500e-04,-5.945841013473376790e+01
9.272126845080227043e-04,-5.338654047514823020e+01
9.457569381981831671e-04,-5.439917021719491430e+01
9.643011918883436298e-04,-5.441166633757191562e+01
9.828454455785042010e-04,-5.656306660168059608e+01
1.001389699268664555e-03,-6.418183320035883810e+01
1.019933952958825127e-03,-6.273731711406983891e+01
1.038478206648985481e-03,-7.326179091157469259e+01
1.057022460339145835e-03,-5.512477781846292402e+01
1.075566714029306406e-03,-5.115400284201524528e+01
1.094110967719466761e-03,-5.473059283151059873e+01
1.112655221409627332e-03,-6.491128120181954841e+01
1.131199475099787686e-03,-6.795424984262322710e+01
1.149743728789948257e-03,-6.451933926775474504e+01
1.168287982480108612e-03,-5.992497146734904589e+01
1.186832236170269183e-03,-5.700915200736375255e+01
1.205376489860429537e-03,-5.743726140798755608e+01
1.223920743550590108e-03,-6.080705503366894504e+01
1.242464997240750463e-03,-5.928609015693314177e+01
1.261009250930911034e-03,-5.946812402457972269e+01
1.279553504621071388e-03,-5.691540165337514878e+01
1.298097758311231959e-03,-5.418927536239899467e+01
1.316642012001392314e-03,-5.676081497423614053e+01
1.335186265691552668e-03,-6.264473452798576147e+01
1.353730519381713239e-03,-5.865546440291581831e+01
1.372274773071873594e-03,-5.614346359647731788e+01
1.390819026762034165e-03,-5.736634092665564566e+01
1.409363280452194519e-03,-5.941324136750777996e+01
1.427907534142355090e-03,-6.041169517957164459e+01
1.446451787832515445e-03,-5.686917907472776079e+01
1.464996041522676016e-03,-5.292411086795130615e+01
1.483540295212836370e-03,-5.474245977773398408e+01
1.502084548902996941e-03,-6.007840393559413883e+01
1.520628802593157296e-03,-6.401628240477835163e+01
1.539173056283317867e-03,-6.659458277930829695e+01
1.557717309973478221e-03,-6.304768904640766181e+01
1.576261563663638792e-03,-6.201750381401475209e+01
1.594805817353799147e-03,-6.828189431348175731e+01
1.613350071043959501e-03,-5.458136474950574524e+01
1.631894324734120072e-03,-5.211733803284325006e+01
1.650438578424280427e-03,-5.378533865509680822e+01
1.668982832114440998e-03,-5.424126256668746038e+01
1.687527085804601352e-03,-5.116541677624726958e+01
1.706071339494761923e-03,-5.095777255052507826e+01
1.724615593184922278e-03,-5.471241073093700180e+01
1.743159846875082849e-03,-6.067300127438352320e+01
1.761704100565243203e-03,-6.730506219732023965e+01
1.780248354255403774e-03,-6.758495063221546673e+01
1.798792607945564129e-03,-6.318150355381057892e+01
1.817336861635724700e-03,-6.585223133738037404e+01
1.835881115325885054e-03,-6.993638991693585183e+01
1.854425369016045409e-03,-8.148822632763447871e+01
1.872969622706205980e-03,-6.312139081669937468e+01
1.891513876396366334e-03,-5.597234726324132481e+01
1.910058130086526905e-03,-5.499330776152216771e+01
1.928602383776687260e-03,-5.533038473197352403e+01
1.947146637466847831e-03,-5.494297502712729653e+01
1.965690891157008402e-03,-5.581275377087418121e+01
1.984235144847168539e-03,-5.610843758464386610e+01
2.002779398537329111e-03,-5.690748774881713246e+01
2.021323652227489682e-03,-5.909683102043360492e+01
2.039867905917650253e-03,-5.888932521640616358e+01
2.058412159607810391e-03,-5.866333731746536984e+01
2.076956413297970962e-03,-6.297265034984285137e+01
2.095500666988131533e-03,-7.175207956875047444e+01
2.114044920678291670e-03,-6.754856223820924299e+01
2.132589174368452242e-03,-6.009902584447481644e+01
2.151133428058612813e-03,-5.628749206100309266e+01
2.169677681748773384e-03,-5.859428595330091127e+01
2.188221935438933521e-03,-5.870343299394277636e+01
2.206766189129094093e-03,-5.666467647031026189e+01
2.225310442819254664e-03,-5.966697880732673553e+01
2.243854696509415235e-03,-6.731299346657239369e+01
2.262398950199575372e-03,-6.172027096534404222e+01
2.280943203889735944e-03,-5.921741754203223707e+01
2.299487457579896515e-03,-6.311321650155851160e+01
2.318031711270057086e-03,-6.101361338791424771e+01
2.336575964960217223e-03,-6.021147555602513535e+01
2.355120218650377795e-03,-6.364279294902678430e+01
2.373664472340538366e-03,-5.798174421942709955e+01
2.392208726030698503e-03,-5.797061629787977211e+01
2.410752979720859075e-03,-5.870549042728712408e+01
2.429297233411019646e-03,-5.762217925729931522e+01
2.447841487101180217e-03,-5.807309485470476318e+01
2.466385740791340354e-03,-5.779338692843463576e+01
2.484929994481500926e-03,-5.269541271091146228e+01
2.503474248171661497e-03,-5.235821000868543251e+01
2.522018501861822068e-03,-5.970666735324969210e+01
2.540562755551982205e-03,-5.941641771149303253e+01
2.559107009242142777e-03,-5.557921749741160511e+01
2.577651262932303348e-03,-5.966558940127529809e+01
2.596195516622463919e-03,-7.366922846880002851e+01
2.614739770312624056e-03,-6.727099378299558907e+01
2.633284024002784628e-03,-5.942105931256403295e+01
2.651828277692945199e-03,-5.844595367396898666e+01
2.670372531383105336e-03,-6.366044655491336357e+01
2.688916785073265907e-03,-5.807589745171848961e+01
2.707461038763426479e-03,-5.471865542975901064e+01
2.726005292453587050e-03,-5.638335472218677324e+01
2.744549546143747187e-03,-6.124721998883670437e+01
2.763093799833907759e-03,-7.495097631381980818e+01
2.781638053524068330e-03,-8.039062727837338684e+01
2.800182307214228901e-03,-6.970230685629515222e+01
2.818726560904389038e-03,-6.156169781007513109e+01
2.837270814594549610e-03,-5.858785603328898617e+01
2.855815068284710181e-03,-6.078218258424059428e+01
2.874359321974870752e-03,-6.161491063328246298e+01
2.892903575665030889e-03,-5.798385889993421927e+01
2.911447829355191461e-03,-5.762825419598480892e+01
2.929992083045352032e-03,-4.990632951257196481e+01
2.948536336735512169e-03,-4.267448179769647965e+01
2.967080590425672740e-03,-4.257608287165545136e+01
2.985624844115833312e-03,-5.194879364636732788e+01
3.004169097805993883e-03,-5.979782139070923819e+01
3.022713351496154020e-03,-5.535464849567337353e+01
3.041257605186314592e-03,-5.252069320398295815e+01
3.059801858876475163e-03,-5.084139634573091371e+01
3.078346112566635734e-03,-5.483265722810602938e+01
3.096890366256795871e-03,-8.418872833531487743e+01
3.115434619946956443e-03,-6.179204550089902170e+01
3.133978873637117014e-03,-6.426195972066832951e+01
3.152523127327277585e-03,-6.910224252199265038e+01
3.171067381017437722e-03,-7.188203503637582514e+01
3.189611634707598294e-03,-7.596800011884778314e+01
3.208155888397758865e-03,-6.293296723480067101e+01
3.226700142087919002e-03,-5.812417406374773066e+01
3.245244395778079573e-03,-5.366717004800428725e+01
3.263788649468240145e-03,-5.087057538869881057e+01
3.282332903158400716e-03,-5.143069600779566031e+01
3.300877156848560853e-03,-5.395539450059655451e+01
3.319421410538721424e-03,-5.499654263950233712e+01
3.337965664228881996e-03,-5.486921906866449206e+01
3.356509917919042567e-03,-5.301112379737644176e+01
3.375054171609202704e-03,-5.268622589807135626e+01
3.393598425299363276e-03,-5.793730251346776328e+01
3.412142678989523847e-03,-7.389203123526016270e+01
3.430686932679683984e-03,-6.223375484363724297e+01
3.449231186369844555e-03,-5.330164969065543801e+01
3.467775440060005127e-03,-5.064516797126189829e+01
3.486319693750165698e-03,-5.257509374150521353e+01
3.504863947440325835e-03,-5.761821346513808351e+01
3.523408201130486406e-03,-6.606595551679859568e+01
3.541952454820646978e-03,-6.309360685178430117e+01
3.560496708510807549e-03,-5.813304999954564067e+01
3.579040962200967686e-03,-6.110298025086160578e+01
3.597585215891128257e-03,-6.472029838667828017e+01
3.616129469581288829e-03,-6.039184129586559635e+01
3.634673723271449400e-03,-6.027534492564932833e+01
3.653217976961609537e-03,-6.197550218537288202e+01
3.671762230651770108e-03,-6.723062134704507287e+01
3.690306484341930680e-03,-6.394218370481453206e+01
3.708850738032090817e-03,-5.918035414645195402e+01
3.727394991722251388e-03,-6.793244083212323403e+01
3.745939245412411960e-03,-6.485203592364278791e+01
3.764483499102572531e-03,-6.372499125366906014e+01
3.783027752792732668e-03,-7.699483637205081266e+01
3.801572006482893239e-03,-6.367487624054771089e+01
3.820116260173053811e-03,-6.106872661891782172e+01
3.838660513863214382e-03,-6.928131575928478014e+01
3.857204767553374519e-03,-6.231703391939564796e+01
3.875749021243535090e-03,-6.207519297266937741e+01
3.894293274933695662e-03,-5.986773725173077310e+01
3.912837528623856233e-03,-5.581127556778808696e+01
3.931381782314016804e-03,-5.622967982286550637e+01
3.949926036004176508e-03,-6.082167422637490262e+01
3.968470289694337079e-03,-6.286757919042813114e+01
3.987014543384497650e-03,-6.510817712000773838e+01
4.005558797074658221e-03,-7.021802907017348616e+01
4.024103050764818792e-03,-6.497196859938421198e+01
4.042647304454979364e-03,-6.356510584493893390e+01
4.061191558145139935e-03,-6.045193239317495681e+01
4.079735811835300506e-03,-5.786096798760870286e+01
4.098280065525460210e-03,-6.167511253212866507e+01
4.116824319215620781e-03,-7.666605009881600097e+01
4.135368572905781352e-03,-6.343932576818892954e+01
4.153912826595941923e-03,-6.519663763079338992e+01
4.172457080286102495e-03,-6.091546274928204241e+01
4.191001333976263066e-03,-6.087327539916004326e+01
4.209545587666423637e-03,-6.955242376653549741e+01
4.228089841356583341e-03,-7.482192549807092519e+01
4.246634095046743912e-03,-7.446360657457067589e+01
4.265178348736904483e-03,-6.577489477220356662e+01
4.283722602427065054e-03,-5.862646778120819135e+01
4.302266856117225625e-03,-5.836205606825494385e+01
4.320811109807386197e-03,-6.067151629919681710e+01
4.339355363497546768e-03,-6.051984966061257865e+01
4.357899617187707339e-03,-5.630643404184492340e+01
4.376443870877867043e-03,-5.641482141407679052e+01
4.394988124568027614e-03,-5.760136248820970906e+01
4.413532378258188185e-03,-5.890728760343620962e+01
4.432076631948348756e-03,-6.241050689657286199e+01
4.450620885638509328e-03,-6.126257834673532443e+01
4.469165139328669899e-03,-5.670073101263881199e+01
4.487709393018830470e-03,-5.418808926654758551e+01
4.506253646708990174e-03,-5.463691698523032159e+01
4.524797900399150745e-03,-5.956581850880734663e+01
4.543342154089311316e-03,-6.386278798575315108e+01
4.561886407779471887e-03,-5.716315649726993087e+01
4.580430661469632458e-03,-5.971322130232570657e+01
4.598974915159793030e-03,-7.850617275332812994e+01
4.617519168849953601e-03,-5.968572756486423003e+01
4.636063422540114172e-03,-5.721927117927347695e+01
4.654607676230273876e-03,-5.585968654288181767e+01
4.673151929920434447e-03,-5.337564303326111315e+01
4.691696183610595018e-03,-5.261158230064933150e+01
4.710240437300755589e-03,-5.417331605816565343e+01
4.728784690990916161e-03,-5.654657485282426421e+01
4.747328944681076732e-03,-5.831594948169502857e+01
4.765873198371237303e-03,-6.316170127137265666e+01
4.784417452061397007e-03,-6.897668961450311542e+01
4.802961705751557578e-03,-5.817690790286157920e+01
4.821505959441718149e-03,-6.061642707862201007e+01
4.840050213131878720e-03,-7.661251703670178870e+01
4.858594466822039291e-03,-6.446507733448159172e+01
4.877138720512199863e-03,-6.372857738224323043e+01
4.895682974202360434e-03,-6.960243207175837199e+01
4.914227227892521005e-03,-6.056852385067153932e+01
4.932771481582680709e-03,-5.452751760351900145e+01
4.951315735272841280e-03,-5.462954406271347807e+01
4.969859988963001851e-03,-5.826124394450128818e+01
4.988404242653162422e-03,-6.551061361151097628e+01
5.006948496343322993e-03,-7.061942145160082873e+01
5.025492750033483565e-03,-6.609338024179974980e+01
5.044037003723644136e-03,-6.482684713903897489e+01
5.062581257413803840e-03,-7.737627381722812459e+01
5.081125511103964411e-03,-6.605029624453149495e+01
5.099669764794124982e-03,-6.709816867634005177e+01
5.118214018484285553e-03,-6.612932816782246448e+01
5.136758272174446124e-03,-6.169506292505797518e+01
5.155302525864606696e-03,-6.025946513828723994e+01
5.173846779554767267e-03,-6.341561363734798817e+01
5.192391033244927838e-03,-7.848658383821482687e+01
5.210935286935087542e-03,-6.062293861301051834e+01
5.229479540625248113e-03,-6.127402847670830965e+01
5.248023794315408684e-03,-5.825632512961527709e+01
5.266568048005569255e-03,-5.443656920000236710e+01
5.285112301695729826e-03,-5.906811304805007978e+01
5.303656555385890398e-03,-6.971581643393706429e+01
5.322200809076050969e-03,-5.959474488002608439e+01
5.340745062766210673e-03,-5.661267834245967379e+01
5.359289316456371244e-03,-5.674847743597289451e+01
5.377833570146531815e-03,-5.818834176531321134e+01
5.396377823836692386e-03,-5.771158487585363162e+01
5.414922077526852957e-03,-5.855042611217082538e+01
5.433466331217013529e-03,-5.923557111822637467e+01
5.452010584907174100e-03,-5.823279533420115683e+01
5.470554838597334671e-03,-5.747009330565671803e+01
5.489099092287494375e-03,-5.837891967046084574e+01
5.507643345977654946e-03,-6.064147230072534001e+01
5.526187599667815517e-03,-6.227210577262015079e+01
5.544731853357976088e-03,-6.134121905351985049e+01
5.563276107048136659e-03,-6.257734438499137752e+01
5.581820360738297231e-03,-5.851207216254434229e+01
5.600364614428457802e-03,-5.676570507258241349e+01
5.618908868118617506e-03,-5.898863181140866629e+01
5.637453121808778077e-03,-5.552381018138298430e+01
5.655997375498938648e-03,-5.391905042083948274e+01
5.674541629189099219e-03,-5.483413649762087516e+01
5.693085882879259790e-03,-5.711659853939886489e+01
5.711630136569420362e-03,-5.678790876773383900e+01
5.730174390259580933e-03,-5.583646590880557881e+01
5.748718643949741504e-03,-5.751196332771311148e+01
5.767262897639901208e-03,-5.809638651065520776e+01
5.785807151330061779e-03,-5.628226195395611597e+01
5.804351405020222350e-03,-5.660003674116619266e+01
5.822895658710382921e-03,-5.991116725515809804e+01
5.841439912400543492e-03,-6.929747869242527258e+01
5.859984166090704064e-03,-6.265006362236299964e+01
5.878528419780864635e-03,-5.820616039597260993e+01
5.897072673471024339e-03,-6.126017924441646301e+01
5.915616927161184910e-03,-6.744787159771397000e+01
5.934161180851345481e-03,-6.195314838328723539e+01
5.952705434541506052e-03,-6.261761886005907485e+01
5.971249688231666623e-03,-6.382494569409450946e+01
5.989793941921827194e-03,-6.708530318325017561e+01
6.008338195611987766e-03,-5.793769217502320146e+01
6.026882449302148337e-03,-5.584806952523207713e+01
6.045426702992308041e-03,-5.920372242339485780e+01
6.063970956682468612e-03,-6.326868940810597763e+01
6.082515210372629183e-03,-6.016287997451846081e+01
6.101059464062789754e-03,-5.438183512056568958e+01
6.119603717752950325e-03,-5.064369643124274489e+01
6.138147971443110897e-03,-5.038451229139145227e+01
6.156692225133271468e-03,-5.266980089143114441e+01
6.175236478823431172e-03,-5.650762417177551811e+01
6.193780732513591743e-03,-6.407729197871614701e+01
6.212324986203752314e-03,-6.817365393114280891e+01
6.230869239893912885e-03,-6.346167839502471963e+01
6.249413493584073456e-03,-6.532499340944471555e+01
6.267957747274234027e-03,-7.163099061113358346e+01
6.286502000964394599e-03,-6.501708890034227295e+01
6.305046254654555170e-03,-5.995433895741986419e+01
6.323590508344714874e-03,-5.763788958778938820e+01
6.342134762034875445e-03,-5.838088963912320395e+01
6.360679015725036016e-03,-6.428783136159756850e+01
6.379223269415196587e-03,-6.167193943126528666e+01
6.397767523105357158e-03,-5.758748599404810165e+01
6.416311776795517730e-03,-5.927633270415537226e+01
6.434856030485678301e-03,-6.704153018187150792e+01
6.453400284175838005e-03,-6.001802943355323094e+01
6.471944537865998576e-03,-5.692870039145433481e+01
6.490488791556159147e-03,-5.683392229142810947e+01
6.509033045246319718e-03,-5.668564134844943680e+01
6.527577298936480289e-03,-5.954749716793757131e+01
6.546121552626640860e-03,-6.860963595930735437e+01
6.564665806316801432e-03,-6.877530070235471271e+01
6.583210060006961135e-03,-6.263617758907525968e+01
6.601754313697121707e-03,-6.614058611107437002e+01
6.620298567387282278e-03,-6.661293675284072435e+01
6.638842821077442849e-03,-5.788117464602833451e+01
6.657387074767603420e-03,-5.773107139373954766e+01
6.675931328457763991e-03,-6.279074441194936895e+01
6.694475582147924562e-03,-6.501126334641126903e+01
6.713019835838085134e-03,-6.184868789412756485e+01
6.731564089528244837e-03,-6.337465735726311067e+01
6.750108343218405409e-03,-7.078177583671408968e+01
6.768652596908565980e-03,-7.668543560380736324e+01
6.787196850598726551e-03,-6.727975042742858136e+01
6.805741104288887122e-03,-5.932233126944518631e+01
6.824285357979047693e-03,-5.589914931361547445e+01
6.842829611669208265e-03,-5.620362292357089729e+01
6.861373865359367968e-03,-6.152974748223493862e+01
6.879918119049528540e-03,-6.990612713342318330e+01
6.898462372739689111e-03,-6.881049197655454464e+01
6.917006626429849682e-03,-6.428764025420227313e+01
6.935550880120010253e-03,-6.345753771050755176e+01
6.954095133810170824e-03,-6.075210334050882466e+01
6.972639387500331395e-03,-6.646558821857684052e+01
6.991183641190491967e-03,-7.178204848817225070e+01
7.009727894880651670e-03,-6.438580406793504096e+01
7.028272148570812242e-03,-5.827017926366066547e+01
7.046816402260972813e-03,-5.709062564198703882e+01
7.065360655951133384e-03,-5.926012637220185297e+01
7.083904909641293955e-03,-6.061072013617997811e+01
7.102449163331454526e-03,-6.151566980036757570e+01
7.120993417021615098e-03,-6.765539953965584630e+01
7.139537670711774801e-03,-1.022834341387864754e+02
7.158081924401935373e-03,-6.581714053135679876e+01
7.176626178092095944e-03,-6.436471414612294950e+01
7.195170431782256515e-03,-6.555422111830134213e+01
7.213714685472417086e-03,-7.164630674150726009e+01
7.232258939162577657e-03,-6.302899764579164810e+01
7.250803192852738228e-03,-6.082376368196962346e+01
7.269347446542898800e-03,-6.076236510659783363e+01
7.287891700233058503e-03,-6.061529732788210367e+01
7.306435953923219075e-03,-6.256350862041315253e+01
7.324980207613379646e-03,-7.214079296824328935e+01
7.343524461303540217e-03,-7.842416284016968575e+01
7.362068714993700788e-03,-7.716933843135674920e+01
7.380612968683861359e-03,-6.293409457612415991e+01
7.399157222374021931e-03,-5.977234901301646630e+01
7.417701476064181634e-03,-5.837298635718156703e+01
7.436245729754342206e-03,-5.545122790013596870e+01
7.454789983444502777e-03,-5.550116068442847705e+01
7.473334237134663348e-03,-5.581247896463884217e+01
7.491878490824823919e-03,-5.942608193580881704e+01
7.510422744514984490e-03,-6.856361742591978725e+01
7.528966998205145061e-03,-6.798451857155914979e+01
7.547511251895305633e-03,-6.857454656793369452e+01
7.566055505585465336e-03,-6.499699612311238184e+01
7.584599759275625908e-03,-5.748080121919048224e+01
7.603144012965786479e-03,-5.999856197129566482e+01
7.621688266655947050e-03,-6.376620019749648094e+01
7.640232520346107621e-03,-6.245552444897910505e+01
7.658776774036268192e-03,-6.143249622364476181e+01
7.677321027726428763e-03,-6.352553633459397275e+01
7.695865281416588467e-03,-6.114313992552114030e+01
7.714409535106749038e-03,-5.770626035772426121e+01
7.732953788796909610e-03,-6.026804145715865957e+01
7.751498042487070181e-03,-6.458875434760474832e+01
7.770042296177230752e-03,-6.256460302576489596e+01
7.788586549867391323e-03,-6.284809751163783176e+01
7.807130803557551894e-03,-6.591983579099792223e+01
7.825675057247712466e-03,-6.042636481034226392e+01
7.844219310937872169e-03,-6.083879482865795296e+01
7.862763564628033608e-03,-6.442328753651945306e+01
7.881307818318193312e-03,-6.999867397406426051e+01
7.899852072008353016e-03,-6.944984397415151989e+01
7.918396325698514454e-03,-6.401383690265998894e+01
7.936940579388674158e-03,-5.982551813787032557e+01
7.955484833078835596e-03,-6.165170607349703857e+01
7.974029086768995300e-03,-6.614795958886864469e+01
7.992573340459156739e-03,-6.262579096591224470e+01
8.011117594149316443e-03,-6.009678649633336533e+01
8.029661847839477881e-03,-6.723549544785561238e+01
8.048206101529637585e-03,-6.294140891326787113e+01
8.066750355219797289e-03,-5.656430864541951564e+01
8.085294608909958727e-03,-5.650876940417597893e+01
8.103838862600118431e-03,-6.240365598717307449e+01
8.122383116290279870e-03,-6.355243141358748460e+01
8.140927369980439574e-03,-6.613114399695048462e+01
8.159471623670601012e-03,-7.757946559850898893e+01
8.178015877360760716e-03,-6.558860551636823288e+01
8.196560131050920420e-03,-5.937297358005302783e+01
8.215104384741081858e-03,-5.876952434823601124e+01
8.233648638431241562e-03,-6.130255988801708611e+01
8.252192892121403001e-03,-6.774120911802117462e+01
8.270737145811562704e-03,-7.103221346630755306e+01
8.289281399501724143e-03,-7.199473418970154626e+01
8.307825653191883847e-03,-6.263426620608022688e+01
8.326369906882043551e-03,-5.961164361749197838e+01
8.344914160572204989e-03,-5.987093099248659200e+01
8.363458414262364693e-03,-5.863447563449119571e+01
8.382002667952526132e-03,-5.864392807351487136e+01
8.400546921642685835e-03,-6.193584160030141561e+01
8.419091175332847274e-03,-6.319505727963650799e+01
8.437635429023006978e-03,-6.032298661642854398e+01
8.456179682713166681e-03,-6.049050680252796042e+01
8.474723936403328120e-03,-6.210942063921738310e+01
8.493268190093487824e-03,-6.672369326498696296e+01
8.511812443783649262e-03,-8.431145921227084727e+01
8.530356697473808966e-03,-6.290104926474427316e+01
8.548900951163970405e-03,-5.851274885422320438e+01
8.567445204854130109e-03,-6.536144062804730481e+01
8.585989458544291547e-03,-6.223097523476184278e+01
8.604533712234451251e-03,-6.148355068245696486e+01
8.623077965924610955e-03,-6.599801599039088273e+01
8.641622219614772393e-03,-6.450187573414565634e+01
8.660166473304932097e-03,-6.090090507012517662e+01
8.678710726995093536e-03,-5.931536060242547137e+01
8.697254980685253239e-03,-6.031756994334352129e+01
8.715799234375414678e-03,-5.992771229063519911e+01
8.734343488065574382e-03,-5.752240941138222041e+01
8.752887741755734086e-03,-6.015539385024821684e+01
8.771431995445895524e-03,-5.948485739632381097e+01
8.789976249136055228e-03,-5.779268559283791262e+01
8.808520502826216667e-03,-5.774774946986279645e+01
8.827064756516376370e-03,-5.833243240825748899e+01
8.845609010206537809e-03,-5.982217336588217194e+01
8.864153263896697513e-03,-5.964103919214289107e+01
8.882697517586857217e-03,-6.021936596603726599e+01
8.901241771277018655e-03,-6.369735402825219239e+01
8.919786024967178359e-03,-6.661180449459700981e+01
8.938330278657339797e-03,-6.700261805921699931e+01
8.956874532347499501e-03,-5.998723785167855027e+01
8.975418786037660940e-03,-5.698089721929059692e+01
8.993963039727820644e-03,-5.859798691914208035e+01
9.012507293417980347e-03,-5.997046529738569376e+01
9.031051547108141786e-03,-5.904797291605929388e+01
9.049595800798301490e-03,-6.261451059161070987e+01
9.068140054488462928e-03,-7.180696173060087517e+01
9.086684308178622632e-03,-7.619522875938359618e+01
9.105228561868784071e-03,-7.260722379693876860e+01
9.123772815558943775e-03,-7.097741324476187685e+01
9.142317069249105213e-03,-6.106930581400659719e+01
9.160861322939264917e-03,-6.344891302239703634e+01
9.179405576629424621e-03,-7.427049271417521936e+01
9.197949830319586059e-03,-6.247368922051242635e+01
9.216494084009745763e-03,-5.952872929225840437e+01
9.235038337699907202e-03,-6.069111775551790799e+01
9.253582591390066905e-03,-6.699697715109392959e+01
9.272126845080228344e-03,-6.845453832476253808e+01
9.290671098770388048e-03,-5.850031459439922799e+01
9.309215352460547752e-03,-5.634469732182408563e+01
9.327759606150709190e-03,-5.840021541871890065e+01
9.346303859840868894e-03,-6.223777823590013725e+01
9.364848113531030332e-03,-6.348713655711161863e+01
9.383392367221190036e-03,-6.453573571763014627e+01
9.401936620911351475e-03,-7.213397043380784623e+01
9.420480874601511179e-03,-6.951061619061229635e+01
9.439025128291670882e-03,-7.159615684059761520e+01
9.457569381981832321e-03,-6.209298022921928606e+01
9.476113635671992025e-03,-5.411150839771487142e+01
9.494657889362153463e-03,-5.186326539539773961e+01
9.513202143052313167e-03,-5.269220457273689817e+01
9.531746396742474606e-03,-5.605776906541575499e+01
9.550290650432634310e-03,-5.978156345780908509e+01
9.568834904122794013e-03,-6.279768357325910699e+01
9.587379157812955452e-03,-6.577090371967837257e+01
9.605923411503115156e-03,-6.516914855363211245e+01
9.624467665193276594e-03,-6.267049657757560510e+01
9.643011918883436298e-03,-6.431258639097146101e+01
9.661556172573597737e-03,-6.624607495102998200e+01
9.680100426263757440e-03,-6.365842647696489820e+01
9.698644679953918879e-03,-6.066600062188990705e+01
9.717188933644078583e-03,-6.064844656134611256e+01
