distance_m,amplitude_dB
0.000000000000000000e+00,-6.944276444974127571e+01
1.933399362445337231e-05,-3.933357048572260339e+01
3.866798724890674463e-05,-3.343300910711226948e+01
5.800198087336011016e-05,-3.479602184317811719e+01
7.733597449781348925e-05,-4.166011089038558168e+01
9.666996812226686157e-05,-4.055763236857131204e+01
1.160039617467202203e-04,-3.956498662208733208e+01
1.353379553711736062e-04,-3.966859130076826290e+01
1.546719489956269785e-04,-4.231295396952180710e+01
1.740059426200803508e-04,-5.871682300356659567e+01
1.933399362445337231e-04,-4.726486551143843684e+01
2.126739298689870683e-04,-4.827045790924962176e+01
2.320079234934404407e-04,-4.613962702492382562e+01
2.513419171178938130e-04,-5.111973066529664322e+01
2.706759107423472124e-04,-5.531992817345825131e+01
2.900099043668005576e-04,-5.160069246169518919e+01
3.093438979912539570e-04,-4.949049726708359742e+01
3.286778916157073022e-04,-5.359342419762447918e+01
3.480118852401607016e-04,-7.341997632331356272e+01
3.673458788646140468e-04,-6.306140721281060735e+01
3.866798724890674463e-04,-5.891618609516076077e+01
4.060138661135207915e-04,-6.820556684669878678e+01
4.253478597379741367e-04,-5.511377425711025069e+01
4.446818533624275361e-04,-5.164442274254277265e+01
4.640158469868808813e-04,-5.381973701267286003e+01
4.833498406113342807e-04,-5.505953253880414167e+01
5.026838342357876259e-04,-5.130684151777749236e+01
5.220178278602410253e-04,-5.612034398628430409e+01
5.413518214846944248e-04,-5.711538804025454397e+01
5.606858151091477158e-04,-5.604291777583952694e+01
5.800198087336011152e-04,-6.194576511841195554e+01
5.993538023580545146e-04,-6.111913368490611020e+01
6.186877959825079140e-04,-6.428690196881669294e+01
6.380217896069612050e-04,-5.826791173398149226e+01
6.573557832314146044e-04,-5.167964426822939572e+01
6.766897768558680039e-04,-5.048408913166377232e+01
6.960237704803214033e-04,-4.949914933536405925e+01
7.153577641047746943e-04,-4.958263661314556714e+01
7.346917577292280937e-04,-5.301960595862541936e+01
7.540257513536814931e-04,-6.415607542296415033e+01
7.733597449781348925e-04,-6.961675293753516769e+01
7.926937386025881835e-04,-5.658535637519412376e+01
8.120277322270415829e-04,-5.208585769538188259e+01
8.313617258514949824e-04,-5.170899773409149702e+01
8.506957194759482734e-04,-5.812397621810607262e+01
8.700297131004016728e-04,-5.987015150571654942e+01
8.893637067248550722e-04,-5.336568063920643823e+01
9.086977003493084716e-04,-5.332684414109449733e+01
9.280316939737617626e-04,-5.323117742033326749e+01
9.473656875982151620e-04,-5.392801571531906291e+01
9.666996812226685614e-04,-5.645562963182000260e+01
9.860336748471218524e-04,-5.868994872394596030e+01
1.005367668471575252e-03,-5.803074065710896434e+01
1.024701662096028651e-03,-5.697534885913044178e+01
1.044035655720482051e-03,-5.460655002850089801e+01
1.063369649344935450e-03,-5.223035061511329502e+01
1.082703642969388850e-03,-5.210046471030867821e+01
1.102037636593842249e-03,-5.505318446103056829e+01
1.121371630218295432e-03,-6.099484344565330218e+01
1.140705623842748831e-03,-5.742725605854747783e+01
1.160039617467202230e-03,-6.093206918738063393e+01
1.179373611091655630e-03,-6.827707006547161939e+01
1.198707604716109029e-03,-5.688610555319528572e+01
1.218041598340562429e-03,-5.643839790073723606e+01
1.237375591965015828e-03,-6.547274348132923194e+01
1.256709585589469011e-03,-6.485919017417366206e+01
1.276043579213922410e-03,-7.329057787805700741e+01
1.295377572838375809e-03,-5.900118691867560017e+01
1.314711566462829209e-03,-5.487835122285676448e+01
1.334045560087282608e-03,-5.715277067467308569e+01
1.353379553711736008e-03,-5.894410226982158463e+01
1.372713547336189407e-03,-5.639513150823108845e+01
1.392047540960642807e-03,-5.463593231577985421e+01
1.411381534585095989e-03,-5.355003305824666171e+01
1.430715528209549389e-03,-5.204721705859370928e+01
1.450049521834002788e-03,-5.222134437043500554e+01
1.469383515458456187e-03,-5.421252565389054467e+01
1.488717509082909587e-03,-5.798286961580500787e+01
1.508051502707362986e-03,-6.359132243123482908e+01
1.527385496331816386e-03,-6.450566016245727496e+01
1.546719489956269785e-03,-6.196252529327307457e+01
1.566053483580722968e-03,-5.752913690945295144e+01
1.585387477205176367e-03,-5.661974025897948337e+01
1.604721470829629766e-03,-5.708873191925256663e+01
1.624055464454083166e-03,-5.659059147770859965e+01
1.643389458078536565e-03,-6.108131011157709622e+01
1.662723451702989965e-03,-6.529001395497506621e+01
1.682057445327443364e-03,-5.847944078617655350e+01
1.701391438951896547e-03,-5.360861281308917370e+01
1.720725432576349946e-03,-5.329041050515522215e+01
1.740059426200803346e-03,-6.154372636452266221e+01
1.759393419825256745e-03,-5.603631240340745734e+01
1.778727413449710144e-03,-5.254059937159085081e+01
1.798061407074163544e-03,-5.428959446575486680e+01
1.817395400698616943e-03,-5.981538828873381419e+01
1.836729394323070343e-03,-6.203138742623282553e+01
1.856063387947523525e-03,-5.951366738819284308e+01
1.875397381571976925e-03,-6.045307817345823764e+01
1.894731375196430324e-03,-6.097973883354726610e+01
1.914065368820883723e-03,-6.081424951400467904e+01
1.933399362445337123e-03,-6.502931707599560696e+01
1.952733356069790522e-03,-5.906403839442140224e+01
1.972067349694243705e-03,-5.662910751316064761e+01
1.991401343318697104e-03,-5.719964427185387734e+01
2.010735336943150504e-03,-5.859914354330636854e+01
2.030069330567603903e-03,-6.101108564650138533e+01
2.049403324192057303e-03,-6.103081105351201074e+01
2.068737317816510702e-03,-5.726148452175703341e+01
2.088071311440964101e-03,-5.285922612451908975e+01
2.107405305065417501e-03,-5.174089524718731070e+01
2.126739298689870900e-03,-5.234509921360756834e+01
2.146073292314324300e-03,-5.458165294515089272e+01
2.165407285938777699e-03,-6.185378838582448680e+01
2.184741279563231098e-03,-6.766645396951700775e+01
2.204075273187684498e-03,-6.236072180362188533e+01
2.223409266812137464e-03,-6.039769832744991618e+01
2.242743260436590863e-03,-6.292542408206463733e+01
2.262077254061044262e-03,-6.924524054128144712e+01
2.281411247685497662e-03,-5.990689105040345197e+01
2.300745241309951061e-03,-5.747255305428780048e+01
2.320079234934404461e-03,-6.029375611318939576e+01
2.339413228558857860e-03,-6.226336461141100642e+01
2.358747222183311260e-03,-6.323256313406556473e+01
2.378081215807764659e-03,-7.061644066424736366e+01
2.397415209432218058e-03,-6.161239140654633673e+01
2.416749203056671458e-03,-6.242263687017916851e+01
2.436083196681124857e-03,-6.248930321339527438e+01
2.455417190305578257e-03,-6.463669726895409440e+01
2.474751183930031656e-03,-6.367593140318193434e+01
2.494085177554485055e-03,-5.847570771904997855e+01
2.513419171178938021e-03,-6.004305847626770287e+01
2.532753164803391421e-03,-5.939447423602150877e+01
2.552087158427844820e-03,-6.069016554632987948e+01
2.571421152052298219e-03,-6.018201486279316015e+01
2.590755145676751619e-03,-5.911016345762016044e+01
2.610089139301205018e-03,-5.939037496819039319e+01
2.629423132925658418e-03,-5.773493742498183678e+01
2.648757126550111817e-03,-5.868407172411827588e+01
2.668091120174565217e-03,-6.198978722541922792e+01
2.687425113799018616e-03,-6.612298625232264726e+01
2.706759107423472015e-03,-5.917326909453257855e+01
2.726093101047925415e-03,-5.821099797099857653e+01
2.745427094672378814e-03,-7.012960366463283890e+01
2.764761088296832214e-03,-5.804396580952106888e+01
2.784095081921285613e-03,-5.333183764503377233e+01
2.803429075545738579e-03,-5.240818610939956557e+01
2.822763069170191978e-03,-5.486052636070469646e+01
2.842097062794645378e-03,-5.850947287114438211e+01
2.861431056419098777e-03,-6.705249184106470750e+01
2.880765050043552176e-03,-4.537242504194568937e+01
2.900099043668005576e-03,-3.932399463861166566e+01
2.919433037292458975e-03,-4.092251966182529799e+01
2.938767030916912375e-03,-5.106165074014355554e+01
2.958101024541365774e-03,-6.176879623348503401e+01
2.977435018165819174e-03,-6.023701034028427159e+01
2.996769011790272573e-03,-5.275199431330094058e+01
3.016103005414725972e-03,-5.020642557118566884e+01
3.035436999039179372e-03,-5.494154757682472479e+01
3.054770992663632771e-03,-5.750541109075393109e+01
3.074104986288086171e-03,-5.777181056401865789e+01
3.093438979912539570e-03,-5.627496356755116835e+01
3.112772973536992536e-03,-5.570513436454693590e+01
3.132106967161445935e-03,-6.212709609327983884e+01
3.151440960785899335e-03,-6.137463848483846363e+01
3.170774954410352734e-03,-5.578178572856862161e+01
3.190108948034806133e-03,-5.344232153810245478e+01
3.209442941659259533e-03,-5.332479857915258492e+01
3.228776935283712932e-03,-5.714492708023934142e+01
3.248110928908166332e-03,-6.192478293528495925e+01
