distance_m,amplitude_dB
0.000000000000000000e+00,-4.793952933898609814e+01
1.854291894066587763e-05,-3.657891766066818207e+01
3.708583788133175527e-05,-3.046031878360597389e+01
5.562875682199763968e-05,-3.114842089579677875e+01
7.417167576266351053e-05,-3.800504046989095031e+01
9.271459470332939494e-05,-3.703515035344327089e+01
1.112575136439952794e-04,-3.685755742925044842e+01
1.298004325846611638e-04,-4.366659695350257664e+01
1.483433515253270211e-04,-4.853472927290064831e+01
1.668862704659929055e-04,-4.206321361263280778e+01
1.854291894066587899e-04,-4.346410782087598079e+01
2.039721083473246743e-04,-5.140323766425111529e+01
2.225150272879905587e-04,-4.647145014814714159e+01
2.410579462286564160e-04,-4.859121744779437080e+01
2.596008651693223275e-04,-6.438257495054718049e+01
2.781437841099882119e-04,-5.116767685898547313e+01
2.966867030506540421e-04,-5.182437718722316333e+01
3.152296219913199265e-04,-5.534042248019068921e+01
3.337725409319858109e-04,-5.078520901259970799e+01
3.523154598726516954e-04,-5.812327907068026889e+01
3.708583788133175798e-04,-6.261283882340589457e+01
3.894012977539834642e-04,-6.201487084798824867e+01
4.079442166946493486e-04,-5.451315466443197266e+01
4.264871356353152330e-04,-5.581870722076799751e+01
4.450300545759811174e-04,-5.888233336312352151e+01
4.635729735166470018e-04,-6.250801523550070726e+01
4.821158924573128320e-04,-6.127251333976848002e+01
5.006588113979787164e-04,-5.819626004707325251e+01
5.192017303386446550e-04,-6.370707558487816158e+01
5.377446492793104852e-04,-5.458038262600819479e+01
5.562875682199764239e-04,-5.326601471404834598e+01
5.748304871606422541e-04,-5.560002587955774800e+01
5.933734061013080843e-04,-5.826641166345520872e+01
6.119163250419740229e-04,-5.575586634957651455e+01
6.304592439826398531e-04,-5.026632850258235408e+01
6.490021629233057917e-04,-4.657693747385914662e+01
6.675450818639716219e-04,-4.526269304815262018e+01
6.860880008046375605e-04,-4.703663136954092749e+01
7.046309197453033907e-04,-5.064720862612095686e+01
7.231738386859693293e-04,-5.262111438975512812e+01
7.417167576266351595e-04,-5.330928139814230349e+01
7.602596765673009897e-04,-5.545082584188597252e+01
7.788025955079669283e-04,-5.960873559933390453e+01
7.973455144486327585e-04,-7.702409805503553741e+01
8.158884333892986972e-04,-5.668443888752327808e+01
