distance_m,amplitude_dB
0.000000000000000000e+00,-5.106113689184287097e+01
1.846470592191257402e-05,-4.008531675630308655e+01
3.692941184382514803e-05,-3.371720304325719297e+01
5.539411776573772544e-05,-3.466424898545831468e+01
7.385882368765029607e-05,-4.462101354444759238e+01
9.232352960956287347e-05,-4.638894805071215899e+01
1.107882355314754509e-04,-4.719392722978282961e+01
1.292529414533880147e-04,-4.791037061286590415e+01
1.477176473753005921e-04,-4.791443343392327137e+01
1.661823532972131695e-04,-5.322547325541670915e+01
1.846470592191257469e-04,-4.649557450643791867e+01
2.031117651410383244e-04,-5.172665794477652668e+01
2.215764710629509018e-04,-5.308808285936771654e+01
2.400411769848634792e-04,-4.916134349495563072e+01
2.585058829067760295e-04,-5.094553108095153959e+01
2.769705888286886340e-04,-4.822820514285290017e+01
2.954352947506011843e-04,-5.395220549216596595e+01
3.139000006725137888e-04,-6.806147262618769389e+01
3.323647065944263391e-04,-7.425594936258231371e+01
3.508294125163389436e-04,-5.325747713932130978e+01
3.692941184382514939e-04,-5.313693021933158889e+01
3.877588243601640984e-04,-5.774458918169916899e+01
4.062235302820766487e-04,-5.849585296117255240e+01
4.246882362039891990e-04,-5.721133206862785414e+01
4.431529421259018035e-04,-5.795772254705756410e+01
4.616176480478143538e-04,-5.659693764058508236e+01
4.800823539697269583e-04,-5.604429975922107587e+01
4.985470598916395086e-04,-5.615371233883067248e+01
5.170117658135520589e-04,-5.762377974774773293e+01
5.354764717354647176e-04,-5.843730195901167690e+01
5.539411776573772679e-04,-6.071554203891862755e+01
5.724058835792898182e-04,-6.710774046157222017e+01
5.908705895012023685e-04,-6.535408509943235345e+01
6.093352954231150273e-04,-5.879889871865817241e+01
6.278000013450275776e-04,-5.319035846025031589e+01
6.462647072669401279e-04,-4.875249169677589123e+01
6.647294131888526782e-04,-4.747678217264932954e+01
6.831941191107652285e-04,-4.954410791060042385e+01
7.016588250326778872e-04,-5.617693512461273286e+01
7.201235309545904375e-04,-7.164124482985060638e+01
7.385882368765029878e-04,-7.539813601059182702e+01
7.570529427984155381e-04,-6.681740953945065087e+01
7.755176487203281968e-04,-7.035409763883123446e+01
7.939823546422407471e-04,-7.083362532790829391e+01
8.124470605641532974e-04,-6.036566965895663373e+01
8.309117664860658477e-04,-5.335800550588424329e+01
8.493764724079783980e-04,-5.234363570534406307e+01
8.678411783298910567e-04,-5.819194399477515844e+01
8.863058842518036070e-04,-7.292998694754405165e+01
9.047705901737161573e-04,-6.395989643613823716e+01
9.232352960956287076e-04,-5.928223837281583997e+01
9.417000020175413664e-04,-5.596689298583056882e+01
9.601647079394539167e-04,-5.652842291451437973e+01
9.786294138613665754e-04,-5.972056284542219373e+01
9.970941197832790173e-04,-5.943772854556526397e+01
1.015558825705191676e-03,-5.796273352963420677e+01
1.034023531627104118e-03,-5.940164088177304791e+01
1.052488237549016777e-03,-5.806874949377798600e+01
1.070952943470929435e-03,-5.581000165912476518e+01
1.089417649392841877e-03,-5.946869565904965071e+01
1.107882355314754536e-03,-6.199273090846676837e+01
1.126347061236666978e-03,-5.872869397007367809e+01
1.144811767158579636e-03,-5.729538730926623913e+01
1.163276473080492295e-03,-6.049171822394031039e+01
