distance_m,amplitude_dB
0.000000000000000000e+00,-5.511696815042004971e+01
1.846714745791830343e-05,-3.888901397413496142e+01
3.693429491583660686e-05,-3.110495441033700814e+01
5.540144237375491028e-05,-2.909271880346330974e+01
7.386858983167321371e-05,-3.207439870431512929e+01
9.233573728959152392e-05,-3.586855104712253706e+01
1.108028847475098206e-04,-3.471202616681703290e+01
1.292700322054281172e-04,-3.653188197525813052e+01
1.477371796633464274e-04,-4.537867879981619268e+01
1.662043271212647376e-04,-4.434159148762412883e+01
1.846714745791830478e-04,-4.171212658185076094e+01
2.031386220371013580e-04,-4.232856048582013386e+01
2.216057694950196411e-04,-4.299598068407280493e+01
2.400729169529379513e-04,-4.423913431854263933e+01
2.585400644108562344e-04,-4.595262818639181290e+01
2.770072118687745446e-04,-4.724958184428665220e+01
2.954743593266928548e-04,-4.570041380686344468e+01
3.139415067846111651e-04,-4.257055005614519416e+01
3.324086542425294753e-04,-4.630134505417619550e+01
3.508758017004477855e-04,-5.186260996829464176e+01
3.693429491583660957e-04,-5.745575194495054205e+01
3.878100966162844059e-04,-5.145151032868110974e+01
4.062772440742027161e-04,-5.238509112724062788e+01
4.247443915321210263e-04,-4.859742809607211456e+01
4.432115389900392823e-04,-5.327401017907621394e+01
4.616786864479575925e-04,-5.763050669834587580e+01
4.801458339058759027e-04,-5.103698130506109010e+01
4.986129813637942129e-04,-5.033764894072929508e+01
5.170801288217124689e-04,-5.120994435866837335e+01
5.355472762796308333e-04,-5.457571444898297841e+01
5.540144237375490893e-04,-5.498301561593383724e+01
5.724815711954674537e-04,-5.230718637776143964e+01
5.909487186533857097e-04,-5.167256577055795930e+01
6.094158661113040741e-04,-5.450897902704201670e+01
6.278830135692223301e-04,-5.425030121231370117e+01
6.463501610271406945e-04,-4.485827327088446737e+01
6.648173084850589505e-04,-4.156959212635150891e+01
6.832844559429772065e-04,-4.601581458287269299e+01
7.017516034008955709e-04,-5.880552279052579223e+01
7.202187508588138269e-04,-5.305455347067259453e+01
7.386858983167321913e-04,-5.455427658350798481e+01
7.571530457746504473e-04,-5.271302858027551963e+01
7.756201932325688117e-04,-5.416313340619269923e+01
7.940873406904870677e-04,-5.554290038095146542e+01
8.125544881484054321e-04,-4.733452044731811981e+01
8.310216356063236881e-04,-4.242982718597288283e+01
8.494887830642420526e-04,-4.209264313003387059e+01
8.679559305221603085e-04,-4.516731661252870111e+01
8.864230779800785645e-04,-4.911803851410046207e+01
9.048902254379969290e-04,-5.280139335584856042e+01
9.233573728959151850e-04,-6.884506705489549461e+01
9.418245203538335494e-04,-5.337552033656584882e+01
9.602916678117518054e-04,-5.144657244113113848e+01
9.787588152696700614e-04,-5.138878973800991190e+01
9.972259627275884258e-04,-5.282982223536888000e+01
1.015693110185506790e-03,-5.991222211803516728e+01
1.034160257643424938e-03,-6.137286705012017052e+01
1.052627405101343302e-03,-4.980239366131692691e+01
