distance_m,amplitude_dB
0.000000000000000000e+00,-4.782685259923425747e+01
1.931905806890685652e-05,-3.943245055712159086e+01
3.863811613781371304e-05,-3.177186623130460674e+01
5.795717420672056279e-05,-2.863108953211748542e+01
7.727623227562742609e-05,-2.908783712081625339e+01
9.659529034453426906e-05,-3.124030097723053956e+01
1.159143484134411256e-04,-3.279317674799833071e+01
1.352334064823479821e-04,-3.398081061945835302e+01
1.545524645512548522e-04,-3.538807566334839549e+01
1.738715226201616951e-04,-3.618315935684604767e+01
1.931905806890685381e-04,-3.693464712410904127e+01
2.125096387579754082e-04,-3.860170451712693307e+01
2.318286968268822512e-04,-4.005471599996057819e+01
2.511477548957891212e-04,-4.083410879610124056e+01
2.704668129646959642e-04,-4.221048824169456992e+01
2.897858710336028072e-04,-4.376832467610712740e+01
3.091049291025097043e-04,-4.421805023401883261e+01
3.284239871714165473e-04,-4.432639501288674921e+01
3.477430452403233903e-04,-4.590906895246926922e+01
3.670621033092302333e-04,-4.812636554616225482e+01
3.863811613781370762e-04,-4.849179565115008472e+01
4.057002194470439734e-04,-4.898003419532110314e+01
4.250192775159508164e-04,-5.017417803427939305e+01
4.443383355848576593e-04,-5.030727415477492315e+01
4.636573936537645023e-04,-5.036768278527398479e+01
4.829764517226713995e-04,-5.021497722593696977e+01
5.022955097915782425e-04,-5.140546633023815559e+01
5.216145678604850854e-04,-5.823903184140240796e+01
5.409336259293919284e-04,-5.865886020027893721e+01
5.602526839982987714e-04,-5.887424068152182599e+01
5.795717420672056143e-04,-6.983813964902461180e+01
5.988908001361124573e-04,-5.830463302622832344e+01
6.182098582050194087e-04,-5.862014780366610722e+01
6.375289162739262517e-04,-6.176041661076396139e+01
6.568479743428330946e-04,-5.142258547493185006e+01
6.761670324117399376e-04,-4.998777664185737990e+01
6.954860904806467806e-04,-5.285042226443663083e+01
7.148051485495536235e-04,-5.888258953581668464e+01
7.341242066184604665e-04,-6.676403465261797976e+01
7.534432646873673095e-04,-6.915583640559472656e+01
7.727623227562741524e-04,-6.315081384571423939e+01
7.920813808251811038e-04,-5.797998972087525260e+01
8.114004388940879468e-04,-5.830417070191585793e+01
8.307194969629947898e-04,-5.860084307507903389e+01
8.500385550319016327e-04,-5.613058909806846231e+01
8.693576131008084757e-04,-5.290901506330382631e+01
8.886766711697153187e-04,-5.221236972887207628e+01
9.079957292386221616e-04,-5.375252823967440463e+01
9.273147873075290046e-04,-5.812732676170642776e+01
9.466338453764358476e-04,-7.212981310413334768e+01
9.659529034453427990e-04,-5.806191351142651769e+01
9.852719615142495335e-04,-5.649740546264874297e+01
1.004591019583156485e-03,-5.745922788879160237e+01
1.023910077652063219e-03,-5.902120007974836113e+01
1.043229135720970171e-03,-5.669885524888974970e+01
1.062548193789877122e-03,-5.451570388174070558e+01
1.081867251858783857e-03,-5.746346375564601772e+01
1.101186309927690808e-03,-6.192744990786935944e+01
1.120505367996597543e-03,-5.821173250465342619e+01
1.139824426065504494e-03,-5.645145508129044742e+01
1.159143484134411229e-03,-5.935808841383965984e+01
1.178462542203318180e-03,-5.900880288587623568e+01
1.197781600272224915e-03,-5.965674579618294615e+01
1.217100658341131866e-03,-6.373309182451633603e+01
1.236419716410038817e-03,-5.902599190882541080e+01
1.255738774478945552e-03,-5.647839010488024059e+01
1.275057832547852503e-03,-5.687192241887782984e+01
1.294376890616759238e-03,-5.755079124562772819e+01
1.313695948685666189e-03,-5.714447966128686573e+01
1.333015006754572924e-03,-5.587484823307043058e+01
1.352334064823479875e-03,-5.550813397926128090e+01
1.371653122892386610e-03,-5.727968719036741163e+01
1.390972180961293561e-03,-6.206293068377032540e+01
1.410291239030200513e-03,-5.863019324060032034e+01
1.429610297099107247e-03,-5.711860709920521373e+01
1.448929355168014198e-03,-6.231332406130405843e+01
1.468248413236920933e-03,-5.746505148923786521e+01
1.487567471305827884e-03,-5.512273548941210066e+01
1.506886529374734619e-03,-5.886137409867578896e+01
1.526205587443641570e-03,-6.283570563414646415e+01
1.545524645512548305e-03,-6.034192735714525924e+01
1.564843703581455256e-03,-6.249091958145655923e+01
1.584162761650362208e-03,-6.290433341379742416e+01
1.603481819719268942e-03,-6.371589526710152995e+01
1.622800877788175894e-03,-6.375460775926789125e+01
1.642119935857082628e-03,-6.306327841080197771e+01
1.661438993925989580e-03,-6.350334062268591140e+01
1.680758051994896314e-03,-6.254899314902484520e+01
1.700077110063803265e-03,-6.500823013443125831e+01
1.719396168132710000e-03,-7.455985669986088737e+01
1.738715226201616951e-03,-6.249179346503452592e+01
1.758034284270523903e-03,-6.274616330613372384e+01
1.777353342339430637e-03,-6.775828913697435496e+01
1.796672400408337589e-03,-6.176715038606027974e+01
1.815991458477244323e-03,-5.914796977969352554e+01
1.835310516546151275e-03,-6.002334810095148043e+01
1.854629574615058009e-03,-6.163542494425978902e+01
1.873948632683964961e-03,-6.947952738590640820e+01
1.893267690752871695e-03,-7.021643204648354697e+01
1.912586748821778647e-03,-6.179910204555718423e+01
1.931905806890685598e-03,-6.036872475540189953e+01
1.951224864959592332e-03,-6.315652929921310488e+01
1.970543923028499067e-03,-6.553082749946395325e+01
1.989862981097406235e-03,-6.407164903613630713e+01
2.009182039166312970e-03,-6.411648439536219257e+01
2.028501097235219704e-03,-6.658036695244356906e+01
2.047820155304126439e-03,-6.459931017279046728e+01
2.067139213373033607e-03,-6.058994716235069689e+01
2.086458271441940342e-03,-6.195549847971101798e+01
2.105777329510847076e-03,-6.611003526585210466e+01
2.125096387579754244e-03,-5.626715358073751361e+01
2.144415445648660979e-03,-5.784692027946390169e+01
2.163734503717567714e-03,-6.859394799093138317e+01
2.183053561786474448e-03,-6.068787501700902709e+01
2.202372619855381616e-03,-5.831953171706454953e+01
2.221691677924288351e-03,-6.085631373659501975e+01
2.241010735993195085e-03,-6.147562266071477666e+01
2.260329794062102254e-03,-6.009710153905476204e+01
2.279648852131008988e-03,-6.179720575533403348e+01
2.298967910199915723e-03,-6.179812806400781966e+01
2.318286968268822457e-03,-5.835118724076651375e+01
2.337606026337729626e-03,-5.753795856598735980e+01
2.356925084406636360e-03,-6.246776594025750029e+01
2.376244142475543095e-03,-7.000491814319609318e+01
2.395563200544449829e-03,-6.557111601963907788e+01
2.414882258613356997e-03,-7.136647420964064281e+01
2.434201316682263732e-03,-6.673812445386346326e+01
2.453520374751170467e-03,-6.332983222715746052e+01
2.472839432820077635e-03,-6.370966503878419473e+01
2.492158490888984369e-03,-6.750655340635641721e+01
2.511477548957891104e-03,-6.385944743385023514e+01
2.530796607026797838e-03,-6.173166188524565001e+01
2.550115665095705007e-03,-6.510790006785518358e+01
2.569434723164611741e-03,-6.441488224541856766e+01
2.588753781233518476e-03,-6.547237447784367248e+01
2.608072839302425644e-03,-6.893728526370533416e+01
2.627391897371332379e-03,-6.585968564112570789e+01
2.646710955440239113e-03,-6.469027191713760772e+01
2.666030013509145848e-03,-6.487381743250521993e+01
2.685349071578053016e-03,-6.436527970015806943e+01
2.704668129646959750e-03,-6.274231230656585723e+01
2.723987187715866485e-03,-6.023418529225403262e+01
2.743306245784773219e-03,-6.030408881125041631e+01
2.762625303853680388e-03,-6.197956945197145728e+01
2.781944361922587122e-03,-6.303080944733423507e+01
2.801263419991493857e-03,-5.828128708689227011e+01
2.820582478060401025e-03,-5.923573299564588268e+01
2.839901536129307760e-03,-6.200609228735397949e+01
2.859220594198214494e-03,-8.005200333834507376e+01
2.878539652267121229e-03,-4.878799992523832429e+01
2.897858710336028397e-03,-4.272735511947496434e+01
2.917177768404935131e-03,-4.441381919894833885e+01
2.936496826473841866e-03,-5.477806173122939981e+01
2.955815884542749034e-03,-6.976848746954006231e+01
2.975134942611655769e-03,-6.218657188413774861e+01
2.994454000680562503e-03,-5.252414874250092680e+01
3.013773058749469238e-03,-4.976808346260098403e+01
3.033092116818376406e-03,-5.168933221619097651e+01
3.052411174887283141e-03,-5.884084860083333979e+01
