distance_m,amplitude_dB
0.000000000000000000e+00,-4.647562767246843407e+01
1.658885703674501980e-05,-3.837518790643353839e+01
3.317771407349003960e-05,-3.147897984211899569e+01
4.976657111023505601e-05,-2.998689962727974390e+01
6.635542814698007919e-05,-3.315836602102032771e+01
8.294428518372508883e-05,-3.652644318597504025e+01
9.953314222047011202e-05,-3.430773211827049352e+01
1.161219992572151352e-04,-3.184125662832711257e+01
1.327108562939601584e-04,-3.458826682086006343e+01
1.492997133307051680e-04,-3.560383468066166301e+01
1.658885703674501777e-04,-3.301759766053433509e+01
1.824774274041952144e-04,-3.356850882955490079e+01
1.990662844409402240e-04,-3.962296001266753365e+01
2.156551414776852337e-04,-3.869372353733837855e+01
2.322439985144302704e-04,-3.671083575091457618e+01
2.488328555511753071e-04,-3.731360649030018806e+01
2.654217125879203168e-04,-3.884175226762997113e+01
2.820105696246653264e-04,-3.928051841975725011e+01
2.985994266614103360e-04,-4.133933665407363378e+01
3.151882836981553457e-04,-4.711926496040658208e+01
3.317771407349003553e-04,-5.582566485738101392e+01
3.483659977716454192e-04,-5.092861050868218342e+01
3.649548548083904288e-04,-5.623318814103362939e+01
3.815437118451354384e-04,-5.032449532172545759e+01
3.981325688818804481e-04,-5.291551956421261593e+01
4.147214259186254577e-04,-5.177386881239169014e+01
4.313102829553704673e-04,-5.334291422769410929e+01
4.478991399921155312e-04,-5.575166535616089902e+01
4.644879970288605408e-04,-5.310791134681683445e+01
4.810768540656055504e-04,-5.303873862459413147e+01
4.976657111023506143e-04,-5.438481947186498644e+01
5.142545681390955697e-04,-5.476724369259957825e+01
5.308434251758406336e-04,-5.567128849555490433e+01
5.474322822125855890e-04,-5.975064488295644338e+01
5.640211392493306528e-04,-6.877100255507450299e+01
5.806099962860756082e-04,-6.560224561000649146e+01
5.971988533228206721e-04,-5.788806543584426834e+01
6.137877103595657359e-04,-5.652866463746286030e+01
6.303765673963106914e-04,-6.354227089040826115e+01
6.469654244330557552e-04,-5.935732719208741059e+01
6.635542814698007106e-04,-4.912178100214754295e+01
6.801431385065457745e-04,-4.597899865973906230e+01
6.967319955432908383e-04,-4.841173395415688674e+01
7.133208525800357937e-04,-5.644542721136854624e+01
7.299097096167808576e-04,-6.117298919043599170e+01
7.464985666535258130e-04,-5.964127066337125882e+01
7.630874236902708769e-04,-6.136115630044285751e+01
7.796762807270158323e-04,-6.644014254793452778e+01
7.962651377637608961e-04,-6.927387024056216092e+01
8.128539948005059600e-04,-6.661870026184195126e+01
8.294428518372509154e-04,-6.744821876768460811e+01
8.460317088739959792e-04,-5.515602460674348606e+01
8.626205659107409347e-04,-5.511772153790394668e+01
8.792094229474859985e-04,-5.227136474577891079e+01
8.957982799842310623e-04,-5.131811678260412890e+01
9.123871370209760178e-04,-5.286521232624399147e+01
9.289759940577210816e-04,-5.300970411123589798e+01
9.455648510944660370e-04,-5.685072356175088260e+01
9.621537081312111009e-04,-5.894035489062162725e+01
9.787425651679561647e-04,-5.888019396066509614e+01
9.953314222047012286e-04,-6.385370113517452495e+01
1.011920279241446076e-03,-5.940415191525865168e+01
1.028509136278191139e-03,-5.610143664082208659e+01
1.045097993314936203e-03,-5.757464766046907556e+01
1.061686850351681267e-03,-5.999476017600643019e+01
1.078275707388426331e-03,-5.772698390618127462e+01
1.094864564425171178e-03,-5.384949000890978255e+01
1.111453421461916242e-03,-5.110633470172353299e+01
1.128042278498661306e-03,-5.197068083009326500e+01
1.144631135535406369e-03,-5.736834144952680248e+01
1.161219992572151216e-03,-6.113879740300686194e+01
1.177808849608896280e-03,-5.732665426622165228e+01
1.194397706645641344e-03,-5.660275091748678733e+01
1.210986563682386408e-03,-5.575612392712561416e+01
1.227575420719131472e-03,-5.637312724738441716e+01
1.244164277755876319e-03,-5.842780394846482039e+01
1.260753134792621383e-03,-5.991747096334741229e+01
1.277341991829366447e-03,-5.936665103347416306e+01
1.293930848866111510e-03,-5.878354653555356180e+01
1.310519705902856574e-03,-5.789203292481347063e+01
1.327108562939601421e-03,-5.487177655363940687e+01
1.343697419976346485e-03,-5.582205128619402501e+01
1.360286277013091549e-03,-5.562655755198440488e+01
1.376875134049836613e-03,-5.382008627874125750e+01
1.393463991086581677e-03,-5.464657066366178384e+01
1.410052848123326524e-03,-5.876465234600230758e+01
1.426641705160071587e-03,-5.918971237348315384e+01
1.443230562196816651e-03,-5.454448900038143222e+01
1.459819419233561715e-03,-5.191942950122722067e+01
1.476408276270306779e-03,-5.110568487444622576e+01
1.492997133307051626e-03,-5.112635416233102603e+01
1.509585990343796690e-03,-5.342988012486790694e+01
1.526174847380541754e-03,-5.706961229826087845e+01
1.542763704417286818e-03,-5.819161750970563673e+01
1.559352561454031665e-03,-5.519546856170424576e+01
1.575941418490776728e-03,-5.515974059847728483e+01
1.592530275527521792e-03,-5.609760985305035774e+01
1.609119132564266856e-03,-5.320084333792208042e+01
1.625707989601011920e-03,-4.796190719664554081e+01
1.642296846637756767e-03,-4.961829346818018394e+01
1.658885703674501831e-03,-5.673795903519818751e+01
1.675474560711246895e-03,-5.684240425818082798e+01
1.692063417747991958e-03,-5.165410109880668443e+01
1.708652274784737022e-03,-4.501740813388916251e+01
1.725241131821481869e-03,-4.049098912782626769e+01
1.741829988858226933e-03,-4.155364720112274313e+01
1.758418845894971997e-03,-4.396462912024166769e+01
1.775007702931717061e-03,-4.708854824340487255e+01
1.791596559968462125e-03,-4.769810047844253376e+01
1.808185417005206972e-03,-4.919143148882092476e+01
1.824774274041952036e-03,-5.336679771045859155e+01
1.841363131078697099e-03,-5.468361237005132836e+01
1.857951988115442163e-03,-5.263036010616775684e+01
1.874540845152187227e-03,-5.273288049831388946e+01
1.891129702188932074e-03,-5.140860800222925775e+01
1.907718559225677138e-03,-5.060514779101610117e+01
1.924307416262422202e-03,-5.348256572755123273e+01
1.940896273299167266e-03,-5.719689412816205021e+01
1.957485130335912329e-03,-5.320843030547514019e+01
1.974073987372657393e-03,-5.222529811001211897e+01
1.990662844409402457e-03,-5.538140423013003755e+01
2.007251701446147087e-03,-6.115722482135608118e+01
2.023840558482892151e-03,-6.013478027445800222e+01
2.040429415519637215e-03,-5.930260306103784274e+01
2.057018272556382279e-03,-6.663358771443031969e+01
2.073607129593127343e-03,-6.302414771286068174e+01
2.090195986629872407e-03,-5.677512604153421449e+01
2.106784843666617470e-03,-5.495103560315079250e+01
2.123373700703362534e-03,-5.821712322339998735e+01
2.139962557740107598e-03,-6.441407091811093721e+01
2.156551414776852662e-03,-7.630094637805642321e+01
2.173140271813597292e-03,-6.506320235572167121e+01
2.189729128850342356e-03,-5.902947907315304121e+01
2.206317985887087420e-03,-5.977777429298722467e+01
2.222906842923832484e-03,-6.572585146327908490e+01
2.239495699960577547e-03,-6.459707688982187790e+01
2.256084556997322611e-03,-6.819871198686965386e+01
2.272673414034067675e-03,-6.666361950270892578e+01
2.289262271070812739e-03,-6.884388369444070577e+01
2.305851128107557803e-03,-6.539975948961402707e+01
2.322439985144302433e-03,-5.930414725351547389e+01
2.339028842181047497e-03,-5.848791669497295942e+01
2.355617699217792561e-03,-5.921158882245003241e+01
2.372206556254537625e-03,-5.701894910266271665e+01
2.388795413291282688e-03,-5.653973220870128813e+01
2.405384270328027752e-03,-5.954159745080193744e+01
2.421973127364772816e-03,-6.184416519813518676e+01
2.438561984401517880e-03,-6.178395528443036255e+01
2.455150841438262944e-03,-7.003839386379038956e+01
2.471739698475008008e-03,-8.196780478125759828e+01
2.488328555511752638e-03,-6.323277372410399266e+01
2.504917412548497702e-03,-5.902267711944893591e+01
2.521506269585242765e-03,-6.104792621800822872e+01
2.538095126621987829e-03,-6.511882526726711262e+01
2.554683983658732893e-03,-6.481945657058359700e+01
2.571272840695477957e-03,-5.963971908764431618e+01
2.587861697732223021e-03,-5.690661670692851004e+01
2.604450554768968085e-03,-5.872613049736347079e+01
2.621039411805713149e-03,-6.894426113665338107e+01
2.637628268842458212e-03,-6.582731700079585835e+01
2.654217125879202843e-03,-6.038452580900252542e+01
2.670805982915947906e-03,-5.964848265340939548e+01
2.687394839952692970e-03,-5.755794751798057973e+01
2.703983696989438034e-03,-5.646670391940749312e+01
2.720572554026183098e-03,-5.743797176248004632e+01
2.737161411062928162e-03,-6.092176602317763212e+01
2.753750268099673226e-03,-6.428410863281105492e+01
2.770339125136418289e-03,-6.247191757218841701e+01
2.786927982173163353e-03,-5.667893861558484048e+01
2.803516839209907983e-03,-5.904009902642937391e+01
2.820105696246653047e-03,-5.998123473903682878e+01
2.836694553283398111e-03,-6.251532246579840546e+01
2.853283410320143175e-03,-5.994213449663539706e+01
2.869872267356888239e-03,-5.382216698260041454e+01
2.886461124393633303e-03,-5.414849669062024873e+01
2.903049981430378366e-03,-5.778547319173991070e+01
2.919638838467123430e-03,-6.102668546746731693e+01
2.936227695503868494e-03,-5.904843390792814262e+01
2.952816552540613558e-03,-5.491143608304951584e+01
2.969405409577358188e-03,-5.513695645010951552e+01
2.985994266614103252e-03,-6.202730968522139676e+01
3.002583123650848316e-03,-6.069364913369163617e+01
3.019171980687593380e-03,-6.600778698659854626e+01
3.035760837724338444e-03,-4.635714960564412479e+01
3.052349694761083507e-03,-3.689063553509609505e+01
3.068938551797828571e-03,-3.509803439752462850e+01
3.085527408834573635e-03,-3.966194646797009682e+01
3.102116265871318699e-03,-4.917548342275431139e+01
3.118705122908063329e-03,-5.516934736992286759e+01
3.135293979944808393e-03,-5.523838530150378290e+01
3.151882836981553457e-03,-4.925420029431856506e+01
3.168471694018298521e-03,-4.471296598362436470e+01
3.185060551055043584e-03,-4.587059685107618634e+01
3.201649408091788648e-03,-5.520316459271590759e+01
3.218238265128533712e-03,-6.324853251973522816e+01
3.234827122165278776e-03,-5.791161424642541533e+01
3.251415979202023840e-03,-6.368693879812894920e+01
3.268004836238768904e-03,-6.209561507644403378e+01
3.284593693275513534e-03,-5.367245732504878220e+01
3.301182550312258598e-03,-5.183291559972414575e+01
3.317771407349003662e-03,-5.352541509856988000e+01
3.334360264385748725e-03,-6.085734030517726723e+01
3.350949121422493789e-03,-6.538484678667003891e+01
3.367537978459238853e-03,-5.651228515732114488e+01
3.384126835495983917e-03,-5.246653006387406037e+01
3.400715692532728981e-03,-5.519150653123019623e+01
3.417304549569474045e-03,-6.674800541099389761e+01
3.433893406606219108e-03,-6.638915141085951177e+01
3.450482263642963739e-03,-5.973328105416481293e+01
3.467071120679708802e-03,-5.812250852689550840e+01
3.483659977716453866e-03,-5.090082116849114868e+01
3.500248834753198930e-03,-4.979173703647867910e+01
3.516837691789943994e-03,-5.630222532483038123e+01
3.533426548826689058e-03,-6.301454332954936177e+01
3.550015405863434122e-03,-6.216304390360673437e+01
3.566604262900179186e-03,-6.568708362010704604e+01
3.583193119936924249e-03,-6.271640074353433647e+01
3.599781976973668880e-03,-6.114355938178796634e+01
3.616370834010413943e-03,-6.835112726026956409e+01
3.632959691047159007e-03,-6.487936259495528191e+01
3.649548548083904071e-03,-6.292707115068834867e+01
3.666137405120649135e-03,-6.288113155175881275e+01
3.682726262157394199e-03,-6.346942160552107737e+01
3.699315119194139263e-03,-7.142017017261791523e+01
3.715903976230884326e-03,-7.117503999756794997e+01
3.732492833267629390e-03,-6.544095963686903872e+01
3.749081690304374454e-03,-6.237546939577568139e+01
3.765670547341119084e-03,-6.228326667207417700e+01
3.782259404377864148e-03,-6.379346472112431599e+01
3.798848261414609212e-03,-6.935045555153530472e+01
3.815437118451354276e-03,-7.757107248542206435e+01
3.832025975488099340e-03,-6.556763524605058535e+01
3.848614832524844404e-03,-6.026343319109997054e+01
3.865203689561589467e-03,-5.870594913277482618e+01
3.881792546598334531e-03,-6.184339232502991024e+01
3.898381403635079595e-03,-6.777540879078887315e+01
3.914970260671824659e-03,-7.602623607202266953e+01
3.931559117708569723e-03,-6.765829861410053070e+01
3.948147974745314787e-03,-6.259054045128601018e+01
3.964736831782059850e-03,-6.063404155612217750e+01
3.981325688818804914e-03,-6.237515927834009233e+01
3.997914545855549111e-03,-6.605161757414255419e+01
4.014503402892294175e-03,-6.445259173606879699e+01
4.031092259929039238e-03,-5.795500638766786494e+01
4.047681116965784302e-03,-5.590957466627332906e+01
4.064269974002529366e-03,-6.039467936998203612e+01
4.080858831039274430e-03,-7.853343790008911185e+01
4.097447688076019494e-03,-6.209855010116517349e+01
4.114036545112764558e-03,-6.139653166520601957e+01
4.130625402149509622e-03,-6.622777136978848489e+01
4.147214259186254685e-03,-7.926940502103731490e+01
4.163803116222999749e-03,-6.815090574838177417e+01
4.180391973259744813e-03,-6.108174250407751060e+01
4.196980830296489877e-03,-5.915984047281387603e+01
4.213569687333234941e-03,-6.441401520592948771e+01
4.230158544369980005e-03,-6.225187148830465844e+01
4.246747401406725068e-03,-5.477941597383608752e+01
4.263336258443470132e-03,-5.707822531714636938e+01
4.279925115480215196e-03,-6.941016041818146221e+01
4.296513972516960260e-03,-7.351730316347268968e+01
4.313102829553705324e-03,-7.319852348862080760e+01
4.329691686590449520e-03,-7.024294382639662615e+01
4.346280543627194584e-03,-6.948063005329007069e+01
4.362869400663939648e-03,-6.173149342038315979e+01
4.379458257700684712e-03,-5.672130286268522070e+01
4.396047114737429776e-03,-5.738861581579541848e+01
4.412635971774174840e-03,-6.616724143116333323e+01
4.429224828810919903e-03,-6.839504437416162830e+01
4.445813685847664967e-03,-6.840837722829755307e+01
4.462402542884410031e-03,-6.478054192909959852e+01
4.478991399921155095e-03,-5.955119015156198969e+01
4.495580256957900159e-03,-5.926931689015592752e+01
4.512169113994645223e-03,-7.092149527122904829e+01
4.528757971031390286e-03,-6.161347153695125911e+01
4.545346828068135350e-03,-6.249676514812520622e+01
4.561935685104880414e-03,-6.306935329659198430e+01
4.578524542141625478e-03,-6.134137044438938347e+01
4.595113399178370542e-03,-6.194186272296150264e+01
4.611702256215115606e-03,-6.464177053444545606e+01
4.628291113251860669e-03,-6.213056485606622203e+01
4.644879970288604866e-03,-6.030539146474987433e+01
4.661468827325349930e-03,-6.005434707189892407e+01
4.678057684362094994e-03,-6.070063068279063145e+01
4.694646541398840058e-03,-6.358561806154589391e+01
4.711235398435585121e-03,-6.358029909851425998e+01
4.727824255472330185e-03,-6.294674222919269369e+01
4.744413112509075249e-03,-6.878102749595390719e+01
4.761001969545820313e-03,-7.760022489904832810e+01
4.777590826582565377e-03,-6.612481213281446912e+01
4.794179683619310441e-03,-5.690996642795262517e+01
