distance_m,amplitude_dB
0.000000000000000000e+00,-4.647562767246843407e+01
1.658891645321793138e-05,-3.837518790643353839e+01
3.317783290643586277e-05,-3.147897984211899569e+01
4.976674935965380093e-05,-2.998689962727974390e+01
6.635566581287172553e-05,-3.315836602102032771e+01
8.294458226608967047e-05,-3.652644318597504025e+01
9.953349871930760185e-05,-3.430773211827049352e+01
1.161224151725255332e-04,-3.184125662832711257e+01
1.327113316257434511e-04,-3.458826682086006343e+01
1.493002480789613960e-04,-3.560383468066166301e+01
1.658891645321793409e-04,-3.301759766053433509e+01
1.824780809853972588e-04,-3.356850882955490079e+01
1.990669974386152037e-04,-3.962296001266753365e+01
2.156559138918331215e-04,-3.869372353733837855e+01
2.322448303450510665e-04,-3.671083575091457618e+01
2.488337467982690114e-04,-3.731360649030018806e+01
2.654226632514869021e-04,-3.884175226762997113e+01
2.820115797047048471e-04,-3.928051841975725011e+01
2.986004961579227920e-04,-4.133933665407363378e+01
3.151894126111407369e-04,-4.711926496040658208e+01
3.317783290643586819e-04,-5.582566485738101392e+01
3.483672455175765726e-04,-5.092861050868218342e+01
3.649561619707945175e-04,-5.623318814103362939e+01
3.815450784240124625e-04,-5.032449532172545759e+01
3.981339948772304074e-04,-5.291551956421261593e+01
4.147229113304483523e-04,-5.177386881239169014e+01
4.313118277836662431e-04,-5.334291422769410929e+01
4.479007442368841880e-04,-5.575166535616089902e+01
4.644896606901021329e-04,-5.310791134681683445e+01
4.810785771433200779e-04,-5.303873862459413147e+01
4.976674935965380228e-04,-5.438481947186498644e+01
5.142564100497559135e-04,-5.476724369259957825e+01
5.308453265029738043e-04,-5.567128849555490433e+01
5.474342429561918034e-04,-5.975064488295644338e+01
5.640231594094096941e-04,-6.877100255507450299e+01
5.806120758626276933e-04,-6.560224561000649146e+01
5.972009923158455840e-04,-5.788806543584426834e+01
6.137899087690634747e-04,-5.652866463746286030e+01
6.303788252222814739e-04,-6.354227089040826115e+01
6.469677416754993646e-04,-5.935732719208741059e+01
6.635566581287173638e-04,-4.912178100214754295e+01
6.801455745819352545e-04,-4.597899865973906230e+01
6.967344910351531452e-04,-4.841173395415688674e+01
7.133234074883711444e-04,-5.644542721136854624e+01
7.299123239415890351e-04,-6.117298919043599170e+01
7.465012403948070342e-04,-5.964127066337125882e+01
7.630901568480249249e-04,-6.136115630044285751e+01
7.796790733012428157e-04,-6.644014254793452778e+01
7.962679897544608148e-04,-6.927387024056216092e+01
8.128569062076787055e-04,-6.661870026184195126e+01
8.294458226608967047e-04,-6.744821876768460811e+01
8.460347391141145954e-04,-5.515602460674348606e+01
8.626236555673324861e-04,-5.511772153790394668e+01
8.792125720205504853e-04,-5.227136474577891079e+01
8.958014884737683760e-04,-5.131811678260412890e+01
9.123904049269862667e-04,-5.286521232624399147e+01
9.289793213802042659e-04,-5.300970411123589798e+01
9.455682378334221566e-04,-5.685072356175088260e+01
9.621571542866401558e-04,-5.894035489062162725e+01
9.787460707398581549e-04,-5.888019396066509614e+01
9.953349871930760456e-04,-6.385370113517452495e+01
1.011923903646293936e-03,-5.940415191525865168e+01
1.028512820099511827e-03,-5.610143664082208659e+01
1.045101736552729718e-03,-5.757464766046907556e+01
1.061690653005947609e-03,-5.999476017600643019e+01
