distance_m,amplitude_dB
0.000000000000000000e+00,-6.375178003822271933e+01
1.658891507718271354e-05,-5.804745484866901961e+01
3.317783015436542708e-05,-5.032010537077273682e+01
4.976674523154814061e-05,-4.254152205031410716e+01
6.635566030873085415e-05,-3.903970494978836570e+01
8.294457538591356769e-05,-3.918580975326914029e+01
9.953349046309628123e-05,-4.167268685787878013e+01
1.161224055402789948e-04,-4.463238239333747259e+01
1.327113206174617083e-04,-4.922852494631084141e+01
1.493002356946444083e-04,-5.635045956249995669e+01
1.658891507718271354e-04,-5.284543357118118934e+01
1.824780658490098354e-04,-4.904863886912706050e+01
1.990669809261925625e-04,-4.955506356955979896e+01
2.156558960033752624e-04,-6.073430866715560228e+01
2.322448110805579895e-04,-5.288292181484592902e+01
2.488337261577406624e-04,-5.153383152104382958e+01
2.654226412349234166e-04,-4.866052385841594230e+01
2.820115563121061166e-04,-5.248738999102195635e+01
2.986004713892888166e-04,-5.600649162449119700e+01
3.151893864664715166e-04,-5.783923794818513642e+01
3.317783015436542708e-04,-6.080220631050350732e+01
3.483672166208369708e-04,-5.694653069128855805e+01
3.649561316980196707e-04,-5.945470514671568907e+01
3.815450467752023707e-04,-6.504334059811112922e+01
3.981339618523851249e-04,-7.169751771410369656e+01
4.147228769295678249e-04,-6.274313929609949980e+01
4.313117920067505249e-04,-5.923284567949113466e+01
4.479007070839332249e-04,-5.955019129828112767e+01
4.644896221611159791e-04,-5.809341383889631771e+01
4.810785372382986791e-04,-5.902303224702877316e+01
4.976674523154813248e-04,-6.361072631442794290e+01
5.142563673926640790e-04,-7.002735021217277733e+01
5.308452824698468332e-04,-7.255251017394303403e+01
5.474341975470294790e-04,-7.076199329186167120e+01
5.640231126242122332e-04,-7.131541414850200056e+01
5.806120277013949874e-04,-7.064741925638961106e+01
5.972009427785776332e-04,-6.932862427890586332e+01
6.137898578557603874e-04,-6.246810580780680766e+01
6.303787729329430331e-04,-6.319680590303138956e+01
6.469676880101257873e-04,-6.713146528880832875e+01
6.635566030873085415e-04,-6.199952971298296234e+01
6.801455181644911873e-04,-5.397701897256290238e+01
6.967344332416739415e-04,-5.288210353645355610e+01
7.133233483188566957e-04,-6.070686588126178407e+01
7.299122633960393415e-04,-7.306959686753097571e+01
7.465011784732220957e-04,-7.209074017788876176e+01
7.630900935504047414e-04,-7.319337922853777911e+01
7.796790086275874956e-04,-7.070248662632100434e+01
7.962679237047702498e-04,-6.712861853164804415e+01
8.128568387819528956e-04,-6.547620072586182971e+01
8.294457538591356498e-04,-7.639246451589971798e+01
8.460346689363182956e-04,-6.701673034904179360e+01
8.626235840135010498e-04,-5.890848514233496047e+01
8.792124990906838040e-04,-5.684070208582647865e+01
8.958014141678664497e-04,-5.720532222042940873e+01
9.123903292450492039e-04,-6.069188678786503033e+01
9.289792443222319581e-04,-6.249909788647313746e+01
9.455681593994146039e-04,-6.155827168543333983e+01
9.621570744765973581e-04,-6.423043653351601279e+01
9.787459895537801123e-04,-6.499094690355873638e+01
9.953349046309626497e-04,-6.209754852319193219e+01
1.011923819708145404e-03,-5.984432228968873346e+01
1.028512734785328158e-03,-5.950372147632133135e+01
1.045101649862510912e-03,-6.054053128943746032e+01
1.061690564939693666e-03,-6.357117266427792401e+01
1.078279480016876421e-03,-7.045963985498359250e+01
1.094868395094058958e-03,-6.199924799983022439e+01
1.111457310171241712e-03,-5.698213561766251445e+01
1.128046225248424466e-03,-5.863437679223881105e+01
1.144635140325607221e-03,-6.334444005461737959e+01
1.161224055402789975e-03,-6.490452766602339807e+01
1.177812970479972512e-03,-6.946185830914261317e+01
1.194401885557155266e-03,-7.830864891555404483e+01
1.210990800634338021e-03,-6.331925996356999065e+01
1.227579715711520775e-03,-5.972502126522698518e+01
1.244168630788703529e-03,-6.043393715513908404e+01
1.260757545865886066e-03,-6.422624703408629898e+01
1.277346460943068820e-03,-7.412711866203304112e+01
1.293935376020251575e-03,-7.074055866843212925e+01
1.310524291097434329e-03,-6.506648613761699096e+01
1.327113206174617083e-03,-6.359686515385190830e+01
1.343702121251799620e-03,-6.293501929597610456e+01
1.360291036328982375e-03,-6.824111266032753065e+01
1.376879951406165129e-03,-8.514920640527209628e+01
1.393468866483347883e-03,-7.276983974854792336e+01
1.410057781560530637e-03,-8.123801086967495166e+01
1.426646696637713391e-03,-7.518558714529447684e+01
1.443235611714895929e-03,-7.105476138000329911e+01
1.459824526792078683e-03,-6.877149199405879187e+01
1.476413441869261437e-03,-7.854338530413809849e+01
1.493002356946444191e-03,-7.160119949825964625e+01
1.509591272023626946e-03,-6.494914521298197485e+01
1.526180187100809483e-03,-6.023744368361423085e+01
1.542769102177992237e-03,-6.243380778838978529e+01
1.559358017255174991e-03,-6.804850116957180717e+01
1.575946932332357745e-03,-7.411111974599565144e+01
1.592535847409540500e-03,-7.928289553462690264e+01
1.609124762486723037e-03,-7.509393745880592519e+01
1.625713677563905791e-03,-7.289071888426806822e+01
1.642302592641088545e-03,-6.596584204078412483e+01
1.658891507718271300e-03,-6.350433733383449919e+01
1.675480422795454054e-03,-6.688159927463567556e+01
1.692069337872636591e-03,-6.818685456180578797e+01
1.708658252949819345e-03,-6.580369638106624564e+01
1.725247168027002100e-03,-6.461696740986903365e+01
1.741836083104184854e-03,-6.680816547087880508e+01
1.758424998181367608e-03,-7.298775658831438307e+01
1.775013913258550145e-03,-7.453438091494101059e+01
1.791602828335732899e-03,-6.370515589071189311e+01
1.808191743412915654e-03,-6.042660668775738486e+01
1.824780658490098408e-03,-6.193279872349775417e+01
1.841369573567281162e-03,-6.730522889164018352e+01
1.857958488644463916e-03,-7.434052099837835215e+01
1.874547403721646454e-03,-7.323711367064598221e+01
1.891136318798829208e-03,-7.678228122262291322e+01
1.907725233876011962e-03,-7.167598391570517435e+01
1.924314148953194716e-03,-6.564237039464119050e+01
1.940903064030377470e-03,-6.504906731456428304e+01
1.957491979107560225e-03,-7.120054191822018197e+01
1.974080894184742762e-03,-7.077232895473184726e+01
1.990669809261925299e-03,-6.763335440982957891e+01
2.007258724339108270e-03,-6.947386543020792260e+01
2.023847639416290808e-03,-7.302612829376671755e+01
2.040436554493473779e-03,-7.762777230877274803e+01
2.057025469570656316e-03,-7.690822895641238688e+01
2.073614384647839287e-03,-7.086084209685033386e+01
2.090203299725021825e-03,-6.766452591206061129e+01
2.106792214802204362e-03,-6.375208018505269791e+01
2.123381129879387333e-03,-6.227086878845659612e+01
2.139970044956569870e-03,-6.500133817845754436e+01
2.156558960033752841e-03,-6.946596823928632602e+01
2.173147875110935379e-03,-7.048310471827616652e+01
2.189736790188117916e-03,-7.077647037881273206e+01
2.206325705265300887e-03,-7.019085579480106674e+01
2.222914620342483424e-03,-6.722551025477366693e+01
2.239503535419666395e-03,-6.779803133526863235e+01
