distance_m,amplitude_dB
0.000000000000000000e+00,-3.625188881461642865e+01
1.658886403495549920e-05,-2.844501309142026813e+01
3.317772806991099840e-05,-2.105242687517279876e+01
4.976659210486649760e-05,-1.835706378826310470e+01
6.635545613982199681e-05,-1.935625312440321011e+01
8.294432017477750278e-05,-2.168015174522659549e+01
9.953318420973299521e-05,-2.370093846639547053e+01
1.161220482446885012e-04,-2.565927914314863756e+01
1.327109122796439936e-04,-2.781635191597097645e+01
1.492997763145994996e-04,-2.974191143032960483e+01
1.658886403495550056e-04,-3.011356167346493606e+01
1.824775043845104844e-04,-3.023231751596871675e+01
1.990663684194659904e-04,-3.047155511768244196e+01
2.156552324544214964e-04,-3.172556703821792112e+01
2.322440964893770024e-04,-3.372172052959152921e+01
2.488329605243324812e-04,-3.490309557499977444e+01
2.654218245592879872e-04,-3.481476485894758355e+01
2.820106885942434932e-04,-3.473918849960880095e+01
2.985995526291989992e-04,-3.495165534754899994e+01
3.151884166641545052e-04,-3.628163054325356995e+01
3.317772806991100111e-04,-3.848661514136894368e+01
3.483661447340655171e-04,-4.113611790193728268e+01
3.649550087690209689e-04,-4.319770197627300234e+01
3.815438728039764749e-04,-4.486202068699153500e+01
3.981327368389319808e-04,-4.901262519322336431e+01
4.147216008738874868e-04,-7.327556215145794738e+01
4.313104649088429928e-04,-5.022078802438093703e+01
4.478993289437984988e-04,-4.721005976957124517e+01
4.644881929787540048e-04,-4.672713144123844131e+01
4.810770570137095107e-04,-4.951455991388895939e+01
4.976659210486649625e-04,-5.124226349831730687e+01
5.142547850836205227e-04,-5.788824870670615752e+01
5.308436491185759745e-04,-5.873266639981311243e+01
5.474325131535315346e-04,-5.267538877121750573e+01
5.640213771884869864e-04,-5.112282098249018958e+01
5.806102412234424382e-04,-4.939029752275708063e+01
5.971991052583979984e-04,-5.034076813162950259e+01
6.137879692933534501e-04,-5.421590413953241239e+01
6.303768333283090103e-04,-6.294049889992182045e+01
6.469656973632644621e-04,-5.122450881952004664e+01
6.635545613982200223e-04,-4.916095194449851391e+01
6.801434254331754740e-04,-4.984106713097563812e+01
6.967322894681310342e-04,-5.128252919721855818e+01
7.133211535030864860e-04,-5.442530754405414228e+01
7.299100175380419378e-04,-5.396411910201402407e+01
7.464988815729974980e-04,-5.299352156959655957e+01
7.630877456079529497e-04,-4.837902227972686831e+01
7.796766096429085099e-04,-4.693412163849005481e+01
7.962654736778639617e-04,-4.826780118626060556e+01
8.128543377128195219e-04,-5.407281529263439523e+01
8.294432017477749736e-04,-6.067826413884688463e+01
8.460320657827305338e-04,-5.711332290614250695e+01
8.626209298176859856e-04,-5.213391047132586209e+01
8.792097938526414374e-04,-5.112535769563500310e+01
8.957986578875969975e-04,-5.782271478309564827e+01
9.123875219225524493e-04,-6.335497239952299964e+01
9.289763859575080095e-04,-6.993754769751627975e+01
9.455652499924634613e-04,-6.713743234786387859e+01
9.621541140274190215e-04,-6.144259859223137710e+01
9.787429780623744732e-04,-5.203187359666442546e+01
9.953318420973299250e-04,-5.029806077413391563e+01
1.011920706132285377e-03,-5.247971806054927413e+01
1.028509570167241045e-03,-5.591660415811827534e+01
1.045098434202196497e-03,-5.467207523398884206e+01
1.061687298237151949e-03,-5.388706109460277105e+01
1.078276162272107401e-03,-5.391032376880744437e+01
1.094865026307063069e-03,-6.146720129384635811e+01
1.111453890342018521e-03,-5.267048379333423469e+01
1.128042754376973973e-03,-5.362650072149334335e+01
1.144631618411929425e-03,-6.782799275575334264e+01
1.161220482446884876e-03,-7.290003486206848038e+01
1.177809346481840545e-03,-5.802287381989668091e+01
1.194398210516795997e-03,-5.585982310428442332e+01
1.210987074551751448e-03,-6.232745497866112316e+01
1.227575938586706900e-03,-6.019190438984551150e+01
1.244164802621662569e-03,-5.361381175272321542e+01
1.260753666656618021e-03,-5.315366331367938812e+01
1.277342530691573472e-03,-5.334425822343085599e+01
1.293931394726528924e-03,-5.339298730122252579e+01
1.310520258761484376e-03,-5.155222970757893108e+01
1.327109122796440045e-03,-5.101344545475699022e+01
1.343697986831395496e-03,-5.161076929876501396e+01
1.360286850866350948e-03,-5.095338061393270834e+01
1.376875714901306400e-03,-4.952432327502399545e+01
1.393464578936262068e-03,-5.067101771581570091e+01
1.410053442971217520e-03,-5.382984862337313103e+01
1.426642307006172972e-03,-5.928442312000725423e+01
1.443231171041128424e-03,-6.609456681639724707e+01
1.459820035076083876e-03,-5.986477576818383994e+01
1.476408899111039544e-03,-5.472700480182634664e+01
1.492997763145994996e-03,-5.381918665579584626e+01
1.509586627180950448e-03,-5.351861133587831176e+01
1.526175491215905899e-03,-5.364490852350520100e+01
1.542764355250861568e-03,-5.679754810746750593e+01
1.559353219285817020e-03,-6.786072586580992549e+01
1.575942083320772472e-03,-5.411499281429628638e+01
1.592530947355727923e-03,-5.439010064232115127e+01
1.609119811390683375e-03,-6.317305994912827316e+01
1.625708675425639044e-03,-5.533750684800993014e+01
1.642297539460594496e-03,-5.479326968269216991e+01
1.658886403495549947e-03,-5.541293888559187053e+01
1.675475267530505399e-03,-5.586605139559807043e+01
1.692064131565461068e-03,-5.614238724086177257e+01
1.708652995600416519e-03,-5.474582550556787908e+01
1.725241859635371971e-03,-5.435688637981945703e+01
1.741830723670327423e-03,-5.807267796811485994e+01
1.758419587705282875e-03,-6.313307610937526704e+01
1.775008451740238543e-03,-5.747842316607129476e+01
1.791597315775193995e-03,-5.699090243637566289e+01
1.808186179810149447e-03,-5.794011322802980146e+01
1.824775043845104899e-03,-5.832392526224506213e+01
1.841363907880060567e-03,-6.272457328086435524e+01
1.857952771915016019e-03,-6.142008386179387003e+01
1.874541635949971471e-03,-5.901338817713322271e+01
1.891130499984926923e-03,-5.365930549896290813e+01
1.907719364019882374e-03,-5.329818573511011692e+01
1.924308228054838043e-03,-5.697132307841260968e+01
1.940897092089793495e-03,-5.345403069995836631e+01
1.957485956124748946e-03,-5.202385681047289268e+01
1.974074820159704615e-03,-5.441392392701982317e+01
1.990663684194659850e-03,-5.922611779685634303e+01
2.007252548229615519e-03,-6.265940205716498212e+01
2.023841412264570754e-03,-5.900341675669831432e+01
2.040430276299526422e-03,-5.296183331817414341e+01
2.057019140334482091e-03,-5.222086052790813682e+01
2.073608004369437326e-03,-6.115260850507252144e+01
2.090196868404392994e-03,-5.689033402493944891e+01
2.106785732439348663e-03,-5.484966397727293952e+01
2.123374596474303898e-03,-5.790112554629396158e+01
2.139963460509259566e-03,-5.583257306797453623e+01
2.156552324544214801e-03,-5.794288821990932803e+01
2.173141188579170470e-03,-6.006744728265112343e+01
2.189730052614126139e-03,-5.869458672847699177e+01
2.206318916649081373e-03,-5.917183934559642466e+01
2.222907780684037042e-03,-5.529398930532599366e+01
2.239496644718992277e-03,-5.335698529014611324e+01
2.256085508753947946e-03,-5.294179665432054094e+01
2.272674372788903614e-03,-5.297235872665700640e+01
2.289263236823858849e-03,-5.310799356636010771e+01
2.305852100858814518e-03,-5.501871253861986588e+01
2.322440964893769753e-03,-6.230358794264773792e+01
2.339029828928725421e-03,-5.564648849074963977e+01
2.355618692963681090e-03,-5.292062310812519854e+01
2.372207556998636325e-03,-5.540119857931397718e+01
2.388796421033591993e-03,-5.952383905932534702e+01
2.405385285068547662e-03,-5.868174990013158521e+01
2.421974149103502897e-03,-5.904539399405639699e+01
2.438563013138458566e-03,-5.915757662136527273e+01
2.455151877173413801e-03,-5.563630003777379329e+01
2.471740741208369469e-03,-5.258116708223086277e+01
2.488329605243325138e-03,-5.001451276200032936e+01
2.504918469278280373e-03,-5.127827536249963458e+01
2.521507333313236041e-03,-5.682157426592705463e+01
2.538096197348191276e-03,-5.982106151335587185e+01
2.554685061383146945e-03,-5.587448508783477052e+01
2.571273925418102613e-03,-5.103103165695102916e+01
2.587862789453057848e-03,-4.961393971475985865e+01
2.604451653488013517e-03,-5.212443976987476191e+01
2.621040517522968752e-03,-5.400139975499575939e+01
2.637629381557924420e-03,-5.106843907192798326e+01
2.654218245592880089e-03,-4.948130083467273010e+01
2.670807109627835324e-03,-5.110065338056223538e+01
2.687395973662790993e-03,-5.455359054102216021e+01
2.703984837697746228e-03,-5.277252650233255338e+01
2.720573701732701896e-03,-4.997241577066718321e+01
2.737162565767657565e-03,-5.002114349994584330e+01
2.753751429802612800e-03,-5.322370416447227370e+01
2.770340293837568468e-03,-6.259529676544929089e+01
2.786929157872524137e-03,-6.054316695814971894e+01
2.803518021907479372e-03,-5.263615083081175783e+01
2.820106885942435040e-03,-4.995371323147487175e+01
2.836695749977390275e-03,-4.942976837538145674e+01
2.853284614012345944e-03,-5.167735830374126493e+01
2.869873478047301613e-03,-5.808110007112077255e+01
2.886462342082256848e-03,-5.730911564529613855e+01
2.903051206117212516e-03,-6.195546815994635637e+01
2.919640070152167751e-03,-6.118628677398067595e+01
2.936228934187123420e-03,-4.893801201669188572e+01
2.952817798222079088e-03,-4.578280401477268668e+01
2.969406662257034323e-03,-4.689242861158610509e+01
2.985995526291989992e-03,-5.221491735763578390e+01
3.002584390326945227e-03,-5.413476352466511798e+01
3.019173254361900895e-03,-5.399975937523706904e+01
3.035762118396856564e-03,-4.381235807687040307e+01
3.052350982431811799e-03,-3.607783065733425332e+01
3.068939846466767467e-03,-3.415310440581655627e+01
3.085528710501723136e-03,-3.695124575190624228e+01
3.102117574536678371e-03,-4.289140103813479499e+01
3.118706438571634040e-03,-5.101362066963964992e+01
3.135295302606589275e-03,-6.204340928165889579e+01
3.151884166641544943e-03,-4.605798042327108988e+01
3.168473030676500612e-03,-4.168747424095265330e+01
3.185061894711455847e-03,-4.275803434603700737e+01
3.201650758746411515e-03,-4.599914447364213288e+01
3.218239622781366750e-03,-5.156292301212956630e+01
3.234828486816322419e-03,-5.847314101581006440e+01
3.251417350851278087e-03,-5.383387919359349638e+01
3.268006214886233322e-03,-6.058542299921469265e+01
3.284595078921188991e-03,-6.084612553409867530e+01
3.301183942956144226e-03,-5.459893644410369973e+01
3.317772806991099895e-03,-5.754412193325200775e+01
3.334361671026055563e-03,-5.934145637430773235e+01
3.350950535061010798e-03,-5.289321414773738184e+01
3.367539399095966467e-03,-5.210554478743354423e+01
3.384128263130922135e-03,-5.239198730382756963e+01
3.400717127165877370e-03,-5.250879998352344558e+01
3.417305991200833039e-03,-5.096580544632232090e+01
3.433894855235788274e-03,-5.258310865775528242e+01
3.450483719270743942e-03,-6.040382843885470976e+01
3.467072583305699611e-03,-6.894368970082521741e+01
3.483661447340654846e-03,-5.282324294888505278e+01
3.500250311375610515e-03,-5.192627665976412743e+01
3.516839175410565749e-03,-5.940581632534515677e+01
3.533428039445521418e-03,-6.894363346076890764e+01
3.550016903480477087e-03,-5.521608693115847188e+01
3.566605767515432322e-03,-4.986527166292085411e+01
3.583194631550387990e-03,-5.359355631373531281e+01
3.599783495585343225e-03,-5.949089754446012535e+01
3.616372359620298894e-03,-6.195967298915061860e+01
3.632961223655254562e-03,-5.349272526306403819e+01
3.649550087690209797e-03,-5.112872733468197595e+01
3.666138951725165466e-03,-5.764549531208685096e+01
3.682727815760121134e-03,-5.458954445293358759e+01
3.699316679795076369e-03,-5.088820455246239760e+01
3.715905543830032038e-03,-5.333326140680217264e+01
3.732494407864987273e-03,-5.706750665726788441e+01
3.749083271899942942e-03,-5.972361201655284901e+01
3.765672135934898610e-03,-5.911287530899168985e+01
3.782260999969853845e-03,-6.164642490963142762e+01
3.798849864004809514e-03,-5.195002131546398516e+01
3.815438728039764749e-03,-4.824348489429410591e+01
3.832027592074720417e-03,-5.224102112237219586e+01
3.848616456109676086e-03,-6.090446968371560388e+01
3.865205320144631321e-03,-5.522043885754482062e+01
3.881794184179586989e-03,-5.589729811715072572e+01
3.898383048214542224e-03,-6.841318616588461055e+01
3.914971912249497893e-03,-5.445040660889218742e+01
3.931560776284453128e-03,-4.825051733858187220e+01
3.948149640319409230e-03,-4.791876394550449447e+01
3.964738504354364465e-03,-5.361101007077160574e+01
3.981327368389319700e-03,-5.861220017456949449e+01
3.997916232424275802e-03,-5.546808521043415396e+01
4.014505096459231037e-03,-5.528289521239231874e+01
4.031093960494186272e-03,-5.342051738732259025e+01
4.047682824529141507e-03,-4.936528261103531179e+01
4.064271688564097609e-03,-5.180885386005843429e+01
4.080860552599052844e-03,-5.816343371753963254e+01
4.097449416634008079e-03,-5.436825871439400260e+01
4.114038280668964181e-03,-5.832293990630741831e+01
4.130627144703919416e-03,-5.806148566767724617e+01
4.147216008738874651e-03,-5.465315849160479189e+01
4.163804872773830754e-03,-5.447096243271869298e+01
4.180393736808785989e-03,-5.992817535401658802e+01
4.196982600843741223e-03,-5.494339622390539546e+01
4.213571464878697326e-03,-5.053140018295568581e+01
4.230160328913652561e-03,-5.375518535086151672e+01
4.246749192948607796e-03,-6.487572132850148421e+01
4.263338056983563031e-03,-5.509933965832911440e+01
4.279926921018519133e-03,-5.197585815713982527e+01
