distance_m,amplitude_dB
0.000000000000000000e+00,-5.251793487074990452e+01
1.658896327648033469e-05,-3.678815427262235005e+01
3.317792655296066939e-05,-3.024372798388397143e+01
4.976688982944101086e-05,-2.488338678422827854e+01
6.635585310592133877e-05,-1.926067955887149452e+01
8.294481638240167347e-05,-1.729948816867037920e+01
9.953377965888202171e-05,-1.837004411429398587e+01
1.161227429353623564e-04,-2.203086268294573813e+01
1.327117062118426775e-04,-3.125083659945724790e+01
1.493006694883230122e-04,-2.999337422112056828e+01
1.658896327648033469e-04,-2.288506084444518862e+01
1.824785960412837087e-04,-2.018770932546515695e+01
1.990675593177640434e-04,-1.907491463832404577e+01
2.156565225942443781e-04,-1.935987498180644906e+01
2.322454858707247128e-04,-2.084895667257377028e+01
2.488344491472050204e-04,-2.260735629354883969e+01
2.654234124236853551e-04,-2.345323539457805495e+01
2.820123757001656898e-04,-2.371990020097056728e+01
2.986013389766460245e-04,-2.435224416884585352e+01
3.151903022531263592e-04,-2.570988736043256395e+01
3.317792655296066939e-04,-2.815026420133388285e+01
3.483682288060870828e-04,-3.151472612024094389e+01
3.649571920825674175e-04,-3.629405932435369664e+01
3.815461553590477521e-04,-4.292857406478924531e+01
3.981351186355280868e-04,-4.004296411826637581e+01
4.147240819120084215e-04,-4.136379914032976046e+01
4.313130451884887562e-04,-4.288838280076816289e+01
4.479020084649690909e-04,-4.250241081395081011e+01
4.644909717414494256e-04,-4.645865993291138807e+01
4.810799350179297603e-04,-4.924377562106735695e+01
4.976688982944100408e-04,-4.928870224628965957e+01
5.142578615708904297e-04,-5.799960089875652614e+01
5.308468248473707102e-04,-4.690617303217076994e+01
5.474357881238510991e-04,-4.562870938055523595e+01
5.640247514003313796e-04,-4.500375951084076576e+01
5.806137146768117685e-04,-4.468574451970212635e+01
5.972026779532920489e-04,-4.669398960387771069e+01
6.137916412297724379e-04,-5.031629411479592306e+01
6.303806045062527183e-04,-5.337020818534745104e+01
6.469695677827331072e-04,-5.126591742970744292e+01
6.635585310592133877e-04,-5.603707404530840819e+01
6.801474943356937766e-04,-4.090698937956430825e+01
6.967364576121741655e-04,-3.726827445822872420e+01
7.133254208886544460e-04,-3.780727015613376096e+01
7.299143841651348349e-04,-3.779938378905533369e+01
7.465033474416151154e-04,-3.806044298647606894e+01
7.630923107180955043e-04,-4.087938167167852299e+01
7.796812739945757848e-04,-4.445773300159102348e+01
7.962702372710561737e-04,-4.294978352808698929e+01
8.128592005475364542e-04,-4.129591412608196066e+01
8.294481638240168431e-04,-4.134425870498095890e+01
8.460371271004971236e-04,-3.992572208698608449e+01
8.626260903769775125e-04,-3.890109217310011047e+01
8.792150536534577929e-04,-4.178594656930194873e+01
8.958040169299381818e-04,-4.581706554426406797e+01
9.123929802064184623e-04,-4.696097652528461452e+01
9.289819434828988512e-04,-5.500355506821779272e+01
9.455709067593791317e-04,-5.750350641412235575e+01
9.621598700358595206e-04,-5.138690168119435953e+01
9.787488333123399095e-04,-5.124798461143107886e+01
9.953377965888200816e-04,-4.969477559896643015e+01
1.011926759865300470e-03,-4.947789562603394131e+01
1.028515723141780859e-03,-5.202537445150626638e+01
1.045104686418261248e-03,-6.248639429249762145e+01
1.061693649694741420e-03,-4.856981392794726560e+01
1.078282612971221809e-03,-4.969110789380378890e+01
1.094871576247702198e-03,-6.127332283967341908e+01
