channel,waveguide_path_um,expected_delta_z_mm,device_port
b0,0.0,2.8449,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b0,556.51,4.1643,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b0,1199.4,5.6884,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b0,1755.91,7.0078,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b1,0.0,2.8449,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b1,556.51,4.1643,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b1,1199.4,5.6884,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b1,1755.91,7.0078,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b2,0.0,2.8449,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b2,1199.4,5.6884,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b2,4967.28,14.6212,HHI_MMI1x2E1700:o2
b2,4972.48,14.6336,HHI_MMI1x2E1700:o3
b2,5097.48,14.9299,HHI_PMTOE1700_500_$c575:o2
b2,5213.19,15.2042,HHI_MMI1x2E1700:o1
b2,5242.59,15.2739,HHI_WGMETxE1700single:o1
b2,5271.99,15.3436,HHI_WGMETxE1700single:o1
b2,5301.39,15.4133,HHI_WGMETxE1700single:o1
b2,5330.79,15.483,HHI_BJsingle:o1
b2,5530.19,15.9558,HHI_BJsingle:o2
b2,5829.59,16.6656,HHI_ISOsectionSingle_25_$3020:o1
b2,5853.99,16.7234,HHI_ISOsectionSingle_25_$3020:o2
b2,5913.39,16.8643,HHI_ISOsectionSingle_25_$3020:o1
b2,5937.79,16.9221,HHI_ISOsectionSingle_25_$3020:o2
b2,6006.88,17.0859,HHI_PMTOE1700_500_$c575:o1
b2,6036.28,17.1556,HHI_WGMETxE1700single:o1
b2,6065.68,17.2253,HHI_WGMETxE1700single:o1
b2,6237.19,17.6319,HHI_ISOsectionSingle_25_$3020:o1
b2,6261.59,17.6898,HHI_ISOsectionSingle_25_$3020:o2
b2,6320.99,17.8306,HHI_BJsingle:o2
b2,6520.39,18.3033,HHI_BJsingle:o1
b2,6549.79,18.373,HHI_WGMETxE1700single:o1
b2,6579.19,18.4427,HHI_WGMETxE1700single:o1
b2,6608.59,18.5124,HHI_WGMETxE1700single:o1
b2,6637.99,18.5821,HHI_WGMETxE1700single:o2
b2,7440.85,20.4855,HHI_MMI1x2E1700:o2
b2,7446.05,20.4979,HHI_MMI1x2E1700:o3
b2,7686.76,21.0685,HHI_MMI1x2E1700:o1
b2,7811.76,21.3649,HHI_MMI1x2E1700:o3
b2,7816.96,21.3772,HHI_MMI1x2E1700:o2
b2,8054.51,21.9404,HHI_MMI2x2E1700:o1
b2,8057.68,21.9479,HHI_MMI1x2E1700:o1
b2,8067.68,21.9716,HHI_WGMETxE1700single:o2
b2,8097.08,22.0413,HHI_WGMETxE1700single:o1
b2,8126.48,22.111,HHI_SOA_300_$18f0:o2
b2,8377.12,22.7052,HHI_PMTOE1700_500_$c575:o2
b2,8393.21,22.7434,HHI_MMI2x2E1700:o2
b2,8825.88,23.7691,HHI_SOA_300_$18f0:o1
b2,8855.28,23.8388,HHI_WGMETxE1700single:o1
b2,8873.78,23.8827,HHI_WGMETxE1700single:o1
b2,8884.68,23.9085,HHI_WGMETxE1700single:o1
b2,8903.18,23.9524,HHI_WGMETxE1700single:o1
b2,8932.58,24.0221,HHI_PMTOE1700_500_$c575:o1
b2,9123.2,24.474,HHI_MMI1x2E1700:o2
b2,9128.4,24.4863,HHI_MMI1x2E1700:o3
b2,9286.52,24.8612,HHI_PMTOE1700_500_$c575:o1
b2,9296.52,24.8849,HHI_WGMETxE1700single:o2
b2,9325.92,24.9546,HHI_WGMETxE1700single:o1
b2,9355.32,25.0243,HHI_SOA_300_$18f0:o2
b2,9366.92,25.0518,HHI_WGMETxE1700single:o1
b2,9369.11,25.057,HHI_MMI1x2E1700:o1
b2,9396.32,25.1215,HHI_WGMETxE1700single:o1
b2,9425.72,25.1912,HHI_SOA_300_$18f0:o1
b2,9841.98,26.1781,HHI_PMTOE1700_500_$c575:o2
b2,9966.98,26.4744,HHI_MMI1x2E1700:o2
b2,9972.18,26.4867,HHI_MMI1x2E1700:o3
b2,10212.89,27.0574,HHI_MMI1x2E1700:o1
b2,10242.29,27.1271,HHI_WGMETxE1700single:o1
b2,10271.69,27.1968,HHI_WGMETxE1700single:o1
b2,10301.09,27.2665,HHI_WGMETxE1700single:o1
b2,10306.6,27.2796,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b2,10330.49,27.3362,HHI_BJsingle:o1
b2,10529.89,27.8089,HHI_BJsingle:o2
b2,10829.29,28.5188,HHI_ISOsectionSingle_25_$3020:o1
b2,10853.69,28.5766,HHI_ISOsectionSingle_25_$3020:o2
b2,10913.09,28.7174,HHI_ISOsectionSingle_25_$3020:o1
b2,10937.49,28.7753,HHI_ISOsectionSingle_25_$3020:o2
b2,11236.89,29.4851,HHI_ISOsectionSingle_25_$3020:o1
b2,11261.29,29.5429,HHI_ISOsectionSingle_25_$3020:o2
b2,11320.69,29.6838,HHI_BJsingle:o2
b2,11506.0,30.1231,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b2,11520.09,30.1565,HHI_BJsingle:o1
b2,11549.49,30.2262,HHI_WGMETxE1700single:o1
b2,11578.89,30.2959,HHI_WGMETxE1700single:o1
b2,11608.29,30.3656,HHI_WGMETxE1700single:o1
b2,11637.69,30.4353,HHI_WGMETxE1700single:o2
b2,11868.13,30.9816,HHI_MMI1x2E1700:o2
b2,11873.33,30.994,HHI_MMI1x2E1700:o3
b2,12114.05,31.5646,HHI_MMI1x2E1700:o1
b2,12123.33,31.5867,HHI_PMTOE1700_500_$c575:o2
b2,13032.73,33.7426,HHI_PMTOE1700_500_$c575:o1
b3,0.0,2.8449,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b3,1199.4,5.6884,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b3,2489.64,8.7473,HHI_MMI1x2E1700:o2
b3,2494.84,8.7596,HHI_MMI1x2E1700:o3
b3,2619.84,9.056,HHI_MMI1x2E1700:o1
b3,2735.55,9.3303,HHI_MMI1x2E1700:o1
b3,2745.55,9.354,HHI_WGMETxE1700single:o2
b3,2774.95,9.4237,HHI_WGMETxE1700single:o1
b3,2804.35,9.4934,HHI_SOA_300_$18f0:o2
b3,2865.75,9.639,HHI_MMI1x2E1700:o2
b3,3474.21,11.0815,HHI_MMI2x2E1700:o1
b3,3478.21,11.091,HHI_MMI2x2E1700:o3
b3,3503.75,11.1515,HHI_SOA_300_$18f0:o1
b3,3533.15,11.2212,HHI_WGMETxE1700single:o1
b3,3562.55,11.291,HHI_WGMETxE1700single:o1
b3,3796.82,11.8463,HHI_PMTOE1700_500_$c575:o2
b3,3801.07,11.8564,HHI_MMI1x2E1700:o2
b3,3806.27,11.8688,HHI_MMI1x2E1700:o3
