distance_m,amplitude_dB
0.000000000000000000e+00,-4.717097811760719139e+01
1.658895481201281804e-05,-3.978515034790022753e+01
3.317790962402563607e-05,-3.382122379462511219e+01
4.976686443603845411e-05,-3.470378833472145885e+01
6.635581924805127214e-05,-4.459518543379679301e+01
8.294477406006409018e-05,-5.295693936564785531e+01
9.953372887207690822e-05,-4.866256528718005825e+01
1.161226836840897263e-04,-5.497984644326501069e+01
1.327116384961025443e-04,-5.430508275631108717e+01
1.493005933081153623e-04,-5.000576547875577660e+01
1.658895481201281804e-04,-6.448808735278861093e+01
1.824785029321409984e-04,-5.240691168518799259e+01
1.990674577441538164e-04,-5.265690367040929232e+01
2.156564125561666345e-04,-5.417837747751737254e+01
2.322453673681794525e-04,-5.022191696754291712e+01
2.488343221801922705e-04,-5.271071508503762004e+01
2.654232769922050886e-04,-5.973982715826619483e+01
2.820122318042179066e-04,-6.060857435623564271e+01
2.986011866162307246e-04,-5.496046677752123344e+01
3.151901414282435427e-04,-5.313803475733603676e+01
3.317790962402563607e-04,-5.806280959981965850e+01
3.483680510522691788e-04,-5.599855907689993018e+01
3.649570058642819968e-04,-6.194530797870542216e+01
3.815459606762948148e-04,-6.412544502985414852e+01
3.981349154883076329e-04,-6.336168833480971330e+01
4.147238703003204509e-04,-6.507243754416590775e+01
4.313128251123332689e-04,-6.230030129116368443e+01
4.479017799243460870e-04,-6.312473293067757396e+01
4.644907347363589050e-04,-6.827082609806436153e+01
4.810796895483717230e-04,-8.667839909391665287e+01
4.976686443603845411e-04,-8.179931991103509858e+01
5.142575991723974133e-04,-6.860542346710548145e+01
5.308465539844101772e-04,-6.702100768148079624e+01
5.474355087964230494e-04,-6.745071106528448013e+01
5.640244636084358132e-04,-6.362706967615479670e+01
5.806134184204486855e-04,-6.511625761010401447e+01
5.972023732324614493e-04,-7.261036149764561287e+01
6.137913280444743215e-04,-7.644966577446746214e+01
6.303802828564870854e-04,-7.565667022882907133e+01
6.469692376684999576e-04,-7.425847098079765374e+01
6.635581924805127214e-04,-6.039228867341392260e+01
6.801471472925255937e-04,-5.563116126981705634e+01
6.967361021045383575e-04,-5.642111107219042765e+01
7.133250569165512298e-04,-6.322713745184743317e+01
7.299140117285639936e-04,-7.145279877555451264e+01
7.465029665405768658e-04,-8.467391195524443503e+01
7.630919213525896297e-04,-6.622390421769034674e+01
7.796808761646025019e-04,-6.018798173734786872e+01
7.962698309766152657e-04,-5.889494424626205671e+01
8.128587857886281380e-04,-5.854376255408680407e+01
8.294477406006409018e-04,-5.752254271811094100e+01
8.460366954126537740e-04,-5.921254613560364533e+01
8.626256502246665379e-04,-6.913802453916395052e+01
8.792146050366794101e-04,-6.592324925709536387e+01
8.958035598486921739e-04,-5.739331238269711832e+01
9.123925146607050462e-04,-5.672574800453479327e+01
9.289814694727178100e-04,-5.913639776319625696e+01
9.455704242847306823e-04,-5.804506480754945130e+01
9.621593790967434461e-04,-5.817088419088519657e+01
9.787483339087563183e-04,-6.063329581136513013e+01
9.953372887207690822e-04,-6.115735694184870397e+01
1.011926243532781846e-03,-6.146461373273645279e+01
1.028515198344794827e-03,-5.980369941087757013e+01
1.045104153156807590e-03,-5.877365849769881123e+01
1.061693107968820354e-03,-6.377079067639751031e+01
1.078282062780833118e-03,-6.698518646600952309e+01
1.094871017592846099e-03,-6.601739979059557584e+01
1.111459972404858863e-03,-6.107828456387333915e+01
1.128048927216871626e-03,-5.904735058951497706e+01
1.144637882028884390e-03,-6.378507387400571105e+01
1.161226836840897371e-03,-7.079971282247913678e+01
1.177815791652910135e-03,-7.785461531724236295e+01
1.194404746464922899e-03,-6.962731838915399862e+01
1.210993701276935662e-03,-5.950465771389558967e+01
1.227582656088948643e-03,-5.569046137977090183e+01
1.244171610900961407e-03,-5.536708540289478719e+01
1.260760565712974171e-03,-5.710042468292822093e+01
1.277349520524986935e-03,-5.863544687945918099e+01
1.293938475336999915e-03,-6.215187481258432456e+01
1.310527430149012679e-03,-7.176657816588495109e+01
1.327116384961025443e-03,-7.176965573829332357e+01
1.343705339773038207e-03,-6.842080018581863499e+01
1.360294294585051187e-03,-7.827187087452658432e+01
1.376883249397063951e-03,-6.562813951388514511e+01
1.393472204209076715e-03,-6.361930994610990808e+01
1.410061159021089479e-03,-6.118675194561895125e+01
1.426650113833102460e-03,-6.042023267454369062e+01
1.443239068645115223e-03,-6.904748510451530308e+01
1.459828023457127987e-03,-6.262109927053781178e+01
1.476416978269140751e-03,-5.955415921027026371e+01
1.493005933081153732e-03,-6.212979845824428793e+01
1.509594887893166495e-03,-8.302338389123758589e+01
1.526183842705179259e-03,-6.470796836927380014e+01
1.542772797517192023e-03,-6.516489386079527435e+01
1.559361752329205004e-03,-6.149817401471030109e+01
1.575950707141217768e-03,-7.558767261173841234e+01
1.592539661953230531e-03,-6.289509041132436096e+01
1.609128616765243295e-03,-6.381928116014762509e+01
1.625717571577256276e-03,-6.978796356190294148e+01
1.642306526389269040e-03,-6.537960271482484131e+01
1.658895481201281804e-03,-5.927964120711396845e+01
1.675484436013294567e-03,-5.720776964234848094e+01
1.692073390825307548e-03,-5.973391064432432529e+01
1.708662345637320312e-03,-6.062477288445538193e+01
1.725251300449333076e-03,-6.371594265104693022e+01
1.741840255261345840e-03,-7.493109020480120819e+01
1.758429210073358820e-03,-7.425084439112306711e+01
1.775018164885371584e-03,-6.738584106964007958e+01
1.791607119697384348e-03,-6.230242684870381709e+01
1.808196074509397112e-03,-6.038023412542433732e+01
1.824785029321410092e-03,-6.251488922690199246e+01
1.841373984133422856e-03,-6.808755898937155848e+01
