distance_m,amplitude_dB
0.000000000000000000e+00,-5.325583551333602372e+01
1.658896484715884830e-05,-4.543770946478564099e+01
3.317792969431769659e-05,-3.946309852078998404e+01
4.976689454147654150e-05,-4.082716953062001153e+01
6.635585938863539318e-05,-5.825408264052182261e+01
8.294482423579423809e-05,-5.153839760848826046e+01
9.953378908295308300e-05,-6.429829383734683290e+01
1.161227539301119279e-04,-5.893050329003452248e+01
1.327117187772707864e-04,-5.731515464194380627e+01
1.493006836244296313e-04,-5.694373709292955255e+01
1.658896484715884762e-04,-5.642505706919538966e+01
1.824786133187473211e-04,-6.529635650148836135e+01
1.990675781659061660e-04,-5.407981162582296975e+01
2.156565430130650109e-04,-5.467478318040776486e+01
2.322455078602238558e-04,-5.252865761826725333e+01
2.488344727073827007e-04,-5.585369655210305950e+01
2.654234375545415727e-04,-5.154989166258430089e+01
2.820124024017003905e-04,-4.993774050156809352e+01
2.986013672488592625e-04,-5.530315353392951039e+01
3.151903320960180803e-04,-5.961601551780599806e+01
3.317792969431769524e-04,-7.881969121530852362e+01
3.483682617903357702e-04,-6.303130668796544001e+01
3.649572266374946422e-04,-5.742606931723625507e+01
3.815461914846534600e-04,-5.146434588289976375e+01
3.981351563318123320e-04,-5.261801003222734607e+01
4.147241211789711498e-04,-5.974706220684748104e+01
4.313130860261300218e-04,-7.174679073577229360e+01
4.479020508732888396e-04,-5.796301602226971283e+01
4.644910157204477116e-04,-5.547914253148270092e+01
4.810799805676065836e-04,-5.611966598270392836e+01
4.976689454147654014e-04,-5.709595890184147038e+01
5.142579102619242734e-04,-5.844417832850802341e+01
5.308468751090831455e-04,-6.170982840367749844e+01
5.474358399562419090e-04,-5.937885026400120836e+01
5.640248048034007811e-04,-6.043726357275897243e+01
5.806137696505596531e-04,-6.349070924187878262e+01
5.972027344977185251e-04,-6.785156560865192432e+01
6.137916993448772887e-04,-6.025957441239161483e+01
6.303806641920361607e-04,-5.213703238453740596e+01
6.469696290391950327e-04,-5.129252679204248011e+01
6.635585938863539047e-04,-5.228224598573693527e+01
6.801475587335126683e-04,-4.774136330319655741e+01
6.967365235806715403e-04,-4.602408207724614186e+01
7.133254884278304123e-04,-5.043331375957941987e+01
7.299144532749892843e-04,-5.851733958036368222e+01
7.465034181221481564e-04,-5.769692827434902682e+01
7.630923829693069200e-04,-5.537026935894380841e+01
7.796813478164657920e-04,-5.446229608660445365e+01
7.962703126636246640e-04,-5.677141499656571710e+01
8.128592775107835360e-04,-6.830027840668137173e+01
8.294482423579422996e-04,-6.335739806870223845e+01
8.460372072051011716e-04,-5.453144180234975380e+01
8.626261720522600436e-04,-4.785475346287923060e+01
8.792151368994189156e-04,-4.417673994595419629e+01
8.958041017465776792e-04,-4.435618259951620246e+01
9.123930665937365512e-04,-4.920670515099055109e+01
9.289820314408954232e-04,-5.908573157889347272e+01
9.455709962880542952e-04,-6.464224048758046592e+01
9.621599611352131673e-04,-5.915527537226212473e+01
9.787489259823719309e-04,-5.485627349113892137e+01
9.953378908295308029e-04,-5.378114636740789223e+01
1.011926855676689675e-03,-5.602812536467859417e+01
1.028515820523848547e-03,-5.559037601203223034e+01
1.045104785371007419e-03,-5.311410589027124729e+01
1.061693750218166291e-03,-5.648826110764487396e+01
1.078282715065324946e-03,-7.005715729746570730e+01
1.094871679912483818e-03,-5.404715726130766740e+01
1.111460644759642690e-03,-5.011097541716127068e+01
1.128049609606801562e-03,-5.174297966510670932e+01
1.144638574453960434e-03,-5.810263077107916274e+01
1.161227539301119306e-03,-5.653078789906493284e+01
1.177816504148278178e-03,-5.658220793190579201e+01
1.194405468995437050e-03,-5.970518250397019244e+01
1.210994433842595922e-03,-7.111935850558646166e+01
1.227583398689754577e-03,-6.493816561903366846e+01
1.244172363536913449e-03,-5.829032163534355959e+01
1.260761328384072321e-03,-5.625620570245615681e+01
1.277350293231231193e-03,-5.841845334513351418e+01
1.293939258078390065e-03,-6.251210366745249303e+01
1.310528222925548937e-03,-6.690313356189277272e+01
1.327117187772707809e-03,-6.975974357370242274e+01
1.343706152619866681e-03,-5.954451489698254107e+01
1.360295117467025337e-03,-5.840182664220432684e+01
1.376884082314184209e-03,-6.267174143245354401e+01
1.393473047161343081e-03,-6.874708380881330072e+01
1.410062012008501953e-03,-5.930545583948041610e+01
1.426650976855660825e-03,-5.560738721741070378e+01
