file,lam_i_nm,lam_j_nm,span_nm,lam_center_nm,dnu_THz,fringes,tau_aux_ns
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1530.000000,1535.000000,5.000000,1532.500000,0.638250,13015.967089,20.393208
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1530.000000,1540.000000,10.000000,1535.000000,1.272356,25947.759627,20.393479
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1530.000000,1545.000000,15.000000,1537.500000,1.902357,38791.226588,20.391138
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1530.000000,1550.000000,20.000000,1540.000000,2.528294,51536.459488,20.383887
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1530.000000,1555.000000,25.000000,1542.500000,3.150206,64227.621732,20.388391
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1530.000000,1560.000000,30.000000,1545.000000,3.768130,76817.098387,20.385998
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1530.000000,1565.000000,35.000000,1547.500000,4.382107,89351.931228,20.390176
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1535.000000,1540.000000,5.000000,1537.500000,0.634106,12931.792538,20.393751
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1535.000000,1545.000000,10.000000,1540.000000,1.264107,25775.259499,20.390093
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1535.000000,1550.000000,15.000000,1542.500000,1.890044,38520.492398,20.380740
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1535.000000,1555.000000,20.000000,1545.000000,2.511955,51211.654642,20.387167
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1535.000000,1560.000000,25.000000,1547.500000,3.129880,63801.131298,20.384527
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1535.000000,1565.000000,30.000000,1550.000000,3.743857,76335.964139,20.389659
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1540.000000,1545.000000,5.000000,1542.500000,0.630001,12843.466961,20.386411
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1540.000000,1550.000000,10.000000,1545.000000,1.255938,25588.699860,20.374171
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1540.000000,1555.000000,15.000000,1547.500000,1.877850,38279.862104,20.384944
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1540.000000,1560.000000,20.000000,1550.000000,2.495775,50869.338760,20.382184
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1540.000000,1565.000000,25.000000,1552.500000,3.109751,63404.171601,20.388824
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1545.000000,1550.000000,5.000000,1547.500000,0.625937,12745.232899,20.361851
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1545.000000,1555.000000,10.000000,1550.000000,1.247848,25436.395143,20.384203
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1545.000000,1560.000000,15.000000,1552.500000,1.865773,38025.871799,20.380756
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1545.000000,1565.000000,20.000000,1555.000000,2.479750,50560.704640,20.389438
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1550.000000,1555.000000,5.000000,1552.500000,0.621912,12691.162244,20.406700
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1550.000000,1560.000000,10.000000,1555.000000,1.239836,25280.638899,20.390301
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1550.000000,1565.000000,15.000000,1557.500000,1.853813,37815.471741,20.398752
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1555.000000,1560.000000,5.000000,1557.500000,0.617925,12589.476656,20.373796
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1555.000000,1565.000000,10.000000,1560.000000,1.231901,25124.309497,20.394740
1mA_sweep_ofdr_1mA_run1_2026-09-01_17-13-23.npz,1560.000000,1565.000000,5.000000,1562.500000,0.613977,12534.832841,20.415818
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1530.000000,1535.000000,5.000000,1532.500000,0.638250,13015.428409,20.392364
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1530.000000,1540.000000,10.000000,1535.000000,1.272356,25946.473403,20.392468
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1530.000000,1545.000000,15.000000,1537.500000,1.902357,38789.727065,20.390350
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1530.000000,1550.000000,20.000000,1540.000000,2.528294,51535.582329,20.383540
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1530.000000,1555.000000,25.000000,1542.500000,3.150206,64225.687527,20.387777
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1530.000000,1560.000000,30.000000,1545.000000,3.768130,76813.681778,20.385091
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1530.000000,1565.000000,35.000000,1547.500000,4.382107,89348.415355,20.389373
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1535.000000,1540.000000,5.000000,1537.500000,0.634106,12931.044993,20.392573
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1535.000000,1545.000000,10.000000,1540.000000,1.264107,25774.298656,20.389333
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1535.000000,1550.000000,15.000000,1542.500000,1.890044,38520.153920,20.380561
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1535.000000,1555.000000,20.000000,1545.000000,2.511955,51210.259118,20.386612
