channel,s_in_um,s_out_um,s_from_facet_um,dz_mm,cell,depth,box_w_um,box_h_um
48,0.0,0.51,420.0,0.5436,AN350BB_EdgeCoupler_Lensed_C,3,30.0,430.0
48,0.0,0.51,420.0,0.5436,EdgeCoupler_BB_$fe2d,2,30.0,430.01
48,5153.02,6724.09,5573.02,7.213,XGM_2_Decoder_Lut_2_combiner_metal_$e3cf,3,3921.0,3237.51
48,6024.26,6308.41,6444.26,8.3407,variable_pitch_splitting_8721,4,62.0,280.84
48,6024.26,6724.09,6444.26,8.3407,MZM_1X2_$d8bf,3,134.0,900.84
48,6024.26,6724.09,6444.26,8.3407,MZM_switch_$fe2d,2,294.0,1990.84
48,6044.27,6225.73,6464.27,8.3666,MMI_1x2_BB_$fe2d,5,31.54,180.01
48,6044.28,6225.72,6464.28,8.3666,AN350BB_MMI1x2_symmetric_C,6,30.0,180.0
48,6234.5,6633.46,6654.5,8.6128,Straight Heater_$a5b0,4,58.51,393.0
48,6507.08,6724.09,6927.08,8.9656,XGMx3_SiN_6429,5,1250.0,1883.94
48,6507.08,6724.09,6927.08,8.9656,XGMx3_SiN_metal_6428,4,1250.0,1883.94
48,6663.5,6724.09,7083.5,9.168,MMI_2x2_$f94d,4,14.0,270.01
