channel,cell,s_from_facet_um,s_to_um,n_interfaces,dz_from_mm,dz_to_mm
b2,SSC end,1199.4,1199.4,1,2.8416,2.8416
b2,MMI1x2,6166.7,6166.7,1,14.6099,14.6099
b2,BJ + MMI1x2 +1,6412.6,6530.2,5,15.1925,15.4711
b2,MMI1x2,6658.5,6658.5,1,15.7751,15.7751
b2,BJ + PMTO,6729.6,6783.5,2,15.9435,16.0713
b2,4x ISO,7029.0,7137.2,4,16.6529,16.9092
b2,BJ + 2x ISO,7436.6,7520.4,3,17.6185,17.8171
b2,BJ + PMTO +1,7692.9,7837.4,8,18.2258,18.5681
b2,MMI1x2,9126.9,9126.9,1,21.6231,21.6231
b2,MMI1x2,9372.8,9372.8,1,22.2057,22.2057
b2,MMI1x2,9497.8,9497.8,1,22.5019,22.5019
b2,MMI1x2,9618.7,9618.7,1,22.7883,22.7883
b2,SOA + MMI1x2 +1,9743.7,9812.5,4,23.0845,23.2475
b2,MMI1x2,9989.6,9989.6,1,23.6671,23.6671
b2,MMI2x2,10227.2,10227.2,1,24.2299,24.2299
b2,SOA + MMI2x2 +1,10511.9,10570.7,4,24.9045,25.0438
b2,MMI1x2,10809.2,10809.2,1,25.6089,25.6089
b2,MMI2x2,10904.6,10904.6,1,25.8348,25.8348
b2,MMI1x2 + PMTO +1,11046.4,11105.2,4,26.1709,26.3102
b2,PMTO,11223.2,11223.2,1,26.5896,26.5896
b2,MMI1x2,11301.0,11301.0,1,26.7741,26.7741
b2,SOA + 2x WGMETx,11539.6,11598.4,3,27.3392,27.4785
b2,PMTO,12014.6,12014.6,1,28.4647,28.4647
b2,SOA + MMI1x2 +2,12132.6,12201.4,5,28.7442,28.9072
b2,BJ + MMI1x2 +2,12385.5,12503.1,6,29.3434,29.6221
b2,MMI1x2,12631.5,12631.5,1,29.9261,29.9261
b2,BJ,12702.5,12702.5,1,30.0945,30.0945
b2,MMI1x2 + 4x ISO,13001.9,13110.1,5,30.8038,31.0601
b2,MMI1x2,13313.4,13313.4,1,31.5418,31.5418
b2,BJ + 2x ISO,13409.5,13493.3,3,31.7695,31.968
b2,MMI1x2,13559.4,13559.4,1,32.1244,32.1244
b2,chip facet + BJ +2,13678.7,13809.4,6,32.4071,32.7167
b2,PMTO,14718.8,14718.8,1,34.8712,34.8712
