kind,z_from_mm,z_to_mm,width_mm,db_over_floor,db_over_background,verdict,candidate,delta_um,p_chance
Stachel,0.7993,0.7993,0.0,28.2,11.0,unerklaert,naechste: SSC end +2.04 mm,,
Stachel,0.8657,0.8657,0.0,31.6,14.4,Seitenlinie,+-13.65 mm um 14.518 mm,,
Stachel,1.5956,1.5956,0.0,31.9,10.3,unerklaert,naechste: SSC end +1.25 mm,,
Stachel,3.3706,3.3706,0.0,31.3,10.0,Doppelbounce,2 x 1.596 mm,179.4,
Stachel,3.4536,3.4536,0.0,31.4,10.2,unerklaert,naechste: SSC end -0.61 mm,,
Stachel,5.129,5.129,0.0,30.4,11.2,unerklaert,naechste: SSC end -2.29 mm,,
Stachel,8.0819,8.0819,0.0,30.2,13.9,unerklaert,naechste: SSC end -5.24 mm,,
Stachel,9.8237,9.8237,0.0,29.1,10.3,unerklaert,naechste: MMI1x2 +5.16 mm,,
Stachel,10.62,10.62,0.0,28.4,10.3,unerklaert,naechste: MMI1x2 +4.37 mm,,
Stachel,11.3333,11.3333,0.0,31.2,11.3,unerklaert,naechste: MMI1x2 +3.65 mm,,
Stachel,14.4189,14.4189,0.0,47.3,17.5,unerklaert,naechste: MMI1x2 +0.57 mm,,
Stachel,14.5184,14.5184,0.0,52.3,22.5,unerklaert,naechste: MMI1x2 +0.47 mm,,
Stachel,14.6013,14.6013,0.0,43.2,13.5,unerklaert,naechste: MMI1x2 +0.39 mm,,
Stachel,17.1892,17.1892,0.0,26.3,12.3,unerklaert,naechste: PMTO -1.03 mm,,
Stachel,26.8274,26.8274,0.0,45.5,16.1,unerklaert,naechste: WGMETx +0.13 mm,,
Stachel,26.9435,26.9435,0.0,52.0,23.2,Designgrenzflaeche,WGMETx,-12.4,0.0387
Stachel,27.043,27.043,0.0,40.8,12.0,Designgrenzflaeche,WGMETx,17.5,0.0537
Stachel,28.0881,28.0881,0.0,35.8,12.7,Seitenlinie,+-13.57 mm um 14.518 mm,,
Stachel,29.7802,29.7802,0.0,22.3,11.7,Designgrenzflaeche,ISO,-38.8,0.1057
Stachel,34.5412,34.5412,0.0,14.0,13.6,Doppelbounce,2 x 17.189 mm,162.8,
Stachel,37.4111,37.4111,0.0,15.7,10.8,Designgrenzflaeche,MMI1x2,-58.1,0.1328
Stachel,37.5604,37.5604,0.0,19.2,14.4,Designgrenzflaeche,MMI1x2,91.2,0.1735
Stachel,38.423,38.423,0.0,13.1,10.9,Designgrenzflaeche,WGMETx,-18.3,0.0563
Stachel,39.5511,39.5511,0.0,8.1,10.1,unerklaert,naechste: MMI1x2 -0.62 mm,,
Stachel,39.7502,39.7502,0.0,4.7,10.3,unerklaert,naechste: MMI1x2 -0.82 mm,,
Stachel,39.7999,39.7999,0.0,5.1,12.4,unerklaert,naechste: MMI1x2 -0.87 mm,,
Buckel,14.2032,14.8833,0.6801,52.3,-1.3,Teil der Strecke,Strecke 2.84-14.99 mm (12.15 mm lang),-11466.1,
Buckel,15.0824,15.7957,0.7133,34.8,-18.8,Strecke gefuellt,Strecke 14.99-15.57 mm (0.58 mm lang),130.7,0.1396
Buckel,25.5832,25.9979,0.4147,33.7,-19.9,Teil der Strecke,Strecke 18.32-26.96 mm (8.64 mm lang),-8223.9,
Buckel,26.5785,27.2587,0.6801,52.0,-1.6,Fuss eines Stachels,WGMETx,,
Buckel,27.6568,28.2706,0.6138,35.8,-17.7,Fuss eines Stachels,Seitenlinie von 14.518 mm,,
Buckel,29.5314,29.9627,0.4313,22.3,-31.3,Fuss eines Stachels,ISO,,
Buckel,36.9632,37.7429,0.7797,19.2,-34.4,Fuss eines Stachels,MMI1x2,,
Buckel,39.5179,39.9492,0.4313,8.1,-45.5,unerklaert,ausserhalb aller Designstrecken,,
