channel,waveguide_path_um,expected_delta_z_mm,device_port
b0,0.0,2.8449,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b0,556.51,4.1643,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b0,1199.4,5.6884,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b0,1755.91,7.0078,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b1,0.0,2.8449,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b1,556.51,4.1643,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b1,1199.4,5.6884,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b1,1755.91,7.0078,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b2,0.0,2.8449,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b2,1199.4,5.6884,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b2,4967.28,14.6212,HHI_MMI1x2E1700:o2
b2,5213.19,15.2042,HHI_MMI1x2E1700:o1
b2,5242.59,15.2739,HHI_WGMETxE1700single:o1
b2,5271.99,15.3436,HHI_WGMETxE1700single:o1
b2,5301.39,15.4133,HHI_WGMETxE1700single:o1
b2,5330.79,15.483,HHI_BJsingle:o1
b2,5459.11,15.7873,HHI_MMI1x2E1700:o3
b2,5530.19,15.9558,HHI_BJsingle:o2
b2,5584.11,16.0836,HHI_PMTOE1700_500_$c575:o2
b2,5829.59,16.6656,HHI_ISOsectionSingle_25_$3020:o1
b2,5853.99,16.7234,HHI_ISOsectionSingle_25_$3020:o2
b2,5913.39,16.8643,HHI_ISOsectionSingle_25_$3020:o1
b2,5937.79,16.9221,HHI_ISOsectionSingle_25_$3020:o2
b2,6237.19,17.6319,HHI_ISOsectionSingle_25_$3020:o1
b2,6261.59,17.6898,HHI_ISOsectionSingle_25_$3020:o2
b2,6320.99,17.8306,HHI_BJsingle:o2
b2,6493.51,18.2396,HHI_PMTOE1700_500_$c575:o1
b2,6520.39,18.3033,HHI_BJsingle:o1
b2,6522.91,18.3093,HHI_WGMETxE1700single:o1
b2,6549.79,18.373,HHI_WGMETxE1700single:o1
b2,6552.31,18.379,HHI_WGMETxE1700single:o1
b2,6579.19,18.4427,HHI_WGMETxE1700single:o1
b2,6608.59,18.5124,HHI_WGMETxE1700single:o1
b2,6637.99,18.5821,HHI_WGMETxE1700single:o2
b2,7927.48,21.6392,HHI_MMI1x2E1700:o2
b2,8173.39,22.2222,HHI_MMI1x2E1700:o1
b2,8298.39,22.5186,HHI_MMI1x2E1700:o3
b2,8419.31,22.8052,HHI_MMI1x2E1700:o3
b2,8544.31,23.1016,HHI_MMI1x2E1700:o1
b2,8554.31,23.1253,HHI_WGMETxE1700single:o2
b2,8583.71,23.195,HHI_WGMETxE1700single:o1
b2,8613.11,23.2647,HHI_SOA_300_$18f0:o2
b2,8790.22,23.6846,HHI_MMI1x2E1700:o2
b2,9027.76,24.2477,HHI_MMI2x2E1700:o1
b2,9312.51,24.9228,HHI_SOA_300_$18f0:o1
b2,9341.91,24.9925,HHI_WGMETxE1700single:o1
b2,9366.46,25.0507,HHI_MMI2x2E1700:o2
b2,9371.31,25.0622,HHI_WGMETxE1700single:o1
b2,9609.83,25.6277,HHI_MMI1x2E1700:o2
b2,9705.19,25.8538,HHI_MMI2x2E1700:o3
b2,9847.03,26.19,HHI_WGMETxE1700single:o1
b2,9855.74,26.2107,HHI_MMI1x2E1700:o1
b2,9876.43,26.2597,HHI_WGMETxE1700single:o1
b2,9905.83,26.3294,HHI_PMTOE1700_500_$c575:o1
b2,10023.79,26.6091,HHI_PMTOE1700_500_$c575:o2
b2,10101.65,26.7937,HHI_MMI1x2E1700:o3
b2,10340.17,27.3592,HHI_WGMETxE1700single:o1
b2,10369.57,27.4289,HHI_WGMETxE1700single:o1
b2,10398.97,27.4986,HHI_SOA_300_$18f0:o1
b2,10815.23,28.4854,HHI_PMTOE1700_500_$c575:o2
b2,10933.19,28.7651,HHI_PMTOE1700_500_$c575:o1
b2,10940.23,28.7818,HHI_MMI1x2E1700:o2
b2,10943.19,28.7888,HHI_WGMETxE1700single:o2
b2,10972.59,28.8585,HHI_WGMETxE1700single:o1
b2,11001.99,28.9282,HHI_SOA_300_$18f0:o2
b2,11186.14,29.3648,HHI_MMI1x2E1700:o1
b2,11215.54,29.4345,HHI_WGMETxE1700single:o1
b2,11244.94,29.5042,HHI_WGMETxE1700single:o1
b2,11274.34,29.5739,HHI_WGMETxE1700single:o1
b2,11279.86,29.587,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b2,11303.74,29.6436,HHI_BJsingle:o1
b2,11432.06,29.9478,HHI_MMI1x2E1700:o3
b2,11503.14,30.1163,HHI_BJsingle:o2
b2,11802.54,30.8261,HHI_ISOsectionSingle_25_$3020:o1
b2,11826.94,30.884,HHI_ISOsectionSingle_25_$3020:o2
b2,11868.13,30.9816,HHI_MMI1x2E1700:o2
b2,11886.34,31.0248,HHI_ISOsectionSingle_25_$3020:o1
b2,11910.74,31.0826,HHI_ISOsectionSingle_25_$3020:o2
b2,12114.05,31.5646,HHI_MMI1x2E1700:o1
b2,12210.14,31.7925,HHI_ISOsectionSingle_25_$3020:o1
b2,12234.54,31.8503,HHI_ISOsectionSingle_25_$3020:o2
b2,12293.94,31.9911,HHI_BJsingle:o2
b2,12359.96,32.1476,HHI_MMI1x2E1700:o3
b2,12479.26,32.4305,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b2,12493.34,32.4639,HHI_BJsingle:o1
b2,12522.74,32.5336,HHI_WGMETxE1700single:o1
b2,12552.14,32.6033,HHI_WGMETxE1700single:o1
b2,12581.54,32.673,HHI_WGMETxE1700single:o1
b2,12609.96,32.7403,HHI_PMTOE1700_500_$c575:o2
b2,13519.36,34.8963,HHI_PMTOE1700_500_$c575:o1
b3,0.0,2.8449,HHI_SSCLATE1700_0p0001_1_$3ad2:o1
b3,1199.4,5.6884,HHI_SSCLATE1700_0p0001_1_$3ad2:o2
b3,2489.64,8.7473,HHI_MMI1x2E1700:o2
b3,2735.55,9.3303,HHI_MMI1x2E1700:o1
b3,2745.55,9.354,HHI_WGMETxE1700single:o2
b3,2774.95,9.4237,HHI_WGMETxE1700single:o1
b3,2804.35,9.4934,HHI_SOA_300_$18f0:o2
b3,2981.47,9.9133,HHI_MMI1x2E1700:o3
b3,3106.47,10.2097,HHI_MMI1x2E1700:o1
b3,3352.38,10.7927,HHI_MMI1x2E1700:o2
b3,3503.75,11.1515,HHI_SOA_300_$18f0:o1
b3,3533.15,11.2212,HHI_WGMETxE1700single:o1
b3,3562.55,11.291,HHI_WGMETxE1700single:o1
b3,3801.07,11.8564,HHI_MMI1x2E1700:o2
b3,3960.84,12.2352,HHI_MMI2x2E1700:o1
b3,4046.99,12.4394,HHI_MMI1x2E1700:o1
b3,4292.9,13.0224,HHI_MMI1x2E1700:o3
b3,4299.54,13.0382,HHI_MMI2x2E1700:o2
