channel,s_in_um,s_out_um,s_from_facet_um,dz_mm,cell,depth,box_w_um,box_h_um
52,0.0,0.5,420.0,0.5436,AN350BB_EdgeCoupler_Lensed_C,3,30.0,430.0
52,0.0,0.51,420.0,0.5436,EdgeCoupler_BB_$fe2d,2,30.0,430.01
52,2461.17,2487.4,2881.17,3.729,X1_Cross,3,25.0,25.0
52,2461.17,2487.4,2881.17,3.729,X1_Cross_$fe2d,2,25.0,25.0
52,2461.17,2487.4,2881.17,3.729,cross_array_$2ebc,1,115.0,25.0
52,5260.63,8779.3,5680.63,7.3523,XGM_2_Decoder_Lut_2_combiner_metal_$dac8,3,3920.99,3237.51
52,6612.38,8777.48,7032.38,9.1019,XGMx3_SiN,5,1250.0,1883.94
52,6612.38,8777.48,7032.38,9.1019,XGMx3_SiN_metal,4,1250.0,1883.94
52,8391.81,8777.48,8811.81,11.4049,variable_pitch_splitting_1060,6,107.0,373.62
52,8491.82,8673.32,8911.82,11.5344,MMI_1x2_BB_$fe2d,7,31.54,180.01
52,8491.82,8673.31,8911.82,11.5344,AN350BB_MMI1x2_symmetric_C,8,30.0,180.0
52,27137.84,30387.41,27557.84,35.6675,XGM_2_Decoder_Lut_2_combiner_metal_$dac8,3,3920.99,3237.51
52,27139.66,27525.34,27559.66,35.6699,variable_pitch_splitting,6,107.0,373.62
52,27139.66,29035.66,27559.66,35.6699,XGMx3_SiN,5,1250.0,1883.94
52,27139.66,29035.66,27559.66,35.6699,XGMx3_SiN_metal,4,1250.0,1883.94
52,27243.82,27425.33,27663.82,35.8047,MMI_1x2_BB_$fe2d,7,31.54,180.01
52,27243.83,27425.32,27663.83,35.8047,AN350BB_MMI1x2_symmetric_C,8,30.0,180.0
52,50571.28,50576.79,50991.28,65.9969,EdgeCoupler_BB_$fe2d,2,30.0,430.01
52,50571.29,50576.79,50991.29,65.9969,AN350BB_EdgeCoupler_Lensed_C,3,30.0,430.0
