distance_m,amplitude_dB,residual_dB
0.000000000000000000e+00,-6.375178003823609885e+01,-6.375177636911750056e+01
1.658899647200076045e-05,-5.804745484867595451e+01,-5.804745569665926297e+01
3.317799294400152090e-05,-5.032010537077559320e+01,-5.032010574940801462e+01
4.976698941600227796e-05,-4.254152205031527245e+01,-4.254152177883270980e+01
6.635598588800304179e-05,-3.903970494978914019e+01,-3.903970513899471229e+01
8.294498236000380563e-05,-3.918580975326992899e+01,-3.918580957973698276e+01
9.953397883200455591e-05,-4.167268685787982463e+01,-4.167268702234653688e+01
1.161229753040053197e-04,-4.463238239333895763e+01,-4.463238227633461719e+01
1.327119717760060836e-04,-4.922852494631335674e+01,-4.922852521570821693e+01
1.493009682480068339e-04,-5.635045956250566235e+01,-5.635045802255420000e+01
1.658899647200076113e-04,-5.284543357118500495e+01,-5.284543448162521884e+01
1.824789611920083615e-04,-4.904863886912951898e+01,-4.904863824585361698e+01
1.990679576640091118e-04,-4.955506356956241376e+01,-4.955506416451748208e+01
2.156569541360098892e-04,-6.073430866716505250e+01,-6.073430794791778453e+01
2.322459506080106395e-04,-5.288292181484975885e+01,-5.288292165444406834e+01
2.488349470800113898e-04,-5.153383152104710518e+01,-5.153383085862616042e+01
2.654239435520121672e-04,-4.866052385841829420e+01,-4.866052442501519693e+01
2.820129400240129446e-04,-5.248738999102562275e+01,-5.248738904237612957e+01
2.986019364960136677e-04,-5.600649162449667529e+01,-5.600649263533458821e+01
3.151909329680144451e-04,-5.783923794819190789e+01,-5.783923707303229378e+01
3.317799294400152225e-04,-6.080220631051303570e+01,-6.080220878960309960e+01
3.483689259120159457e-04,-5.694653069129466871e+01,-5.694652912092308128e+01
3.649579223840167231e-04,-5.945470514672385320e+01,-5.945470734667288326e+01
3.815469188560175005e-04,-6.504334059812664748e+01,-6.504333851762633856e+01
3.981359153280182236e-04,-7.169751771413709207e+01,-7.169751027259087550e+01
4.147249118000190010e-04,-6.274313929611140850e+01,-6.274314138389868134e+01
4.313139082720197784e-04,-5.923284567949907853e+01,-5.923284487526285602e+01
4.479029047440205016e-04,-5.955019129828936997e+01,-5.955019092984151996e+01
4.644919012160212790e-04,-5.809341383890330235e+01,-5.809341492374463201e+01
4.810808976880220564e-04,-5.902303224703653939e+01,-5.902303074366500368e+01
4.976698941600227796e-04,-6.361072631444110215e+01,-6.361072965390223999e+01
5.142588906320236112e-04,-7.002735021220033218e+01,-7.002734274184776098e+01
5.308478871040243343e-04,-7.255251017397988278e+01,-7.255250716500468400e+01
5.474368835760250575e-04,-7.076199329189165610e+01,-7.076199707718967602e+01
5.640258800480258891e-04,-7.131541414853396077e+01,-7.131542042910491830e+01
5.806148765200266123e-04,-7.064741925641921227e+01,-7.064741300858953821e+01
5.972038729920273355e-04,-6.932862427893128654e+01,-6.932861888812414008e+01
6.137928694640281671e-04,-6.246810580781833977e+01,-6.246810878167025294e+01
6.303818659360288902e-04,-6.319680590304393775e+01,-6.319680272463365611e+01
6.469708624080296134e-04,-6.713146528882806763e+01,-6.713146947001497722e+01
6.635598588800304450e-04,-6.199952971299389759e+01,-6.199952975825171109e+01
6.801488553520311682e-04,-5.397701897256724379e+01,-5.397701858592743918e+01
6.967378518240318914e-04,-5.288210353645738593e+01,-5.288210399088064406e+01
7.133268482960327230e-04,-6.070686588127120586e+01,-6.070686459421373371e+01
7.299158447680334462e-04,-7.306959686757008399e+01,-7.306958930500692873e+01
7.465048412400341693e-04,-7.209074017792369204e+01,-7.209074853589049781e+01
7.630938377120350009e-04,-7.319337922857745582e+01,-7.319337361082524751e+01
