run,voa_setting,facet_mm,noise_floor_dB_rel_own_max,snr_facet_dB,n_chip,max_chip_dB,median_chip_dB,n_mirror,max_mirror_dB,median_mirror_dB,excess_max_dB,excess_median_dB,n_control,peaks_per_mm_control,max_control_dB,max_gds_dB,max_gds_mirror_dB
1,0,1579.3872,-46.93,23.40,0,9.63,-1.64,0,9.82,-1.50,-0.18,-0.14,1,0.0063,10.01,8.55,7.86
2,1,1579.1717,-46.94,29.73,0,9.03,-1.66,0,9.69,-1.65,-0.66,-0.01,2,0.0125,10.30,7.01,9.69
3,2,1579.4839,-46.89,38.97,0,9.64,-1.31,1,11.00,-1.68,-1.36,0.37,2,0.0125,11.36,7.38,6.64
4,3,1579.3004,-47.36,47.36,4,12.74,-0.67,1,10.77,-1.08,1.97,0.41,2,0.0125,10.38,7.53,5.82
5,4,1579.2215,-56.93,56.93,52,25.33,2.24,10,19.62,-0.28,5.72,2.52,1,0.0063,10.47,16.32,12.60
6,5,1579.2468,-74.24,74.24,117,43.00,15.34,131,43.02,11.44,-0.02,3.90,299,1.8687,15.23,34.36,27.16
7,6,1579.5934,-74.54,74.54,121,43.72,15.11,126,34.99,8.31,8.73,6.80,299,1.8687,15.60,32.06,25.85
8,7,1579.4248,-72.76,72.76,121,44.96,15.68,125,46.75,9.34,-1.79,6.34,358,2.2375,17.82,31.85,27.49
9,8,1579.5675,-74.17,74.17,123,42.01,15.04,124,40.90,10.16,1.11,4.88,262,1.6375,14.99,34.19,29.00
10,None,1579.3852,-76.19,76.19,125,42.58,16.09,129,44.22,11.03,-1.63,5.06,347,2.1688,15.44,31.90,26.60
