run,voa_setting,tau_aux_ns,fringes,aux_contrast_min,P_meas_mW,P_aux_mW,max_dB,z_max_mm,noise_floor_dB,dynamic_range_dB
1,0,20.6093,297109,0.1869,0.010226,0.704515,-51.28,3.0669,-101.40,50.13
2,1,20.6062,297115,0.1976,0.010228,0.704529,-51.29,3.0664,-101.43,50.14
3,2,20.6098,297118,0.1974,0.010233,0.704484,-51.35,3.0669,-101.42,50.07
4,3,20.6079,297120,0.1998,0.010230,0.704441,-50.94,1579.3004,-101.37,50.43
5,4,20.6066,297120,0.1867,0.010240,0.704425,-41.07,1579.2215,-100.87,59.81
6,5,20.6070,297117,0.1987,0.011412,0.704402,-16.54,1579.2468,-94.48,77.94
7,6,20.6111,297117,0.2018,0.042400,0.704416,-2.24,1579.5934,-81.94,79.70
8,7,20.6101,297117,0.1730,0.047217,0.704401,-3.64,1579.4248,-81.09,77.45
9,8,20.6112,297115,0.1851,0.042121,0.704447,-2.01,1579.5675,-81.72,79.71
10,None,20.6088,297120,0.1863,0.047487,0.704398,0.00,1579.3852,-80.99,80.99
