d_focus_mm,peak_rel_dB,z_mm,w3_um
0.0000,0.0000,1589.128709,31.00
0.2500,-0.1067,1589.129209,31.50
0.5000,-0.1222,1589.136709,32.00
0.7500,0.0379,1589.137209,32.50
1.0000,0.1811,1589.137209,32.00
1.2500,0.3038,1589.137209,32.00
1.5000,0.4119,1589.137209,31.50
1.7500,0.5234,1589.138209,30.50
2.0000,0.6815,1589.139709,29.00
2.2500,0.9121,1589.140709,27.50
2.5000,1.1844,1589.140709,26.00
2.7500,1.4668,1589.140709,24.00
3.0000,1.7411,1589.140709,22.50
3.2500,1.9989,1589.140209,21.00
3.5000,2.2306,1589.139709,19.00
3.7500,2.4330,1589.139709,18.00
4.0000,2.6077,1589.139209,18.00
4.2500,2.7498,1589.138709,17.50
4.5000,2.8620,1589.138709,17.50
4.7500,2.9535,1589.138209,17.00
5.0000,3.0284,1589.138209,17.50
5.2500,3.0928,1589.138209,17.00
5.5000,3.1488,1589.138209,17.00
5.7500,3.1938,1589.137709,17.00
6.0000,3.2191,1589.137709,16.50
6.2500,3.2117,1589.137209,17.00
6.5000,3.1723,1589.137209,17.00
6.7500,3.0958,1589.136709,17.00
7.0000,2.9840,1589.136209,18.00
7.2500,2.8506,1589.136209,19.00
7.5000,2.6983,1589.135709,20.00
7.7500,2.5390,1589.135709,20.50
8.0000,2.3801,1589.135209,22.00
8.2500,2.2237,1589.134709,23.00
8.5000,2.0738,1589.134209,24.00
8.7500,1.9334,1589.133209,24.50
9.0000,1.8141,1589.132209,25.00
9.2500,1.7256,1589.130709,25.50
9.5000,1.6779,1589.129209,25.50
9.7500,1.6643,1589.128209,25.50
10.0000,1.6671,1589.127209,25.00
