groesse,wert
facetA_mm,1579.36
facetB_mm,1589.13
dz_AB_mm,9.76426
L_chip_um,7144.09
lam0_nm,1580
ng_lam0,2.00754
dng_dlam_fit_per_nm,-0.000372104
neff2_per_nm2,2.35509e-07
D_ps_nm_km_fit,-1241.21
d_focus_opt_mm,6
dng_dlam_autofocus_per_nm,-0.000312514
D_ps_nm_km_autofocus,-1042.43
facetA_drift_um,31.2891
facetB_drift_um,90.5566
windows_used,60
chip_max_uncorr_dB,-35.6829
chip_max_deemb_dB,-32.4647
chip_median_uncorr_dB,-56.6248
chip_median_deemb_dB,-56.5652
mirror_median_uncorr_dB,-68.0902
mirror_median_deemb_dB,-68.3582
