lambda_nm,z_facetA_mm,z_facetB_mm,dz_mm,ng,snr_A_dB,snr_B_dB,used
1516.227,1579.360940,1588.815263,9.454323,1.942717,19.10,10.06,0
1517.227,1579.362943,1588.821767,9.458825,1.943642,17.17,10.96,0
1518.227,1579.364445,1589.233024,9.868580,2.027841,18.30,9.31,0
1519.227,1579.365446,1589.224519,9.859073,2.025887,18.78,9.61,0
1520.227,1579.365946,1589.222768,9.856822,2.025424,18.64,10.22,0
1521.227,1579.365946,1588.836777,9.470830,1.946109,19.43,9.05,0
1522.227,1579.365195,1589.232274,9.867078,2.027532,19.45,10.47,0
1523.227,1579.363694,1589.224769,9.861076,2.026299,18.55,8.54,0
1524.227,1579.360940,1589.299066,9.938126,2.042131,16.84,8.61,0
1525.227,1579.357936,1589.231023,9.873087,2.028767,16.57,8.53,0
1526.227,1579.353681,1589.220517,9.866836,2.027482,16.49,8.18,0
1527.227,1579.349676,1589.301067,9.951391,2.044857,16.97,8.56,0
1528.227,1579.346672,1589.235526,9.888854,2.032006,16.90,6.06,0
1529.227,1579.343919,1588.864044,9.520125,1.956238,17.72,5.81,0
1530.227,1579.341165,1588.867546,9.526381,1.957524,19.14,6.89,0
1531.227,1579.338662,1589.398878,10.060216,2.067219,18.81,7.16,0
1532.227,1579.336660,1589.395876,10.059216,2.067013,18.74,7.14,0
1533.227,1579.335659,1589.248534,9.912876,2.036943,18.61,6.99,0
1534.227,1579.335408,1589.399378,10.063970,2.067990,18.88,6.60,0
1535.227,1579.335659,1589.258791,9.923132,2.039050,18.23,7.27,0
1536.227,1579.336660,1589.317327,9.980667,2.050873,19.26,6.84,0
1537.227,1579.338412,1589.258040,9.919628,2.038330,19.04,7.76,0
1538.227,1579.341165,1589.388372,10.047206,2.064545,17.89,6.35,0
1539.227,1579.344670,1589.250786,9.906116,2.035554,16.38,6.56,0
1540.227,1579.348675,1589.248034,9.899359,2.034165,15.51,6.23,0
1541.227,1579.351929,1589.244782,9.892853,2.032828,16.73,6.96,0
1542.227,1579.355684,1589.233024,9.877341,2.029641,17.90,7.18,0
1543.227,1579.359188,1589.373612,10.014424,2.057809,19.06,6.75,0
1544.227,1579.361941,1589.361855,9.999914,2.054828,19.25,9.35,0
1545.227,1579.364194,1589.356602,9.992407,2.053285,18.33,10.18,0
1546.227,1579.365696,1589.352099,9.986403,2.052051,19.20,9.38,0
1547.227,1579.366948,1589.173237,9.806289,2.015041,19.59,6.93,0
1548.227,1579.367949,1589.352349,9.984400,2.051640,19.66,8.64,0
1549.227,1579.368450,1589.177490,9.809040,2.015606,19.01,10.78,0
1550.227,1579.368450,1589.169985,9.801535,2.014064,19.01,11.36,0
1551.227,1579.368700,1589.179741,9.811041,2.016017,19.33,13.00,0
1552.227,1579.368199,1589.176989,9.808790,2.015555,20.82,12.99,0
1553.227,1579.367448,1589.174988,9.807540,2.015298,20.27,13.09,0
1554.227,1579.366697,1589.176989,9.810292,2.015863,20.79,14.29,1
1555.227,1579.366447,1589.177490,9.811043,2.016018,21.04,15.38,1
1556.227,1579.366197,1589.177490,9.811293,2.016069,19.72,15.38,1
1557.227,1579.366447,1589.172487,9.806040,2.014989,20.12,14.87,1
1558.227,1579.366697,1589.174488,9.807790,2.015349,21.41,17.03,1
1559.227,1579.367949,1589.177740,9.809791,2.015760,20.86,17.38,1
1560.227,1579.369200,1589.174238,9.805037,2.014783,19.84,16.24,1
1561.227,1579.369951,1589.174988,9.805037,2.014783,19.79,18.75,1
1562.227,1579.370452,1589.173988,9.803535,2.014475,20.62,18.17,1
1563.227,1579.371203,1589.168484,9.797281,2.013190,22.19,19.16,1
1564.227,1579.371453,1589.169985,9.798532,2.013447,22.05,20.14,1
1565.227,1579.371704,1589.167984,9.796280,2.012984,20.61,19.11,1
1566.227,1579.371203,1589.165732,9.794529,2.012624,19.82,20.41,1
1567.227,1579.370202,1589.163231,9.793029,2.012316,19.39,19.12,1
1568.227,1579.368700,1589.157477,9.788777,2.011442,19.63,19.26,1
1569.227,1579.366697,1589.153975,9.787278,2.011134,21.18,17.43,1
1570.227,1579.364445,1589.150473,9.786028,2.010877,20.60,18.25,1
1571.227,1579.361941,1589.147721,9.785780,2.010826,18.63,18.79,1
1572.227,1579.359689,1589.141717,9.782029,2.010056,18.01,19.56,1
1573.227,1579.356935,1589.137965,9.781030,2.009850,18.47,20.45,1
1574.227,1579.354682,1589.132962,9.778280,2.009285,20.76,19.50,1
1575.227,1579.352930,1589.130710,9.777780,2.009183,20.47,19.83,1
1576.227,1579.351679,1589.131461,9.779782,2.009594,19.19,19.67,1
1577.227,1579.351428,1589.127208,9.775780,2.008772,19.03,20.40,1
1578.227,1579.351679,1589.126708,9.775029,2.008617,19.60,19.71,1
