dA_mm,z_abs_mm,uncorrected_dB,deembedded_dB,gain_dB,w3_um,mirror_dB,control_dB,excess_mirror_dB,excess_control_dB
2.2745,1581.6389,-50.209,-42.841,7.368,29.00,-44.219,-45.850,1.378,3.009
2.3550,1581.7194,-57.334,-44.783,12.551,27.50,-47.383,-41.084,2.600,-3.699
2.4015,1581.7659,-46.019,-46.799,-0.780,20.50,-50.967,-43.203,4.167,-3.596
2.4580,1581.8224,-54.468,-45.624,8.844,17.00,-52.459,-51.756,6.835,6.132
3.9670,1583.3314,-56.209,-45.406,10.802,26.50,-52.096,-55.159,6.689,9.753
4.0095,1583.3739,-50.356,-45.155,5.201,26.00,-53.730,-57.624,8.575,12.469
4.9995,1584.3639,-57.064,-46.195,10.868,18.00,-60.877,-69.099,14.682,22.903
5.5775,1584.9419,-80.623,-46.238,34.385,18.50,-56.587,-67.173,10.349,20.935
6.4285,1585.7929,-46.027,-46.862,-0.835,16.00,-59.852,-66.607,12.990,19.745
7.8105,1587.1749,-59.223,-46.195,13.028,18.50,-50.540,-51.420,4.345,5.224
8.2480,1587.6124,-53.286,-46.685,6.601,16.00,-60.444,-51.896,13.759,5.212
9.7430,1589.1074,-47.665,-42.577,5.088,53.00,-65.501,-63.655,22.924,21.078
9.7735,1589.1379,-36.183,-32.465,3.719,16.50,-63.192,-64.635,30.727,32.171
9.8010,1589.1654,-39.486,-41.028,-1.542,16.50,-63.192,-64.635,22.164,23.607
10.3245,1589.6889,-53.094,-42.750,10.345,14.50,-72.410,-70.660,29.660,27.910
11.2705,1590.6349,-57.346,-46.866,10.480,13.00,-68.148,-60.387,21.282,13.521
11.3090,1590.6734,-46.424,-37.524,8.900,15.50,-68.148,-66.104,30.624,28.580
11.3285,1590.6929,-44.748,-43.144,1.604,41.00,-68.298,-67.212,25.154,24.068
