distance_m,amplitude_dB,residual_dB
0.000000000000000000e+00,-6.375178003823609885e+01,-6.375178909086473311e+01
1.658899647200076045e-05,-5.804745484867595451e+01,-5.804745275654205017e+01
3.317799294400152090e-05,-5.032010537077559320e+01,-5.032010443651790865e+01
4.976698941600227796e-05,-4.254152205031527245e+01,-4.254152272015227254e+01
6.635598588800304179e-05,-3.903970494978914019e+01,-3.903970448295038409e+01
8.294498236000380563e-05,-3.918580975326992899e+01,-3.918581018144520556e+01
9.953397883200455591e-05,-4.167268685787982463e+01,-4.167268645202844368e+01
1.161229753040053197e-04,-4.463238239333895763e+01,-4.463238268213719095e+01
1.327119717760060836e-04,-4.922852494631335674e+01,-4.922852428142320491e+01
1.493009682480068339e-04,-5.635045956250566235e+01,-5.635046336187549798e+01
1.658899647200076113e-04,-5.284543357118500495e+01,-5.284543132513849883e+01
1.824789611920083615e-04,-4.904863886912951898e+01,-4.904864040705490424e+01
1.990679576640091118e-04,-4.955506356956241376e+01,-4.955506210145464507e+01
2.156569541360098892e-04,-6.073430866716505250e+01,-6.073431044020243519e+01
2.322459506080106395e-04,-5.288292181484975885e+01,-5.288292221124176251e+01
2.488349470800113898e-04,-5.153383152104710518e+01,-5.153383315499687001e+01
2.654239435520121672e-04,-4.866052385841829420e+01,-4.866052246069678233e+01
2.820129400240129446e-04,-5.248738999102562275e+01,-5.248739233131603044e+01
2.986019364960136677e-04,-5.600649162449667529e+01,-5.600648912958325809e+01
3.151909329680144451e-04,-5.783923794819190789e+01,-5.783924010884594225e+01
3.317799294400152225e-04,-6.080220631051303570e+01,-6.080220019470709758e+01
3.483689259120159457e-04,-5.694653069129466871e+01,-5.694653456526425828e+01
3.649579223840167231e-04,-5.945470514672385320e+01,-5.945469971853884772e+01
3.815469188560175005e-04,-6.504334059812664748e+01,-6.504334573516297269e+01
3.981359153280182236e-04,-7.169751771413709207e+01,-7.169753606854277450e+01
4.147249118000190010e-04,-6.274313929611140850e+01,-6.274313414217499485e+01
4.313139082720197784e-04,-5.923284567949907853e+01,-5.923284766611271834e+01
4.479029047440205016e-04,-5.955019129828936997e+01,-5.955019220457886320e+01
4.644919012160212790e-04,-5.809341383890330235e+01,-5.809341116424816676e+01
4.810808976880220564e-04,-5.902303224703653939e+01,-5.902303595420390536e+01
4.976698941600227796e-04,-6.361072631444110215e+01,-6.361071807694456481e+01
5.142588906320236112e-04,-7.002735021220033218e+01,-7.002736864180833720e+01
5.308478871040243343e-04,-7.255251017397988278e+01,-7.255251761177370895e+01
5.474368835760250575e-04,-7.076199329189165610e+01,-7.076198394170029360e+01
5.640258800480258891e-04,-7.131541414853396077e+01,-7.131539866206057354e+01
5.806148765200266123e-04,-7.064741925641921227e+01,-7.064743466322720167e+01
5.972038729920273355e-04,-6.932862427893128654e+01,-6.932863758658999132e+01
6.137928694640281671e-04,-6.246810580781833977e+01,-6.246809846872299943e+01
6.303818659360288902e-04,-6.319680590304393775e+01,-6.319681374718861377e+01
6.469708624080296134e-04,-6.713146528882806763e+01,-6.713145496670163936e+01
6.635598588800304450e-04,-6.199952971299389759e+01,-6.199952960677386216e+01
6.801488553520311682e-04,-5.397701897256724379e+01,-5.397701992443928276e+01
6.967378518240318914e-04,-5.288210353645738593e+01,-5.288210241708246429e+01
7.133268482960327230e-04,-6.070686588127120586e+01,-6.070686905246618181e+01
7.299158447680334462e-04,-7.306959686757008399e+01,-7.306961551124558696e+01
7.465048412400341693e-04,-7.209074017792369204e+01,-7.209071956636294942e+01
7.630938377120350009e-04,-7.319337922857745582e+01,-7.319339310872636872e+01
7.796828341840357241e-04,-7.070248662635079029e+01,-7.070248409831494030e+01
7.962718306560364473e-04,-6.712861853166776882e+01,-6.712861507284043228e+01
8.128608271280372789e-04,-6.547620072587814377e+01,-6.547620475359994430e+01
8.294498236000380021e-04,-7.639246451595707299e+01,-7.639243420303368737e+01
8.460388200720387252e-04,-6.701673034906127668e+01,-6.701672000249276095e+01
8.626278165440395568e-04,-5.890848514234261302e+01,-5.890848993295873015e+01
8.792168130160402800e-04,-5.684070208583251826e+01,-5.684069909756847494e+01
8.958058094880410032e-04,-5.720532222043570414e+01,-5.720532347350428637e+01
9.123948059600418348e-04,-6.069188678787443791e+01,-6.069188546272777529e+01
9.289838024320425580e-04,-6.249909788648471931e+01,-6.249910390347663736e+01
9.455727989040433896e-04,-6.155827168544374217e+01,-6.155826487533941815e+01
9.621617953760441128e-04,-6.423043653353013838e+01,-6.423044592290131050e+01
9.787507918480448359e-04,-6.499094690357415516e+01,-6.499093888892286941e+01
9.953397883200455591e-04,-6.209754852320298824e+01,-6.209755392726893319e+01
1.011928784792046282e-03,-5.984432228969725998e+01,-5.984431839024129118e+01
1.028517781264047222e-03,-5.950372147632953101e+01,-5.950372456246604713e+01
1.045106777736047945e-03,-6.054053128944669737e+01,-6.054052812538615314e+01
1.061695774208048669e-03,-6.357117266429102642e+01,-6.357117753615008837e+01
1.078284770680049392e-03,-7.045963985501256843e+01,-7.045964014154726840e+01
1.094873767152050115e-03,-6.199924799984115964e+01,-6.199924095212985975e+01
1.111462763624050838e-03,-5.698213561766864643e+01,-5.698213975111550411e+01
1.128051760096051778e-03,-5.863437679224622912e+01,-5.863437185954092001e+01
1.144640756568052501e-03,-6.334444005463014093e+01,-6.334444557307988788e+01
1.161229753040053225e-03,-6.490452766603867474e+01,-6.490452560397334025e+01
1.177818749512053948e-03,-6.946185830916843429e+01,-6.946186031451313170e+01
1.194407745984054671e-03,-7.830864891562552543e+01,-7.830863601148871567e+01
1.210996742456055394e-03,-6.331925996358271647e+01,-6.331926131030331817e+01
