distance_m,amplitude_dB
0.000000000000000000e+00,-5.809090870937194495e+01
7.000085629373848549e-06,-4.588478464047676653e+01
1.400017125874769710e-05,-3.889253095266074922e+01
2.100025688812154565e-05,-3.774549307095750805e+01
2.800034251749539420e-05,-4.378786499528289511e+01
3.500042814686923936e-05,-4.854120946688951932e+01
4.200051377624309130e-05,-4.674243255015867504e+01
4.900059940561693646e-05,-6.062324207354959071e+01
5.600068503499078840e-05,-5.647871607937468497e+01
6.300077066436464033e-05,-5.666117294973668095e+01
7.000085629373847872e-05,-5.169030875809647796e+01
7.700094192311233066e-05,-4.698818338971670272e+01
8.400102755248618259e-05,-4.698691770202425744e+01
9.100111318186002098e-05,-5.622016254836579208e+01
9.800119881123387292e-05,-5.350810184300619454e+01
1.050012844406077249e-04,-6.261782137304169282e+01
1.120013700699815768e-04,-5.874036732158164398e+01
1.190014556993554152e-04,-5.545750934290712308e+01
1.260015413287292807e-04,-5.540992395598575371e+01
1.330016269581031055e-04,-7.373651733420003040e+01
1.400017125874769574e-04,-5.396596089048998834e+01
1.470017982168508094e-04,-5.118303235692494013e+01
1.540018838462246613e-04,-5.245638396055642261e+01
1.610019694755985132e-04,-5.552488638154564171e+01
1.680020551049723652e-04,-5.920086312956993169e+01
1.750021407343462171e-04,-6.516094904733159865e+01
1.820022263637200420e-04,-5.779359156038754719e+01
1.890023119930938939e-04,-5.067294828834847209e+01
1.960023976224677458e-04,-4.816265146437466171e+01
2.030024832518415978e-04,-4.701291454848260543e+01
2.100025688812154497e-04,-4.743220790653538188e+01
2.170026545105893016e-04,-5.152744912424967083e+01
2.240027401399631536e-04,-6.347088704754997934e+01
2.310028257693369784e-04,-6.474376323596115412e+01
2.380029113987108304e-04,-6.108897736000373158e+01
2.450029970280846823e-04,-6.244694574085858108e+01
2.520030826574585613e-04,-5.976692157347117984e+01
2.590031682868323862e-04,-5.317956309812231552e+01
2.660032539162062110e-04,-5.181294959412858248e+01
2.730033395455800900e-04,-5.521061551712271864e+01
2.800034251749539149e-04,-5.665423962879778230e+01
2.870035108043277939e-04,-5.331304835610723813e+01
2.940035964337016187e-04,-5.075076245846294398e+01
3.010036820630754978e-04,-5.376485833925443814e+01
3.080037676924493226e-04,-5.538001475138734975e+01
3.150038533218231475e-04,-4.868004172264075180e+01
3.220039389511970265e-04,-4.708945045146143116e+01
3.290040245805708513e-04,-4.898866248508397092e+01
3.360041102099447304e-04,-5.170293508541195848e+01
3.430041958393185552e-04,-5.263791880377055321e+01
3.500042814686924342e-04,-5.367339899752360566e+01
3.570043670980662591e-04,-5.459371493609930326e+01
3.640044527274400839e-04,-5.617413072409487995e+01
3.710045383568139630e-04,-5.701543538214112061e+01
3.780046239861877878e-04,-5.617282541557391085e+01
3.850047096155616668e-04,-5.556089741131567905e+01
3.920047952449354917e-04,-5.549853424024212956e+01
3.990048808743093707e-04,-5.668197913692895895e+01
4.060049665036831955e-04,-5.574623576260986368e+01
4.130050521330570204e-04,-5.277820451632439358e+01
4.200051377624308994e-04,-4.994124698081951408e+01
4.270052233918047242e-04,-5.120457394400023787e+01
4.340053090211786033e-04,-5.507509292255797106e+01
